規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,483255,571545,343412,422792,498242,303286,386061,36731,60463,73303,40126
100～499人,441463,523959,310133,370727,431625,273780,344909,25818,70736,92334,36353
100人以上,462231,547583,326696,396600,464697,288465,365359,31241,65631,82886,38231
30～99人,325412,397525,225924,293045,356578,205393,272829,20216,32367,40947,20531
５～29人,269750,346637,187959,252123,320694,179179,239729,12394,17627,25943,8780
30人以上,417636,500524,291967,362847,430790,259836,335199,27648,54789,69734,32131
５人以上,372493,458485,255685,329048,400714,231700,306057,22991,43445,57771,23985
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年３月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
