産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.54,2.51,2.42,2.25
"鉱業,採石業,砂利採取業",1.81,2.65,1.81,2.65
建設業,1.39,1.38,1.26,0.88
製造業,1.26,1.55,1.45,1.67
電気・ガス・熱供給・水道業,1.66,0.31,1.86,0.35
情報通信業,1.99,1.54,1.93,1.59
"運輸業,郵便業",2.34,2.96,2.41,3.12
"卸売業,小売業",1.97,1.84,1.65,1.52
"金融業,保険業",1.85,2.34,1.81,2.26
"不動産業,物品賃貸業",2.26,1.96,1.72,1.33
"学術研究,専門・技術サービス業",2.4,1.48,2.41,1.17
"宿泊業,飲食サービス業",4.9,6.17,3.91,3.87
"生活関連サービス業,娯楽業",1.95,2.33,1.88,2.34
"教育,学習支援業",4.79,4.07,5.05,4.79
"医療,福祉",1.89,1.89,1.71,1.83
複合サービス事業,1.13,1.58,0.8,0.51
サービス業（他に分類されないもの）,3.77,3.22,4.1,3.4
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年１０月分,,,,
第４表  規模、産業別労働異動率,,,,
