事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業，採石業，砂利採取業／入職率(％),鉱業，採石業，砂利採取業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業，郵便業／入職率(％),運輸業，郵便業／離職率(％),卸売業，小売業／入職率(％),卸売業，小売業／離職率(％),金融業，保険業／入職率(％),金融業，保険業／離職率(％),不動産業，物品賃貸業／入職率(％),不動産業，物品賃貸業／離職率(％),学術研究，専門・技術サービス業／入職率(％),学術研究，専門・技術サービス業／離職率(％),宿泊業，飲食サービス業／入職率(％),宿泊業，飲食サービス業／離職率(％),生活関連サービス業，娯楽業／入職率(％),生活関連サービス業，娯楽業／離職率(％),教育，学習支援業／入職率(％),教育，学習支援業／離職率(％),医療，福祉／入職率(％),医療，福祉／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
30人以上,平成26,2014,年平均,1.88,1.78,1.92,1.52,1.28,1.15,1.16,1.21,1.38,1.72,1.26,1.01,1.77,1.65,1.41,1.42,1.65,1.71,1.57,1.47,2.81,2.42,3.15,3.1,1.85,1.61,3.52,3.4,1.76,1.65,2.49,2.36,2.64,2.42
30人以上,平成27,2015,年平均,2.08,2.02,－,－,1.12,0.97,1.38,1.43,1.31,1.42,1.53,1.56,1.97,1.85,1.76,1.77,1.7,1.59,1.73,1.76,1.71,1.24,3.51,3.61,2.79,2.61,3.68,3.54,2.37,2.2,2.32,2.27,2.82,2.77
30人以上,平成28,2016,年平均,2.11,2.03,－,－,0.94,0.97,1.3,1.19,1.22,1.1,1.58,1.48,1.92,2.02,1.76,1.75,1.79,1.57,1.84,1.65,1.63,1.33,4,4.02,3.46,3.44,3.77,3.49,2.25,2.15,1.89,1.66,2.93,2.86
30人以上,平成29,2017,年平均,2.16,2,－,－,0.97,0.8,1.25,1.21,1.65,0.7,1.7,1.41,1.87,1.77,1.74,1.6,1.65,1.6,1.54,1.57,1.46,1.47,3.92,3.68,3.44,3.18,3.89,3.77,2.28,2.2,2.06,2.55,3.36,3.01
30人以上,平成30,2018,年平均,2.05,2.01,2.22,2.52,1.09,1.06,1.32,1.32,1.25,1.55,1.59,1.54,1.9,1.86,1.53,1.54,1.62,1.51,1.69,1.44,1.6,1.48,4.02,4.08,2.7,3.15,2.73,2.82,2.16,2.14,1.87,2.14,3.25,3.04
30人以上,平成31・令和元,2019,年平均,2.3,2.11,1.91,2.11,1.99,1.08,1.38,1.34,1.7,2.83,1.58,1.21,2.58,2.44,1.81,1.62,1.73,1.65,1.58,1.38,1.44,1.54,3.96,3.9,3.05,2.52,4.08,4.12,2.32,2.24,1.87,1.86,3.38,3.09
30人以上,平成31,2019,1月,1.6,1.78,2.02,2.79,0.67,0.51,1.22,1.31,1.58,0.53,1.15,1.01,1.33,1.49,1.08,1.19,2.03,1.54,0.82,0.99,1.01,2.55,2.45,4.05,1.75,2.23,1.79,2.12,1.9,2.18,1.35,1.8,2.92,2.86
30人以上,平成31,2019,2月,1.6,1.69,1.12,1.54,1.59,0.61,0.76,0.81,1.89,1.06,1.15,0.98,2.13,1.85,0.9,1.47,0.94,0.96,0.76,0.7,1.06,1.06,2.89,3.57,2.77,2.36,2.04,3.59,1.01,1.09,0.4,0.59,3.32,2.98
30人以上,平成31,2019,3月,1.91,2.35,0.78,1.62,0.54,0.98,1.16,1.02,1.38,4.33,1.47,1.47,2.9,2.89,1.71,1.75,0.61,1.09,1.06,0.85,1.01,1.51,3.18,3.72,3.62,3.56,1.23,6.94,1.33,2.49,0.41,2.87,3.89,3.18
30人以上,平成31,2019,4月,7.01,4.6,7.18,4.27,5.3,4.18,5.59,2.37,9.75,22.1,5.92,2.11,6.43,4.49,7.17,3.67,7.36,4.63,6.82,3.77,4.43,2.88,6.74,7.1,5.67,4.31,15.07,11.78,8.41,5.86,16.08,12.57,6.07,5.03
30人以上,令和元,2019,5月,2.53,2.04,1.59,0.97,1.13,0.52,1.24,1.46,1.39,0.73,1.23,1.12,2.12,1.73,2.84,2.59,1.58,1.2,1.79,1.1,1.36,0.99,4.6,3.5,3.25,3.05,7.24,2.38,2.13,3.01,0.68,0.4,3.34,2.73
30人以上,令和元,2019,6月,1.76,1.76,ｘ,ｘ,1.49,1.29,0.91,1.43,ｘ,ｘ,1.1,1.06,2.34,2.32,1.19,1.59,0.87,1.14,1.11,1.22,0.93,1.24,4.37,3.67,3.07,2.01,2.93,2.21,2.17,1.34,0.4,0.7,2.53,2.76
30人以上,令和元,2019,7月,2.02,2.19,ｘ,ｘ,1.24,1.47,0.82,1.76,ｘ,ｘ,1.3,1.61,2.91,2.71,1.36,1.65,1.77,2.81,1.2,1.61,1.36,1.27,4.58,3.92,3.73,2.74,2.28,3.26,1.9,2.1,0.41,0.44,3.49,2.83
30人以上,令和元,2019,8月,1.93,1.69,0.97,1.59,9.43,0.56,0.73,1.12,0.59,0.65,0.74,0.81,2.24,2.19,1.02,0.92,1.08,1.34,0.94,1.54,0.98,1.53,3.8,3.52,1.98,1.67,2.36,3.55,1.59,1.96,0.74,0.63,2.94,2.66
30人以上,令和元,2019,9月,1.78,1.67,1.53,2.01,0.44,0.61,0.93,1.46,0.51,0.22,1.15,1.07,2.4,2.12,0.96,1.04,1.14,1.03,1.06,1.18,0.99,0.98,3.33,3.53,3.15,2.23,3.51,3.37,2.13,2.03,0.3,0.68,3.1,2.35
30人以上,令和元,2019,10月,2.42,2.25,1.81,2.65,1.26,0.88,1.45,1.67,1.86,0.35,1.93,1.59,2.41,3.12,1.65,1.52,1.81,2.26,1.72,1.33,2.41,1.17,3.91,3.87,1.88,2.34,5.05,4.79,1.71,1.83,0.8,0.51,4.1,3.4
30人以上,令和元,2019,11月,1.66,1.69,1.06,1.62,0.4,0.55,0.76,1.03,0.14,0.23,0.97,0.88,2.22,2.55,1.02,1.08,0.68,1.03,1.09,1.53,0.85,2.14,4.06,3.58,3.52,2.2,3.17,2.55,2.03,1.58,0.51,0.63,2.64,2.72
30人以上,令和元,2019,12月,1.37,1.59,1.06,2.05,0.38,0.82,0.96,0.68,0.33,0.42,0.86,0.79,1.49,1.86,0.84,0.92,0.94,0.8,0.62,0.78,0.83,1.15,3.62,2.76,2.26,1.54,2.24,2.91,1.58,1.45,0.33,0.5,2.2,3.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成31年・令和元年年報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第12－２表　産業別労働異動率（事業所規模30人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
