規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.9,18.3,17.4,148.8,155.5,138.5,134,138.3,127.3,14.8,17.2,11.2
100～499人,17.5,18,16.8,141.3,149.6,128.5,128.8,134.7,119.6,12.5,14.9,8.9
100人以上,17.7,18.2,17.1,145.1,152.5,133.4,131.4,136.5,123.4,13.7,16,10
30～99人,16.9,17.7,15.9,133.4,147.4,114.9,121.8,132,108.3,11.6,15.4,6.6
５～29人,15.8,16.9,14.7,119.6,134.6,103.6,112.5,125.1,99.1,7.1,9.5,4.5
30人以上,17.5,18,16.7,141.3,150.9,127.1,128.3,135.1,118.2,13,15.8,8.9
５人以上,17,17.7,16,134.8,146.5,119.1,123.6,132.4,111.7,11.2,14.1,7.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
