年度,西暦（年）,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和22年度平均,1947,    -,7.43,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和23年度平均,1948,    -,12,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和24年度平均,1949,    -,13.3,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和25年度平均,1950,    -,12.7,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和26年度平均,1951,    -,14.8,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和27年度平均,1952,    -,15.1,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和28年度平均,1953,    -,16.6,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和29年度平均,1954,    -,17,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和30年度平均,1955,    -,16.8,16.6,    -,9.28,31.8,51.9,18.2,28,21.6,4.74,15.5,16.4
昭和31年度平均,1956,    -,17.1,16.7,    -,10.3,32.8,53.2,18.5,28,24,4.8,15.7,16.3
昭和32年度平均,1957,    -,17.5,17.2,    -,11,34.1,53.1,18.9,28.3,24.3,4.87,15.6,16.5
昭和33年度平均,1958,    -,17.7,17.4,    -,12.3,33.2,53.1,18.2,27.7,23.4,5.44,16,16.8
昭和34年度平均,1959,    -,18.1,17.4,    -,13.7,33.3,53.5,18.5,27.3,23.6,5.44,17.1,16.8
昭和35年度平均,1960,    -,18.8,18.2,    -,14.6,34.8,55.4,18.7,26.9,23.8,6.21,17.7,17.3
昭和36年度平均,1961,    -,20,19.3,    -,15.8,36.2,56.6,19.6,28.4,25.6,6.72,18.9,18.3
昭和37年度平均,1962,    -,21.2,20.7,    -,16.6,36.8,57.6,20.7,29.9,26.4,7.75,20.3,19.6
昭和38年度平均,1963,    -,22.7,22.4,    -,18,36.8,58.7,21.9,29.6,27,8.71,22.4,20.9
昭和39年度平均,1964,    -,23.8,23.5,    -,19.2,36.7,59.5,22.6,30.2,27.5,9.48,24.4,21.9
昭和40年度平均,1965,    -,25.4,25.4,    -,20.6,36.9,60.4,23.7,32,28.4,10.4,26.4,23.4
昭和41年度平均,1966,    -,26.7,26.2,    -,22.8,36.9,61.4,24.6,32.1,32.4,11.6,28.2,24.4
昭和42年度平均,1967,    -,27.7,27.7,    -,23.9,36.9,63.2,25.4,33.2,32.9,11.8,29.5,25
昭和43年度平均,1968,    -,29.2,29.5,    -,24.5,37.2,64.4,27,34.8,34.1,12.5,31.1,26.9
昭和44年度平均,1969,    -,31.1,31.8,    -,26,37.5,64.4,28.9,34.8,35.9,13.3,33.7,28.5
昭和45年度平均,1970,32.8,33.2,34.1,29.7,28.1,37.9,67.9,32.1,37.1,37.3,13.8,35.5,30.4
昭和46年度平均,1971,34.8,35.2,36.1,31.5,30.1,38.3,70.4,35.2,38.1,38.6,15.1,38.2,31.7
昭和47年度平均,1972,37.1,37.1,38,36.1,32.9,40.5,72,37.4,41.5,40.4,16.1,40,33.4
昭和48年度平均,1973,42.5,42.9,44.8,39.7,37.6,42.7,87.7,47.1,40.3,43.5,18.1,45.6,36.3
昭和49年度平均,1974,50.9,51.7,55,45.1,44.8,52.5,110.9,54.8,45.7,51.5,22.1,54.6,42.1
昭和50年度平均,1975,56.5,57.4,61.3,49.9,48.6,60,109.5,57.9,49.9,57.3,28.3,61.8,48.4
昭和51年度平均,1976,61.9,62.7,66.7,54.8,53.3,67.4,112.1,63,55.4,64.4,32.4,65.2,56.8
昭和52年度平均,1977,66.4,67.2,70.3,59.9,57.6,71.9,115,65.5,57.6,76.2,37.1,69.8,60
昭和53年度平均,1978,69.3,69.8,72.7,65.2,61.5,70.4,116.1,68.4,63.2,77.6,41.6,72.1,61.5
昭和54年度平均,1979,72.5,72.9,75,68.4,64.9,77.2,118.9,71,65.7,82.9,45.3,74.9,64.3
昭和55年度平均,1980,77.6,78.5,78.6,70.1,68.8,106,128.6,74.6,66.4,85.5,49.6,81,73.7
