分類/品目/銘柄/単位,2006年11月,2007年9月,2007年10月,2007年11月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),2718,2663,2661,2571,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),2325,2285,2269,2236,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),1973,1924,1913,1928,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),613,602,617,600,
（穀類）/食パン/普通品/1kg(円),409,406,403,408,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),88,88,88,88,
（穀類）/カレーパン/揚げパン、普通品/100g(円),97,96,98,96,
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),79,77,36,36,
（穀類）/干しうどん/普通品/1kg(円),501,494,497,492,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),148,153,148,149,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),138,137,136,137,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),264,256,110,115,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),193,186,186,188,
（穀類）/もち/包装生もち/1kg(円),1046,1035,1077,1026,
（魚介類）/まぐろ/めばち又はきはだ、刺身用、さく、赤身/100g(円),432,397,399,396,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),106,122,115,111,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),106,106,134,135,
（魚介類）/かつお/切り身（刺身用）/100g(円),        -,237,230,        -,
（魚介類）/かれい/まがれい、あかがれい、むしがれい又はまこがれい、丸（長さ約20cm以上）/100g(円),164,196,203,176,平成19年1月から基本銘柄改正
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),244,232,239,225,
（魚介類）/さば/まさば、切り身/100g(円),107,113,108,117,平成19年1月から基本銘柄改正
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),72,89,80,82,
（魚介類）/たい/まだい、刺身用、さく/100g(円),221,624,618,600,平成19年1月から基本銘柄改正
（魚介類）/ぶり/切り身/100g(円),272,248,255,258,
（魚介類）/いか/するめいか/100g(円),101,88,82,88,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),253,274,273,282,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),256,258,262,257,
（魚介類）/あさり/殻付き/100g(円),119,114,116,116,
（魚介類）/かき/まがき、むき身/100g(円),317,        -,345,322,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),203,206,202,199,
（魚介類）/塩さけ/ぎんざけ、切り身/100g(円),173,178,174,174,
（魚介類）/たらこ/並/100g(円),581,541,546,536,
（魚介類）/しらす干し/並/100g(円),470,480,502,485,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),163,167,167,160,
（魚介類）/丸干しいわし/まいわし（長さ約12cm以上）、並/100g(円),138,118,112,118,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g(円),262,256,261,259,
