総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財 注1),,,,,,,,
品目数,,,1264,944,320,83,640,434,111,19,76,541,155,386,80,306,723,269,,,,,,,,
ウエイト,,,1000,813.03,186.97,78.589,517.13,337.673,61.336,61.694,56.427,404.281,131.235,273.046,82.8,190.246,595.719,193.643,,,,,,,,
平成15年平均,2003,,95.2,97.1,84.8,74.6,93.5,93.5,92.1,89.2,98.8,101.9,104.3,100.7,106,98.8,91.1,99.6,,,,,,,,
平成16年平均,2004,,96.8,98.4,88.4,82.1,96.2,96.3,96.6,91.9,99.3,100.7,101.7,100,102.5,99.2,94.4,99.8,,,,,,,,
平成17年平均,2005,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,
平成18年平均,2006,,104.3,102.2,113.7,120.7,105.5,105.7,103,110.7,101.3,99.7,99.4,99.8,97.1,101,107.5,100.6,,,,,,,,
平成15年度平均,2003,,95.2,97.2,84.2,74.7,93.6,93.6,92.8,88.9,98.8,101.5,103.5,100.5,105,98.9,91.2,99.3,,,,,,,,
平成16年度平均,2004,,97.4,98.8,90.3,84.1,97.2,97.3,97.8,93.2,99.4,100.4,101.2,99.9,101.8,99.1,95.4,100,,,,,,,,
平成17年度平均,2005,,101.3,100.5,104.5,107.3,101.3,101.2,100.6,103.8,100.4,100,99.8,100.2,99.4,100.5,102.1,100,,,,,,,,
平成18年度平均,2006,,104.9,102.6,115.5,122.2,106.6,107.1,104.2,110.6,101.6,99.5,99.4,99.6,96.2,101.1,108.6,100.9,,,,,,,,
平成18年11月,2006,11,104.8,102.6,114.7,119.7,106.7,107.6,104.9,108.3,101.8,99.5,99.4,99.6,96.1,101.1,108.4,101.1,,,,,,,,
平成18年12月,2006,12,105,102.7,115.1,119.9,106.9,107.8,105,108.1,101.9,99.6,99.3,99.7,95.9,101.4,108.6,101.2,,,,,,,,
平成19年１月,2007,1,105.5,102.5,118.4,122.9,107.5,108.5,105.7,108.6,102.3,99.5,99.3,99.5,95.5,101.3,109.5,101.4,,,,,,,,
平成19年２月,2007,2,105,102.5,116,117.5,107.5,108.6,106,107.5,102.3,99.4,99.3,99.5,95.1,101.4,108.8,101.4,,,,,,,,
平成19年３月,2007,3,105.1,102.7,115.7,119.5,107.6,108.7,106.3,107.9,102.2,99.1,99,99.2,94.6,101.2,109.2,101.3,,,,,,,,
平成19年４月,2007,4,106.5,103.5,119.4,125.9,109.1,110.3,106.9,109.8,102.8,99.4,99.2,99.5,94.6,101.7,111.3,101.7,,,,,,,,
平成19年５月,2007,5,107.5,103.8,123.7,132,109.9,111.1,107.1,112.6,103.1,99.8,99.2,100,94.5,102.5,112.8,101.7,,,,,,,,
平成19年６月,2007,6,108,103.9,125.7,134.4,110.3,111.4,107.1,113.8,103.1,99.9,99.1,100.3,94.2,102.9,113.5,101.7,,,,,,,,
平成19年７月,2007,7,108.5,104.6,125.4,135.3,111,111.7,107.1,118.2,103.5,100,99.3,100.3,94.1,103,114.2,101.8,,,,,,,,
平成19年８月,2007,8,108,104.6,122.7,134.8,110.4,110.7,107,118.7,103.5,99.6,98.8,100,93.8,102.7,113.7,101.4,,,,,,,,
平成19年９月,2007,9,107.7,104.5,121.5,133.4,110.1,110.4,106.7,117.7,103.9,99.5,98.7,99.9,93.6,102.6,113.2,101.3,,,,,,,,
平成19年10月,2007,10,108.7,104.8,125.6,139.7,110.8,111.3,107,118.1,104.6,99.8,98.8,100.3,93.1,103.4,114.7,101.5,,,,,,,,
平成19年11月,2007,11,108.7,105,124.8,140.6,110.9,110.9,106.7,121.2,104.7,99.7,98.4,100.4,92.9,103.6,114.8,101.1,,,,,,,,
対前月比(%),,,0,0.2,-0.6,0.6,0.1,-0.4,-0.3,2.6,0.1,-0.1,-0.4,0.1,-0.2,0.2,0.1,-0.4,,,,,,,,
対前年同月比(%),,,3.7,2.3,8.8,17.5,3.9,3.1,1.7,11.9,2.8,0.2,-1,0.8,-3.3,2.5,5.9,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成19年12月,,,,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,
注1) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,,,,
注2)今月から平成17年平均を基準とした指数を掲載している,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,
