分類/品目/銘柄/単位,2006年12月,2007年10月,2007年11月,2007年12月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),2705,2661,2571,2590,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),2312,2269,2236,2260,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),1978,1913,1928,1903,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),612,617,600,589,
（穀類）/食パン/普通品/1kg(円),405,403,408,438,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),87,88,88,93,
（穀類）/カレーパン/揚げパン、普通品/100g(円),96,98,96,100,
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),79,36,36,35,
（穀類）/干しうどん/普通品/1kg(円),502,497,492,516,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),153,148,149,168,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),137,136,137,133,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),255,110,115,111,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),191,186,188,188,
（穀類）/もち/包装生もち/1kg(円),1032,1077,1026,1026,
（魚介類）/まぐろ/めばち又はきはだ、刺身用、さく、赤身/100g(円),419,399,391,406,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),96,115,112,112,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),100,134,120,120,
（魚介類）/かつお/切り身（刺身用）/100g(円),        -,230,        -,        -,
（魚介類）/かれい/まがれい、あかがれい、むしがれい又はまこがれい、丸（長さ約20cm以上）/100g(円),161,203,190,187,平成19年1月から基本銘柄改正
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),247,239,225,233,
（魚介類）/さば/まさば、切り身/100g(円),101,108,117,102,平成19年1月から基本銘柄改正
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),68,80,81,77,
（魚介類）/たい/まだい、刺身用、さく/100g(円),224,618,600,620,平成19年1月から基本銘柄改正
（魚介類）/ぶり/切り身/100g(円),270,255,257,263,
（魚介類）/いか/するめいか/100g(円),99,82,84,68,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),264,273,282,288,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),259,262,257,255,
（魚介類）/あさり/殻付き/100g(円),117,116,116,115,
（魚介類）/かき/まがき、むき身/100g(円),320,345,322,322,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),216,202,199,196,
（魚介類）/塩さけ/ぎんざけ、切り身/100g(円),173,174,174,171,
（魚介類）/たらこ/並/100g(円),577,546,536,540,
（魚介類）/しらす干し/並/100g(円),467,502,485,515,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),163,167,160,166,
（魚介類）/丸干しいわし/まいわし（長さ約12cm以上）、並/100g(円),131,112,118,118,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g(円),265,261,259,256,
（魚介類）/ししゃも/子持ちししゃも、カラフトシシャモ、パック入り（8～12匹入り/100g(円),185,165,171,171,平成19年1月から基本銘柄改正
（魚介類）/さつま揚げ/並/100g(円),94,95,95,95,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g(円),111,109,110,107,
（魚介類）/かまぼこ/蒸かまぼこ、板付き、100g～160g、普通品/100g(円),163,160,155,160,
（魚介類）/かつお節/かつおぶし削りぶし、パック入り（3g×5袋入り）、普通品/1パック(円),133,131,135,136,
（魚介類）/塩辛/いかの塩辛、並/100g(円),203,194,195,193,
（魚介類）/魚みそ漬/さわら又はさけ、並/100g(円),236,216,225,220,平成19年1月から基本銘柄改正
（魚介類）/あさりつくだ煮/並/100g(円),415,416,414,414,
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、内容量80g入り/1缶(円),155,150,154,159,
（肉類）/牛肉/国産品、ロース/100g(円),859,896,903,910,平成19年1月から基本銘柄改正
（肉類）/牛肉/肩肉/100g(円),492,        -,        -,        -,平成19年1月調査から廃止
（肉類）/牛肉/輸入品、チルド（冷蔵）、ロース（肩ロースは除く）/100g(円),339,339,350,323,
（肉類）/豚肉/ロース/100g(円),239,245,244,243,
（肉類）/豚肉/もも肉/100g(円),161,181,180,181,平成19年1月から基本銘柄改正
（肉類）/鶏肉/ブロイラー、もも肉/100g(円),122,126,125,129,
（肉類）/レバー/豚レバー/100g(円),111,111,114,113,
（肉類）/ハム/ロースハム、JAS規格品・上級/100g(円),305,361,365,368,
（肉類）/ソーセージ/ウインナーソーセージ、袋入り、JAS規格品・標準/100g(円),171,180,182,184,
（肉類）/ベーコン/ベーコン、JAS格付なし、普通品/100g(円),293,230,244,243,平成19年5月から基本銘柄改正
（乳卵類）/牛乳/瓶入り（200ML）配達、瓶代を除く、月極め/1本(円),103,104,104,104,
（乳卵類）/牛乳/紙容器入り（1000ML入り）、店頭売り/1本(円),204,202,200,201,
（乳卵類）/粉ミルク/調整粉乳、缶入り（930g入り）/1缶(円),2478,2459,2441,2488,
（乳卵類）/バター/カルトン入り（200g入り）/1箱(円),328,329,321,321,
（乳卵類）/チーズ/国産品、プロセスチーズ、スライスチーズ、とろけるタイプ/1袋(円),313,286,287,299,平成19年1月から基本銘柄改正
（乳卵類）/チーズ/輸入品、フランス産、ナチュラルチーズ、紙容器（125g入り）/1個(円),478,522,567,576,
（乳卵類）/ヨーグルト/プレーンヨーグルト、500g入り/1個(円),215,206,200,197,
（乳卵類）/鶏卵/白色卵、Lサイズ、パック詰(10個入り）/1パック(円),232,217,212,215,
（野菜・海草）/キャベツ//1kg(円),102,165,137,151,
（野菜・海草）/ほうれんそう//1kg(円),581,962,626,655,
（野菜・海草）/はくさい/山東菜を除く/1kg(円),92,199,130,115,
（野菜・海草）/ねぎ//1kg(円),471,636,519,541,
（野菜・海草）/レタス/玉レタス/1kg(円),385,516,310,444,
（野菜・海草）/もやし/だいずもやしを除く/100g(円),16,16,16,16,
（野菜・海草）/ブロッコリー//1kg(円),449,753,570,578,
（野菜・海草）/アスパラガス/グリーンアスパラガス/100g(円),165,150,143,167,
（野菜・海草）/かんしょ//1kg(円),460,437,441,436,
（野菜・海草）/ばれいしょ//1kg(円),284,278,266,263,
（野菜・海草）/さといも/こいも、土付き/1kg(円),459,564,532,554,
（野菜・海草）/だいこん//1kg(円),94,193,123,121,
（野菜・海草）/にんじん//1kg(円),247,319,306,275,
（野菜・海草）/ごぼう//1kg(円),686,714,712,680,
（野菜・海草）/たまねぎ//1kg(円),215,204,194,195,
（野菜・海草）/れんこん//1kg(円),758,814,794,808,
（野菜・海草）/ながいも//1kg(円),503,641,643,630,
（野菜・海草）/えだまめ//100g(円),        -,        -,        -,        -,
（野菜・海草）/さやいんげん//100g(円),188,229,193,202,
（野菜・海草）/かぼちゃ//1kg(円),365,304,358,401,
（野菜・海草）/きゅうり//1kg(円),652,491,555,568,
（野菜・海草）/なす//1kg(円),660,593,528,704,
（野菜・海草）/トマト//1kg(円),618,695,744,857,
（野菜・海草）/ピーマン//100g(円),66,76,72,72,
（野菜・海草）/生しいたけ//100g(円),182,197,189,179,
（野菜・海草）/えのきだけ//100g(円),70,59,67,78,
（野菜・海草）/しめじ/ぶなしめじ/100g(円),101,93,101,108,
（野菜・海草）/あずき/大粒/100g(円),161,165,165,161,
（野菜・海草）/干ししいたけ/薄葉、並/100g(円),1276,1325,1329,1371,
（野菜・海草）/のり/焼きのり、中、1帖（10枚入り）/1帖(円),446,439,442,439,
（野菜・海草）/わかめ/生わかめ、湯通し塩蔵わかめ、養殖もの、国産品、並/100g(円),168,170,169,173,平成19年1月から基本銘柄改正
（野菜・海草）/こんぶ/板こんぶ、国産品、並/100g(円),581,613,625,620,
（野菜・海草）/ひじき/乾燥もの、芽ひじき、国内産、並/100g(円),620,637,621,650,
（野菜・海草）/豆腐/木綿豆腐、並/100g(円),34,33,34,33,
（野菜・海草）/油揚げ/薄揚げ/100g(円),145,143,145,142,
（野菜・海草）/納豆/丸大豆納豆、発泡スチロール容器入り（50g×3個）/1パック(円),139,131,130,130,
（野菜・海草）/こんにゃく/板こんにゃく/100g(円),50,49,48,48,
（野菜・海草）/梅干し/調味梅干し、中粒、並/100g(円),205,194,198,189,
（野菜・海草）/たくあん漬/本漬、中/100g(円),96,93,92,95,
（野菜・海草）/福神漬/並（瓶詰、缶詰を除く）/100g(円),96,91,90,96,
（野菜・海草）/こんぶつくだ煮/並/100g(円),225,221,217,217,
（野菜・海草）/はくさい漬/塩漬/100g(円),76,81,80,77,
（野菜・海草）/キムチ/はくさいキムチ（瓶詰を除く）/100g(円),146,151,148,150,
（野菜・海草）/スイートコーン缶詰/ホールカーネル（つぶ状）内容総量190g/1缶(円),131,137,129,129,
（果物）/りんご/つがる、1個200～400g/1kg(円),454,467,        -,        -,平成19年7月から基本銘柄改正
（果物）/りんご/ふじ、1個250～385g/1kg(円),426,        -,461,417,
（果物）/みかん/温州みかん、1個70g～130g/1kg(円),548,558,458,449,平成19年7月から基本銘柄改正
（果物）/レモン/1個110～160g/1kg(円),562,706,697,661,
（果物）/グレープフルーツ/1個350～520g/1kg(円),369,322,361,395,
（果物）/オレンジ/輸入品、バレンシア又はネーブルオレンジ、1個170～310g/1kg(円),409,467,460,447,
（果物）/いよかん/1個200～300g/1kg(円),        -,        -,        -,        -,
（果物）/なし/幸水又は豊水、1個300g～450g/1kg(円),        -,586,        -,        -,平成19年7月から基本銘柄改正
（果物）/ぶどう/デラウェア/1kg(円),        -,        -,        -,        -,
（果物）/ぶどう/巨峰/1kg(円),        -,1064,        -,        -,
（果物）/かき/1個190～260g/1kg(円),603,558,493,497,
（果物）/もも/1個200～350g/1kg(円),        -,        -,        -,        -,平成19年7月から基本銘柄改正
（果物）/すいか//1kg(円),        -,        -,        -,        -,
（果物）/メロン/ネット系メロン/1kg(円),        -,        -,        -,        -,
（果物）/いちご//100g(円),166,        -,        -,165,
（果物）/さくらんぼ/国内産/100g(円),        -,        -,        -,        -,
（果物）/バナナ//1kg(円),221,238,236,245,
（果物）/キウイフルーツ/1個85～144g/1kg(円),707,747,716,731,
（果物）/みかん缶詰/シラップづけ、並ぶた缶、内容総量425g入り、普通品/1缶(円),108,119,118,122,
（果物）/もも缶詰/黄桃、内容総量410～425g入り、普通品/1缶(円),135,        -,        -,        -,平成19年1月調査から廃止
（油脂・調味料）/食用油/キャノーラ（なたね油）、ポリ容器入り（1000g入り）/1本(円),390,395,382,403,
（油脂・調味料）/マーガリン/ファットスプレッド、ポリ容器入り（450g入り）/1箱(円),260,263,267,263,
（油脂・調味料）/食塩/家庭用、袋入り（1kg入り）、「食塩」/1袋(円),112,112,112,112,
（油脂・調味料）/しょう油/濃口、特級、JAS規格品、ポリ容器入り（1L入り）/1本(円),266,269,255,268,
（油脂・調味料）/みそ/米みそ、袋入り（1kg入り）、並/1袋(円),320,302,317,298,
（油脂・調味料）/砂糖/上白、袋入り（1kg入り）/1袋(円),195,197,202,197,
（油脂・調味料）/酢/瓶詰（500mL入り）、「ミツカン酢（黒マーク）」/1本(円),130,128,130,136,
（油脂・調味料）/ソース/ウスターソース類、特級、ポリ容器入り（500mL入り）/1本(円),262,264,265,269,
（油脂・調味料）/トマトケチャップ/ポリ容器（500g入り）/1本(円),253,259,260,262,
（油脂・調味料）/マヨネーズ/ポリ容器入り（500g入り）、「キューピーマヨネーズ」/1本(円),265,317,303,307,
（油脂・調味料）/ジャム/いちごジャムプレザーブスタイル、瓶詰（170g入り）/1瓶(円),210,214,217,208,
（油脂・調味料）/即席カレー/固形、箱入り（250g）「バーモントカレー」/1箱(円),231,226,225,237,
（油脂・調味料）/即席スープ/粉末、ポタージュ、コーンクリーム、箱入り(4袋、78．4g入り）/1箱(円),187,196,186,181,
（油脂・調味料）/風味調味料/かつお風味、箱入り（40g×3）「ほんだし」/1箱(円),328,353,361,334,平成19年10月から基本銘柄改正
（油脂・調味料）/液体調味料/瓶詰「エバラ焼肉のたれ黄金の味」（210g入り）/1本(円),286,293,284,296,
（油脂・調味料）/ふりかけ/袋入り「丸美屋のりたま」（62g入り）/1袋(円),208,206,211,208,
（油脂・調味料）/中華合わせ調味料/麻婆豆腐の素、箱入り(162g入り)「丸美屋麻婆豆腐の素」/1箱(円),217,216,223,216,
（菓子類）/ようかん/練りようかん、普通品/100g(円),253,256,264,265,
（菓子類）/まんじゅう/小麦粉製、あずきあん入り、並/100g(円),133,132,134,134,
（菓子類）/だいふく餅/白、あずきあん入り，普通品/100g(円),109,111,113,111,
（菓子類）/カステラ/普通品/100g(円),208,202,203,203,平成19年1月から基本銘柄改正
（菓子類）/ケーキ/いちごショートケーキ（1個60～100g）/100g(円),374,364,364,371,
（菓子類）/シュークリーム/カスタードクリーム入り/100g(円),151,147,150,156,
（菓子類）/プリン/グリコプッチンプリン（78g×3個）/1パック(円),179,176,179,175,
（菓子類）/ビスケット/箱入り（3枚パック×8袋入り）、「森永マリー」/100g(円),139,131,130,128,
（菓子類）/あめ/のどあめ、袋入り（104g入り）/1袋(円),190,186,184,182,平成19年10月から基本銘柄改正
（菓子類）/塩せんべい/うるち米粉製せんべい、普通品/100g(円),149,140,142,140,
（菓子類）/かわらせんべい/小麦粉製せんべい、並/100g(円),127,128,128,128,
（菓子類）/チョコレート/「明治ミルクチョコレート」70g/1枚(円),94,96,93,93,
（菓子類）/落花生/バターピーナッツ/100g(円),106,105,102,108,
（菓子類）/チューインガム/粒ガム「キシリトールガム」（14粒入り）/1個(円),118,120,120,120,
（菓子類）/アイスクリーム/バニラアイスクリーム､カップ入り(120ML入り)、｢ハーゲンダッツバニラ｣/1個(円),257,257,257,258,
（菓子類）/ポテトチップス/袋入り（65～110g入り）、成型ポテトチップスを除く/100g(円),153,147,163,165,
（菓子類）/ゼリー/フルーツゼリー、果肉入り、カップ入り（180～260g入り）/1個(円),137,136,132,130,
（調理食品）/弁当/持ち帰り弁当幕の内並/1個(円),557,540,540,544,
（調理食品）/サンドイッチ/タマゴサンド/100g(円),177,175,176,179,
（調理食品）/おにぎり/さけ入り、並/1個(円),120,121,123,121,
（調理食品）/冷凍調理ピラフ/えびピラフ、袋入り（450～500g入り）/100g(円),456,100,101,99,平成19年8月から基本銘柄改正
（調理食品）/すし(弁当)/持ち帰りずし、にぎりずし、8～10個入り、並/1パック(円),704,713,709,708,
（調理食品）/調理パスタ/電子レンジ専用パスタ、箱入り(200g入り)、「カゴメデリ」/1箱(円),238,227,240,238,
