総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,輸出品,(参考)生産財(1)+(2),(参考)投資財 注),,,,,,,,
品目数,,,1439,1092,347,97,753,476,141,20,116,589,155,434,105,329,257,850,299,,,,,,,,
ウエイト,,,855.2,741.8,113.4,47.8,445.2,268.6,62.9,47.4,66.3,362.3,127.2,235.1,74,161.1,144.8,492.9,191.4,,,,,,,,
平成15年平均,2003,,95.6,94.9,100.1,107.7,96.5,94.2,100.3,102.1,98.5,93,88.7,95.2,85.8,99.6,97.8,97.6,92.5,,,,,,,,
平成16年平均,2004,,97.2,96.1,104.3,118.5,99.3,97,105.1,105.1,99,91.8,86.6,94.6,82.9,100,96.4,101.2,92.7,,,,,,,,
平成17年平均,2005,,100.4,97.7,118,144.4,103.2,100.8,108.8,114.4,99.7,91.2,85.1,94.6,80.9,100.8,98.3,107.2,92.9,,,,,,,,
平成18年平均,2006,,105.5,100.7,137.3,173.2,109.5,107.8,113.3,127.1,100.9,91.7,85.1,95.3,80.1,102.2,102.8,115.7,94.5,,,,,,,,
平成15年度平均,2003,,95.6,95,99.4,107.9,96.6,94.3,101,101.7,98.5,92.6,88,95.1,84.9,99.7,96.8,97.7,92.3,,,,,,,,
平成16年度平均,2004,,97.7,96.4,106,121.5,100.2,98,106.3,106.5,99.1,91.4,86.1,94.3,82.2,99.9,96.6,102.3,92.8,,,,,,,,
平成17年度平均,2005,,101.9,98.4,124.3,154.5,104.7,102.1,109.6,119,100.1,91.5,85.1,94.9,80.7,101.4,99.5,109.5,93.2,,,,,,,,
平成18年度平均,2006,,106.3,101.2,139.8,175.1,110.8,109.5,114.7,126.8,101.2,91.7,85.2,95.2,79.9,102.3,104,117,94.9,,,,,,,,
平成18年３月,2006,3,103.9,99.4,132.8,166.2,107.1,104.6,111,125.1,100.6,91.7,85.1,95.3,80.6,102,101.1,112.8,93.7,,,,,,,,
平成18年４月,2006,4,104.5,100,134,168.3,108.2,106.2,111.9,124.9,100.6,91.6,85.2,95,80.6,101.6,101.8,114,94,,,,,,,,
平成18年５月,2006,5,105,100.6,133.8,172.5,109,107.1,112.9,126.7,100.5,91.2,84.9,94.7,80,101.4,100.3,115.2,94.2,,,,,,,,
平成18年６月,2006,6,105.4,100.6,137.2,176.1,109.3,107.4,113.3,127,100.6,91.4,85.1,94.8,79.9,101.7,102,115.8,94.4,,,,,,,,
平成18年７月,2006,7,106.5,101.4,140,178.6,110.8,108.9,114.2,131,100.7,91.7,85.2,95.3,80,102.3,103.5,117.4,94.8,,,,,,,,
平成18年８月,2006,8,107.2,101.7,143,184.4,111.4,109.4,114.4,133.4,101,91.9,85.1,95.6,79.9,102.8,104.2,118.5,94.8,,,,,,,,
平成18年９月,2006,9,107.6,101.9,144.4,185.8,111.8,109.9,114.8,133.5,101.1,92.1,85.2,95.8,80,103.1,105.1,118.9,95,,,,,,,,
平成18年10月,2006,10,106.9,101.4,142.5,177.9,111.5,110.4,115.4,126.4,101.4,91.9,85.3,95.5,79.7,102.7,105.5,117.9,95.3,,,,,,,,
平成18年11月,2006,11,106.4,101.3,139.4,172,111.2,110.4,115.6,124.1,101.4,91.7,85.2,95.3,79.9,102.3,104.5,117.1,95.2,,,,,,,,
平成18年12月,2006,12,106.4,101.4,139.6,172,111.4,110.6,115.6,124.1,101.5,91.7,85.1,95.3,79.8,102.5,104.7,117.2,95.2,,,,,,,,
平成19年１月,2007,1,106.8,101.1,143.6,175.4,111.7,110.9,115.8,124.4,101.8,91.7,85.2,95.3,79.7,102.4,106.1,117.8,95.3,,,,,,,,
平成19年２月,2007,2,106.4,101.1,140.4,168,111.6,111,116.1,122.8,101.9,91.7,85.3,95.2,79.7,102.3,106.1,117.1,95.5,,,,,,,,
平成19年３月,2007,3,106.5,101.4,140.1,170.5,111.8,111.2,116.5,123.1,101.8,91.6,85.1,95.1,79.5,102.2,104.7,117.5,95.5,,,,,,,,
対前月比(%),,,0.1,0.3,-0.2,1.5,0.2,0.2,0.3,0.2,-0.1,-0.1,-0.2,-0.1,-0.3,-0.1,-1.3,0.3,0,,,,,,,,
対前年同月比(%),,,2.5,2,5.5,2.6,4.4,6.3,5,-1.6,1.2,-0.1,0,-0.2,-1.4,0.2,3.6,4.2,1.9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成19年4月,,,,,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,,,,,
２０００年＝１００／（平成１２年平均＝１００）,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,,
