年月,西暦（年）,月,消費者物価指数（平成17年基準）/全国,消費者物価指数（平成17年基準）/東京都区部,戦前基準指数(昭和9～11年=1)/東京都区部消費者物価指数,戦前基準指数(昭和9～11年=1)/企業物価指数,1)消費水準指数全国(平成17年=100）/全世帯,1)消費水準指数全国(平成17年=100）/勤労者世帯,生計（東京都勤労者世帯）/実収入（円）,生計（東京都勤労者世帯）/消費支出（円）,生計（東京都勤労者世帯）/3)平均消費性向（％）,生計（東京都勤労者世帯）/4)公共的料金負担率（％）,2)実質賃金指数/調査産業計
昭和61年平均,1986,,88.6,89.2,1593,747.3,95.6,96.1,519227,328660,77,26.7,…
昭和62年平均,1987,,88.7,89.6,1599.3,719.3,97.7,97.1,534700,336659,76.2,25.4,…
昭和63年平均,1988,,89.3,90.5,1615.1,712.1,100.7,100.2,552315,344943,75.4,25.8,…
平成元年平均,1989,,91.3,92.9,1659.3,730.4,101.7,101.4,567395,350986,73.8,25.5,…
平成2年平均,1990,,94.1,95.8,1709.8,745.4,102.9,103.2,611320,373462,73.4,25.2,…
平成3年平均,1991,,97.3,98.9,1766.2,741.3,104.8,104,630856,389877,74.4,24.8,…
平成4年平均,1992,,98.9,100.9,1800.4,729.3,105.4,104.4,646147,392114,73.2,25.1,…
平成5年平均,1993,,100.2,102.1,1822.6,708.1,105.5,104.6,677044,397896,71.6,26.2,…
平成6年平均,1994,,100.8,102.8,1834.6,693.7,104.8,103.6,669665,395193,70.9,27,…
平成7年平均,1995,,100.7,102.5,1829.5,687.2,104.1,103.3,648892,380868,70.7,27.8,…
平成8年平均,1996,,100.8,102.5,1829.5,688,104.8,104.1,629627,379877,72.6,28.5,…
平成9年平均,1997,,102.7,103.8,1853.3,698.4,104.8,104.4,655940,386106,71.7,28.9,…
平成10年平均,1998,,103.3,104.6,1867.9,687.5,102.8,102.9,656646,377118,69.2,27.4,…
平成11年平均,1999,,103,104.2,1860.6,664.3,101.8,100.8,642848,366762,68.5,28.2,…
平成12年平均,2000,,102.2,103.2,1842.3,664.2,101.2,100.5,643946,372835,69.7,28.9,…
平成13年平均,2001,,101.5,102.1,1822,658,100,99.9,628068,364721,69.8,29.5,…
平成14年平均,2002,,100.6,101,1803.6,645.7,100.6,99.7,633711,361608,68.2,29.4,…
平成15年平均,2003,,100.3,100.6,1796.2,637.3,99.6,98.4,583065,355982,73.2,29.8,…
平成16年平均,2004,,100.3,100.5,1794.4,644.7,100,99.7,596372,362122,72.7,30.1,…
平成17年平均,2005,,100,100,1785.2,665,100,100,578340,352303,72.8,29.5,100
平成18年平均,2006,,100.3,100.1,1787,698.4,98.2,97.4,585818,350664,72.4,29.5,100.6
平成17年１月,2005,1,100.1,100.1,1786.9852,644.2,98.4,100.5,487393,366735,89.1,32.3,…
平成17年２月,2005,2,99.8,99.8,1781.6296,648.5,98.9,99.6,521992,320178,72.4,34.6,…
平成17年３月,2005,3,100.1,100.2,1788.7704,651.8,104.4,105.3,510518,387064,90,29.3,…
平成17年４月,2005,4,100.2,100.2,1788.7704,662.1,107.3,109.3,529212,364547,81.3,34.4,…
平成17年５月,2005,5,100.3,100.4,1792.3408,660.2,96.1,94.4,481354,350694,91.3,29.8,…
平成17年６月,2005,6,99.9,100,1785.2,660.1,95.9,94.9,863222,329829,46.8,29.5,…
平成17年７月,2005,7,99.8,99.8,1781.6,668.6,96.3,97,599632,352002,70.5,26.2,…
平成17年８月,2005,8,99.9,99.8,1781.6,669.4,98,96.2,516540,340648,77.5,27.5,…
平成17年９月,2005,9,100.2,100.1,1787,672.1,97.4,96.9,463193,331477,85.9,30.2,…
平成17年10月,2005,10,100.2,100.1,1787,678.7,97.8,97.1,511063,341163,78.9,30.2,…
平成17年11月,2005,11,99.8,99.8,1781.6,681.7,96.2,95.1,473919,348456,87.7,26.7,…
平成17年12月,2005,12,99.9,99.8,1781.6,682.4,113.3,113.7,984422,395504,47.7,24.1,…
平成18年１月,2006,1,100,99.8,1781.6,680.3,96.3,97,464348,340706,87,30.2,80.9
平成18年２月,2006,2,99.7,99.5,1776.3,687.7,98.1,99.5,512337,326997,76.4,32.8,81.8
平成18年３月,2006,3,99.9,99.8,1781.6,687.3,102.8,101.9,476675,356552,89.1,31.4,84
平成18年４月,2006,4,100.1,100.1,1787,691.5,105.9,105.7,502827,377878,89.4,33.4,82.7
平成18年５月,2006,5,100.4,100.4,1792.3,693,95,92.4,479465,339516,88.5,30.1,80
平成18年６月,2006,6,100.4,100.3,1790.6,697,94.6,93.2,813540,330397,50.7,29.8,161.3
平成18年７月,2006,7,100.1,100,1785.2,704.6,95.5,96.1,664138,355276,65.1,25.8,119.2
平成18年８月,2006,8,100.8,100.6,1795.9,709.1,94.6,93,525594,338544,77,27.1,79.1
平成18年９月,2006,9,100.8,100.6,1795.9,712.1,91.3,90.2,503500,335703,81,31.6,78.6
平成18年10月,2006,10,100.6,100.5,1794.1,708.6,96,94.8,536293,337528,76.7,29.2,79.6
平成18年11月,2006,11,100.1,100,1785.2,704.6,96,94.5,511758,332214,78.5,30.8,86.1
平成18年12月,2006,12,100.2,100.1,1787,705.3,111.9,110.2,1039341,436651,50.2,23.5,194.4
平成19年１月,2007,1,100,99.9,1783.4,708.6,97.2,97.8,516342,355465,82.8,28.6,79.9
平成19年２月,2007,2,99.5,99.5,1776.3,706,98.5,96.5,523051,331147,75.5,30.1,80.8
平成19年３月,2007,3,99.8,99.9,1783.4,705.8,103,101.3,505554,365339,87,27.8,86.6
平成19年４月,2007,4,100.1,100.2,1788.8,715.5,107.1,105.5,515269,379894,87.2,37.7,83.8
平成19年５月,2007,5,100.4,100.4,1792.3,723.8,…,…,…,…,…,…,…
,,,,,,,,,,,,,
東京の物価／平成19年6月,,,,,,,,,,,,,
付属資料１　主要指標,,,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、これを平成17年平均を基準として指数化し、更に消費者物価指数で除して実質化した指数,,,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100   　(平成17年＝100),,,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,,,
