国(地域)/年月,西暦（年）,月,日本/国内企業物価指数,アメリカ合衆国/(季節調整済)/生産者物価指数/(完成財総合),カナダ/工業製品価格指数,韓国/生産者物価指数,オーストラリア/製造業製品価格指数,ユーロエリア/生産者物価指数,ユーロエリア/ドイツ/(季節調整済)/工業生産者物価指数,ユーロエリア/フランス/生産者価格指数/（中間財）,ユーロエリア/イタリア/(季節調整済)/工業品生産者価格指数,イギリス/生産者価格指数/(工業品),ロシア/生産者物価指数/(工業部門)
前年比(%)/2000年平均,2000,,0,3.7,4.3,2,7.1,5.3,3.1,4.4,6,1.5,31.6
前年比(%)/2001年平均,2001,,-2.3,2,1,-0.5,3.1,2,4.9,1.2,1.9,-0.3,10.6
前年比(%)/2002年平均,2002,,-2,-1.3,0.1,-0.3,0.2,-0.1,-2.4,-0.5,0.2,0,17.5
前年比(%)/2003年平均,2003,,-0.8,3.2,-1.4,2.2,0.5,1.4,1.7,0.4,1.6,1.5,13
前年比(%)/2004年平均,2004,,1.3,3.6,3.2,6.1,4,2.3,1.6,2.6,2.7,2.5,28.9
前年比(%)/2005年平均,2005,,1.7,4.9,1.5,2.2,6,4.1,4.6,2.9,4,2.8,13.4
前年比(%)/2006年平均,2006,,3.1,2.9,2.3,2.3,7.9,5.1,5.5,4.3,5.6,2.5,10.4
前年同月比(%)/2006年1月,2006,1,2.7,5.6,2.5,2.1,-,5.2,5.6,2.4,4.8,2.9,0.5
前年同月比(%)/2006年2月,2006,2,3,3.9,0.8,1.7,-,5.4,5.9,2.3,4.9,2.9,3.3
前年同月比(%)/2006年3月,2006,3,2.7,3.6,1.3,1.4,7.9,5.1,5.9,2.3,4.5,2.5,2.1
前年同月比(%)/2006年4月,2006,4,2.6,4.1,2.2,1.5,-,5.5,6.1,2.8,5.5,2.5,0.6
前年同月比(%)/2006年5月,2006,5,3.3,4.5,2.6,2.6,-,6,6.2,3.7,6.6,3.1,1.8
前年同月比(%)/2006年6月,2006,6,3.4,4.9,2.2,3.2,9.9,5.8,6.1,4.4,6.2,3.4,0.8
前年同月比(%)/2006年7月,2006,7,3.5,4,4.6,2.8,-,6,6,5.4,7,2.9,1.7
前年同月比(%)/2006年8月,2006,8,3.6,3.8,3.6,3.4,-,5.7,5.9,6,6.6,2.7,2.2
前年同月比(%)/2006年9月,2006,9,3.6,0.9,1.4,3.1,7.9,4.6,5.1,6,5.5,1.9,1.4
前年同月比(%)/2006年10月,2006,10,2.7,-1.2,1.2,1.9,-,4,4.6,5.5,4.9,1.6,-2.8
前年同月比(%)/2006年11月,2006,11,2.6,0.9,2,1.9,-,4.3,4.7,5.2,5.3,1.8,-2.5
前年同月比(%)/2006年12月,2006,12,2.5,1.1,3.6,2.2,6.1,4.1,4.4,5.3,5.2,2.2,1
前年同月比(%)/2007年1月,2007,1,2.1,0.2,3,1.5,-,3.1,3.2,4.9,4,2.1,1.7
前年同月比(%)/2007年2月,2007,2,1.7,2.5,4.4,1.7,-,2.9,2.8,4.8,4,2.2,0.1
前年同月比(%)/2007年3月,2007,3,2,3.2,...,2.2,...,...,...,...,...,...,...
,,,,,,,,,,,,,
東京の物価／平成19年5月,,,,,,,,,,,,,
付属資料４ 主要国（地域）の企業物価指数及び生産者価格指数（変化率）,,,,,,,,,,,,,
注．アメリカ合衆国、ドイツ、イタリア、ロシアの数値は前月比,,,,,,,,,,,,,
資料　総務省統計局「総合統計データ月報」,,,,,,,,,,,,,
