総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,輸出品,(参考)生産財(1)+(2),(参考)投資財 注),,,,,,,,
品目数,,,1439,1092,347,97,753,476,141,20,116,589,155,434,105,329,257,850,299,,,,,,,,
ウエイト,,,855.2,741.8,113.4,47.8,445.2,268.6,62.9,47.4,66.3,362.3,127.2,235.1,74,161.1,144.8,492.9,191.4,,,,,,,,
平成15年平均,2003,,95.6,94.9,100.1,107.7,96.5,94.2,100.3,102.1,98.5,93,88.7,95.2,85.8,99.6,97.8,97.6,92.5,,,,,,,,
平成16年平均,2004,,97.2,96.1,104.3,118.5,99.3,97,105.1,105.1,99,91.8,86.6,94.6,82.9,100,96.4,101.2,92.7,,,,,,,,
平成17年平均,2005,,100.4,97.7,118,144.4,103.2,100.8,108.8,114.4,99.7,91.2,85.1,94.6,80.9,100.8,98.3,107.2,92.9,,,,,,,,
平成18年平均,2006,,105.5,100.7,137.3,173.2,109.5,107.8,113.3,127.1,100.9,91.7,85.1,95.3,80.1,102.2,102.8,115.7,94.5,,,,,,,,
平成15年度平均,2005,,95.6,95,99.4,107.9,96.6,94.3,101,101.7,98.5,92.6,88,95.1,84.9,99.7,96.8,97.7,92.3,,,,,,,,
平成16年度平均,2004,,97.7,96.4,106,121.5,100.2,98,106.3,106.5,99.1,91.4,86.1,94.3,82.2,99.9,96.6,102.3,92.8,,,,,,,,
平成17年度平均,2005,,101.9,98.4,124.3,154.5,104.7,102.1,109.6,119,100.1,91.5,85.1,94.9,80.7,101.4,99.5,109.5,93.2,,,,,,,,
平成18年度平均,2006,,106.3,101.2,139.8,175.1,110.8,109.5,114.7,126.8,101.2,91.7,85.2,95.2,79.9,102.3,104,117,94.9,,,,,,,,
平成18年９月,2006,9,107.6,101.9,144.4,185.8,111.8,109.9,114.8,133.4,101.1,92.1,85.2,95.8,80,103.1,105.1,118.9,95,,,,,,,,
平成18年10月,2006,10,106.9,101.5,142.5,177.9,111.5,110.4,115.4,126.4,101.4,91.9,85.3,95.5,79.7,102.7,105.4,117.9,95.3,,,,,,,,
平成18年11月,2006,11,106.4,101.3,139.4,172,111.3,110.4,115.6,124.1,101.4,91.7,85.2,95.3,79.9,102.3,104.5,117.1,95.2,,,,,,,,
平成18年12月,2006,12,106.5,101.4,139.6,172,111.4,110.6,115.6,124.1,101.5,91.7,85.1,95.3,79.8,102.5,104.7,117.3,95.2,,,,,,,,
平成19年１月,2007,1,106.8,101.2,143.6,175.3,111.7,111,115.8,124.4,101.8,91.7,85.2,95.2,79.7,102.4,106.1,117.9,95.3,,,,,,,,
平成19年２月,2007,2,106.4,101.2,140.3,167.8,111.7,111.1,116.1,122.8,101.9,91.7,85.3,95.2,79.6,102.3,106,117.1,95.5,,,,,,,,
平成19年３月,2007,3,106.6,101.4,140.1,170.4,112,111.4,116.6,123.3,101.8,91.5,85,95,79.2,102.2,104.7,117.6,95.5,,,,,,,,
平成19年４月,2007,4,108.1,102.4,145.1,180.4,113.6,113.2,117.9,125.8,102.3,91.9,85.4,95.4,79.3,102.7,106.6,120.1,96.2,,,,,,,,
平成19年５月,2007,5,109.3,102.9,150.9,189.3,114.6,114.1,118.4,129.2,102.6,92.2,85.5,95.9,79.5,103.4,108.3,121.8,96.4,,,,,,,,
平成19年６月,2007,6,109.7,103,153.2,192.3,114.9,114.4,118.4,130.5,102.6,92.3,85.4,96.1,79.4,103.8,109.7,122.4,96.3,,,,,,,,
平成19年７月,2007,7,110.2,103.7,152.6,193.7,115.7,114.6,118.8,135.6,102.8,92.5,85.6,96.2,79.5,103.9,109.1,123.2,96.6,,,,,,,,
平成19年８月,2007,8,109.7,103.7,149,192.8,115,113.5,118.5,136.1,102.9,92.1,85,95.9,79.1,103.7,105.5,122.6,96.2,,,,,,,,
平成19年９月,2007,9,109.4,103.6,147.4,190.7,114.8,113.3,118.2,135,103.1,92.1,84.9,95.9,79.1,103.6,104.4,122.1,96,,,,,,,,
対前月比(%),,,-0.3,-0.1,-1.1,-1.1,-0.2,-0.2,-0.3,-0.8,0.2,0,-0.1,0,0,-0.1,-1,-0.4,-0.2,,,,,,,,
対前年同月比(%),,,1.7,1.7,2.1,2.6,2.7,3.1,3,1.2,2,0,-0.4,0.1,-1.1,0.5,-0.7,2.7,1.1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成19年10月,,,,,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,,,,,
２０００年＝１００／（平成１２年平均＝１００）,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,,
