総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,総平均,総平均/対前年(月)比（％）,総平均/対前年同月比（％）,工業製品,工業製品/加工食品,工業製品/繊維製品,工業製品/製材・木製品,工業製品/パルプ・紙・同製品,工業製品/化学製品,工業製品/プラスチック製品,工業製品/石油・石炭製品,工業製品/窯業・土石製品,工業製品/鉄鋼,工業製品/非鉄金属,工業製品/金属製品,工業製品/一般機器,工業製品/電気機器,工業製品/輸送用機器,工業製品/精密機器,工業製品/その他工業製品,農林水産物,鉱産物,電力都市ガス水道,スクラップ類,（参考）/輸出物価指数,（参考）/輸入物価指数,（参考）/国内・輸出・輸入の平均指数
品目数,,,910,,,862,109,47,18,37,145,20,12,43,50,32,43,84,108,13,27,74,29,6,8,5,222,275,1407
ウエイト,,,1000,-,-,919.4,117.4,19.8,12.7,30.3,78.3,38.4,36.6,30.9,36.8,20.3,39.6,103.3,161.4,99.2,11.3,83.1,25.5,6.3,46.6,2.2,1000,1000,1000
平成15年平均,2003,,94.9,-0.8,-,94.8,98.4,97.5,97.6,100.7,98.3,95.4,116.5,96.8,102.8,101.1,98.6,95.8,78,94.1,96.9,98.2,98.2,94.6,94.2,136.8,97.8,100.1,96
平成16年平均,2004,,96.1,1.3,-,95.9,98.8,97.5,99,100.8,101.5,96.6,127.3,97.3,117.1,114.2,101.4,95.3,74.5,93.1,95.8,98.1,102.6,94.8,93.6,178.5,96.4,104.3,97.1
平成17年平均,2005,,97.7,1.7,-,97.8,98.7,98.1,98,99.6,107.2,101.2,153.8,98.7,130,127.3,104.2,95.1,71.4,92.3,94.6,97.5,99.8,95.1,91.7,177.9,98.3,118,100.1
平成18年平均,2006,,100.7,3.1,-,100.8,99,99.9,102,100,111.6,105.1,181.5,99.9,133.9,184.3,105.5,95.3,69.7,92.2,94.2,97.7,97.6,95.7,94,235.9,102.8,137.3,105.2
平成15年度平均,2005,,95,-0.5,-,94.7,98.6,97.5,97.8,99.9,98.4,95.4,115.8,96.9,104.9,103.5,98.8,95.5,77,93.8,96.6,98.1,101,94.4,94.3,148.6,96.8,99.4,95.7
平成16年度平均,2004,,96.4,1.5,-,96.3,98.8,97.6,99,100.7,103.1,97.7,131.8,97.5,121.1,116.5,102.4,95.2,73.6,92.8,95.3,97.9,101.1,95.2,93.2,175.6,96.6,106,97.5
平成17年度平均,2005,,98.4,2.1,-,98.5,98.7,98.5,98,99.4,108.5,102.2,163.7,99.1,131.5,135.9,104.5,95,70.9,92.2,94.6,97.6,98.8,95.3,92.2,185,99.5,124.3,101.5
平成18年度平均,2006,,101.2,2.8,-,101.3,99.3,100.5,104.3,100.6,112.6,105.9,181,100.2,136.8,192.3,106,95.5,69.2,92.1,94.1,97.9,97.6,96,94.1,254.5,104,139.8,106
平成18年９月,2006,9,101.9,0.2,3.6,102,99.5,100.4,104.2,100.6,113.5,106.3,193.7,100.2,135.1,198.5,106.2,95.4,69.3,92.3,94,97.6,98.4,95.8,96.7,251.1,105.1,144.4,107.2
平成18年10月,2006,10,101.5,-0.4,2.8,101.7,99.6,101.6,105.5,100.9,113.1,106.5,182.3,100.3,137.1,200.1,106.3,95.7,69.1,92.1,94,97.9,97,95.8,92.6,255.2,105.4,142.5,106.7
平成18年11月,2006,11,101.3,-0.2,2.6,101.5,99.5,101.7,106.7,101.1,113.3,106.6,177.2,100.3,138.8,196.3,106.6,95.6,69.1,92,94.2,98,98.4,95.8,92.6,257.9,104.5,139.4,106.1
平成18年12月,2006,12,101.4,0.1,2.5,101.5,99.6,101.5,107.1,101.1,113.5,106.9,176.8,100.3,140.3,192.5,106.3,95.6,69,92,94.1,98,99.9,96.8,92.7,268.6,104.7,139.6,106.2
平成19年１月,2007,1,101.2,-0.2,2.2,101.3,99.8,100.5,107.5,101.2,114,106.7,174.4,100.5,141.9,183.8,106.4,95.8,68.7,92,94.1,98.3,95.6,96.8,94.2,262.5,106.1,143.6,106.7
平成19年２月,2007,2,101.2,0,1.8,101.2,99.8,101.5,107.7,101.4,113.7,106.7,170.5,100.5,143.3,183.4,106.6,95.9,68.6,92,94.2,98.5,97.6,96.8,94.2,272.3,106,140.3,106.3
平成19年３月,2007,3,101.4,0.2,2,101.5,99.7,102.3,108.2,101.4,113.7,106.8,172.2,100.7,144.5,188.8,106.9,95.6,68.6,92.2,94.2,98.4,96.6,96.8,94.2,291.3,104.7,140.1,106.3
平成19年４月,2007,4,102.4,1,2.4,102.6,99.9,103,108.5,101.8,115.2,107,180.5,100.7,145.9,206.7,107.7,96,68.5,92.5,94,98.8,96.3,99.4,93.6,309.2,106.6,145.1,107.9
平成19年５月,2007,5,102.9,0.5,2.3,103.1,99.9,103.2,108.6,101.9,115.5,107,188.2,100.7,147.3,211.6,108.2,95.9,68.4,92.5,94,98.9,96.8,99.4,93.6,300.1,108.3,150.9,109.1
平成19年６月,2007,6,103,0.1,2.4,103.2,100,102.8,108.1,102,116.6,106.7,190.9,100.7,148.4,210,108.6,95.9,68.2,92.2,93.9,98.9,96.1,99.4,93.6,300.3,109.7,153.2,109.7
平成19年７月,2007,7,103.7,0.7,2.3,103.8,100.1,102.1,107.5,102.8,117.1,107.1,196.6,100.7,149.3,214.2,109,96.3,68.1,92.2,93.9,99.3,96.1,99.4,97.6,317.6,109.1,152.6,110
平成19年８月,2007,8,103.7,0,2,103.7,100.1,102.7,106.6,103.3,117.4,107.6,198.7,100.8,149.2,205,109.1,96.1,68.1,92.2,93.8,99.3,96.9,99.4,97.6,312.6,105.5,149,109.1
平成19年９月,2007,9,103.6,-0.1,1.7,103.6,100.3,103.8,105.7,103.9,117.3,108,195.9,100.8,148.9,202.2,109.6,96,68,92.2,93.8,99.4,96.9,99.4,97.6,319.8,104.4,147.4,108.7
