年,西暦（年）,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和22年平均,1947,    -,6.19,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和23年平均,1948,    -,10.7,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和24年平均,1949,    -,13.4,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和25年平均,1950,    -,12.4,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和26年平均,1951,    -,14.5,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和27年平均,1952,    -,15.1,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和28年平均,1953,    -,16.2,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和29年平均,1954,    -,17.1,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -,    -
昭和30年平均,1955,    -,16.8,16.6,    -,9.04,31.8,51.6,18.3,28,21,4.67,15.5,16.4
昭和31年平均,1956,    -,17,16.6,    -,10.1,32.4,53.1,18.5,27.9,23.8,4.74,15.7,16.3
昭和32年平均,1957,    -,17.5,17.2,    -,10.8,34.1,53.1,18.7,28.3,24.2,4.99,15.6,16.4
昭和33年平均,1958,    -,17.7,17.3,    -,11.8,33.4,53.1,18.4,27.8,24.2,5.38,15.9,16.8
昭和34年平均,1959,    -,17.9,17.4,    -,13.4,33,53.5,18.3,27.4,23.6,5.44,16.8,16.8
昭和35年平均,1960,    -,18.6,18,    -,14.4,34.7,55.1,18.7,27,23.8,6.02,17.6,17.1
昭和36年平均,1961,    -,19.5,19,    -,15.5,35.9,56.2,19.2,27.6,25,6.59,18.6,17.9
昭和37年平均,1962,    -,20.9,20.4,    -,16.4,36.8,57.4,20.4,30.1,26.3,7.49,20,19.4
昭和38年平均,1963,    -,22.5,22.3,    -,17.7,36.8,58.6,21.7,29.7,26.7,8.45,22.2,20.6
昭和39年平均,1964,    -,23.4,22.9,    -,18.9,36.8,59.2,22.5,29.6,27.4,9.28,24.1,21.7
昭和40年平均,1965,    -,25.1,25.2,    -,20.2,36.8,60.2,23.2,32.1,27.9,10.1,25.7,23.1
昭和41年平均,1966,    -,26.3,25.9,    -,22.3,37,61.1,24.4,32.1,31.6,11.3,27.8,24.2
昭和42年平均,1967,    -,27.4,27.2,    -,23.7,36.8,62.8,25.2,32.5,32.8,11.8,29.2,24.8
昭和43年平均,1968,    -,28.9,29.1,    -,24.2,37,64.3,26.6,34.8,33.9,12.4,30.6,26.4
昭和44年平均,1969,    -,30.5,31.1,    -,25.4,37.4,64.2,28.2,34.4,35.4,13,33,28
昭和45年平均,1970,32.4,32.8,33.6,29.3,27.7,37.7,67,31.4,36.9,37.2,13.6,35.1,30
昭和46年平均,1971,34.4,34.8,35.8,31.1,29.7,38.3,70,34.6,37.4,38.2,14.9,37.7,31.5
昭和47年平均,1972,36.3,36.4,37.1,34.8,32.1,39.6,71.3,36.6,41.1,40,15.9,39.5,32.9
昭和48年平均,1973,40.6,40.8,42.2,38.7,35.7,42.2,80,44.3,40.4,42.3,17.6,43.5,35.3
昭和49年平均,1974,49.2,49.9,53.1,43.7,43.7,49.5,109,53.8,43.7,49.2,21,52.7,40.7
昭和50年平均,1975,55.2,56,59.7,48.8,47.5,58.6,109.9,56.8,49.4,56.3,27,60.4,46.1
昭和51年平均,1976,60.5,61.4,65.4,53.5,52,65.1,110.9,61.9,54,61.5,31.4,64.3,55.7
昭和52年平均,1977,65.5,66.5,69.8,58.5,56.6,71.9,114.5,65,56.6,75.1,35.9,68.7,59.4
昭和53年平均,1978,68.8,69.4,72.5,64,60.5,70.8,116.1,67.7,62.5,76.9,40.5,71.7,61.2
昭和54年平均,1979,71.4,71.8,73.5,67.7,64.1,74.9,117.5,70.4,65.1,81.4,44.4,73.9,63
昭和55年平均,1980,76.4,77.2,77.7,69.5,67.7,99.6,126.6,73.8,66.1,85.4,48.6,79.3,72
昭和56年平均,1981,80,81,81.6,72.1,70.7,107.9,131.1,76.5,67.8,88.7,52.4,83.2,75.7
昭和57年平均,1982,82.5,83.5,83.3,74.1,72.4,115.3,132,79.3,69.4,93.6,55.6,84.8,77.2
昭和58年平均,1983,84.2,85.2,85,76.1,74.9,115,131.8,81.1,70.4,92.9,58.5,87.3,80.6
昭和59年平均,1984,86.4,87.5,87.5,77.9,77.6,116.1,132.4,83.6,72.8,94.5,61,89.5,82.3
昭和60年平均,1985,88.4,89.5,89,80.4,80,116.5,133.1,86.6,77.3,97,64,91.2,83.2
昭和61年平均,1986,89.2,90.1,89.1,82.1,81.3,110.7,133.6,89.2,78.8,96.8,66.5,92.9,84.7
昭和62年平均,1987,89.6,90.2,88.9,84.4,83.6,102.6,133.1,88.8,80.4,97.6,68.8,93.8,85.8
昭和63年平均,1988,90.5,91.1,89.9,85.9,85.3,100.6,132.4,90,80.6,97.4,71.3,95,86.6
平成元年平均,1989,92.9,93.4,92.4,88.6,88,99.6,133.4,95,81.7,98.5,73.5,98.4,88
平成2年平均,1990,95.8,96.4,96.4,91.3,91.2,100.2,133.4,98.6,82.4,99.4,76.7,102.4,89.4
平成3年平均,1991,98.9,99.6,100.9,94.4,94.5,100.9,134.4,104.7,83.2,100.2,79.4,105.3,91.1
平成4年平均,1992,100.9,101.3,101.4,97.5,98.2,100.9,136,107.4,85.4,102.6,82.1,108.1,92.2
平成5年平均,1993,102.1,102.2,102.4,100.9,100.5,100.7,135,105.1,85.7,102.7,85.1,110.2,93.7
平成6年平均,1994,102.8,102.6,103.2,103,101.9,101.7,131.5,102.6,86.1,102.1,87.7,111.2,94.8
平成7年平均,1995,102.5,102.3,101.7,103.4,103.3,103.3,129.1,101.8,86.6,103.5,89.7,109.6,95.4
平成8年平均,1996,102.5,102.3,101.5,103.2,103.3,102.4,125.4,102.9,87.3,104.3,92,108.6,95.9
平成9年平均,1997,103.8,103.8,103.2,103.8,103.4,105.9,123.9,104.4,91.8,104.6,93.4,110.3,97.8
平成10年平均,1998,104.6,104.7,104.7,104,103.2,105,121.6,106.6,99.2,103.5,95,110.5,98.9
平成11年平均,1999,104.2,104,103.8,104.2,102.8,103.9,119.9,105.1,98.4,103.3,96.3,109.6,99.1
平成12年平均,2000,103.2,103,101.6,103.4,102.1,104.8,117.1,104.5,97.6,102.9,97.4,108.5,98.6
平成13年平均,2001,102.1,102.1,101.1,101.8,101.4,104.8,112.8,102.8,98,101.7,98.1,105.3,98.6
平成14年平均,2002,101,101,100.5,100.8,100.8,102.5,108.1,100.8,97,101.4,99.3,103.1,98.5
平成15年平均,2003,100.6,100.6,100.3,100.2,100.3,102.3,104.9,99.8,100.4,101.1,99.2,101.8,99.6
平成16年平均,2004,100.5,100.6,101.1,100,100.3,101.5,102.6,99.9,100.1,100.8,99.5,100.7,99.9
平成17年平均,2005,100,100,100,100,100,100,100,100,100,100,100,100,100
平成18年平均,2006,100.1,100.2,100.4,100.1,100,102.2,98.1,100.7,99.4,99.6,100.6,99.2,100.9
,,,,,,,,,,,,,,
東京の物価／平成１９年６月,,,,,,,,,,,,,,
２．東京都区部消費者物価１０大費目指数（年平均）,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,
