総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,輸出品,(参考)生産財(1)+(2),(参考)投資財 注),,,,,,,,
品目数,,,1439,1092,347,97,753,476,141,20,116,589,155,434,105,329,257,850,299,,,,,,,,
ウエイト,,,855.24,741.81,113.43,47.76,445.179,268.61,62.917,47.393,66.259,362.301,127.198,235.103,73.963,161.14,144.76,492.939,191.417,,,,,,,,
平成14年平均,2002,,96.4,95.7,101,103.7,96.6,94.6,99.1,101.4,98.8,95.2,92.3,96.8,90.4,99.7,101.9,97.3,94.5,,,,,,,,
平成15年平均,2003,,95.6,94.9,100.1,107.7,96.5,94.2,100.3,102.1,98.5,93,88.7,95.2,85.8,99.6,97.8,97.6,92.5,,,,,,,,
平成16年平均,2004,,97.2,96.1,104.3,118.5,99.3,97,105.1,105.1,99,91.8,86.6,94.6,82.9,100,96.4,101.2,92.7,,,,,,,,
平成17年平均,2005,,100.4,97.7,118,144.4,103.2,100.8,108.8,114.4,99.7,91.2,85.1,94.6,80.9,100.9,98.3,107.2,92.9,,,,,,,,
平成14年度平均,2002,,96.2,95.5,101.2,106.4,96.6,94.5,99.2,101.9,98.7,94.5,91.3,96.2,89.1,99.5,100.3,97.5,93.9,,,,,,,,
平成15年度平均,2003,,95.6,95,99.4,107.9,96.6,94.3,101,101.7,98.5,92.6,88,95.1,84.9,99.7,96.8,97.7,92.3,,,,,,,,
平成16年度平均,2004,,97.7,96.4,106,121.5,100.2,98,106.3,106.5,99.1,91.4,86.1,94.3,82.2,99.9,96.6,102.3,92.8,,,,,,,,
平成17年度平均,2005,,101.9,98.4,124.3,154.5,104.7,102.1,109.6,119,100.1,91.5,85.1,94.9,80.7,101.4,99.5,109.5,93.2,,,,,,,,
平成17年12月,2005,,102.9,98.9,128.8,158.4,105.9,103.6,110.1,121,100.4,91.8,85.2,95.3,80.8,102,102,111,93.5,,,,,,,,
平成18年１月,2006,1,102.8,99,127.8,157.2,106.2,103.7,110.3,123.4,100.5,91.5,85,95,80.5,101.7,99.9,111.2,93.4,,,,,,,,
平成18年２月,2006,2,103.9,99.4,133.3,166.8,107,104.4,110.7,125.1,100.7,91.8,85.1,95.4,80.6,102.2,101.5,112.8,93.6,,,,,,,,
平成18年３月,2006,3,103.9,99.4,132.8,166.2,107.1,104.6,111,125.1,100.6,91.7,85.1,95.3,80.6,102,101.1,112.8,93.7,,,,,,,,
平成18年４月,2006,4,104.5,100,134,168.2,108.2,106.2,111.9,125,100.6,91.6,85.2,95,80.6,101.6,101.8,114,94.1,,,,,,,,
平成18年５月,2006,5,105,100.6,133.7,172.4,109,107.1,112.9,126.7,100.5,91.2,84.9,94.6,80,101.4,100.3,115.2,94.2,,,,,,,,
平成18年６月,2006,6,105.4,100.6,137.2,176.1,109.3,107.4,113.3,127,100.6,91.4,85.1,94.8,79.9,101.7,102,115.7,94.4,,,,,,,,
平成18年７月,2006,7,106.4,101.3,139.9,178.6,110.7,108.7,114.2,131,100.7,91.7,85.3,95.3,80,102.3,103.4,117.2,94.8,,,,,,,,
平成18年８月,2006,8,107.1,101.6,142.9,184.3,111.2,109.1,114.4,133.4,101,91.9,85.1,95.6,79.8,102.8,104.1,118.3,94.8,,,,,,,,
平成18年９月,2006,9,107.5,101.9,144.4,185.7,111.6,109.6,114.8,133.5,101.1,92.1,85.2,95.8,80,103,105.2,118.8,95,,,,,,,,
平成18年10月,2006,10,106.9,101.5,142.4,177.9,111.5,110.4,115.4,126.8,101.5,91.9,85.4,95.5,79.7,102.7,105.6,118,95.3,,,,,,,,
平成18年11月,2006,11,106.4,101.4,139.2,172,111.3,110.5,115.5,124.5,101.4,91.7,85.2,95.2,79.9,102.3,104.5,117.2,95.2,,,,,,,,
平成18年12月,2006,12,106.5,101.4,139.5,172.3,111.4,110.6,115.6,124.3,101.5,91.8,85.1,95.3,79.8,102.5,104.8,117.3,95.2,,,,,,,,
対前月比(%),,,0.1,0,0.2,0.2,0.1,0.1,0.1,-0.2,0.1,0.1,-0.1,0.1,-0.1,0.2,0.3,0.1,0,,,,,,,,
対前年同月比(%),,,3.5,2.5,8.3,8.8,5.2,6.8,5,2.7,1.1,0,-0.1,0,-1.2,0.5,2.7,5.7,1.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成19年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,,,,,
２０００年＝１００／（平成１２年平均＝１００）,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,,
