種別,区分,入学志願者数（人）,入学志願者数／高等学校（本科）（人）,入学志願者数／高等学校／全日制（本科）（人）,入学志願者数／高等学校／定時制（本科）（人）,入学志願者数／中等教育学校後期課程（本科）（人）,入学志願者数／中等教育学校後期課程／全日制（本科）（人）,入学志願者数／中等教育学校後期課程／定時制（本科）（人）,入学志願者数／高等専門学校（人）,特別支援学校高等部（本科）
総数（国・公・私立）,総数,98538,96975,94303,2672,15,15,－,509,1039
総数（国・公・私立）,男,50440,49360,47998,1362,6,6,－,367,707
総数（国・公・私立）,女,48098,47615,46305,1310,9,9,－,142,332
国立,総数,836,835,831,4,－,－,－,1,－
国立,男,452,451,450,1,－,－,－,1,－
国立,女,384,384,381,3,－,－,－,－,－
公立,総数,72418,70875,68246,2629,14,14,－,492,1037
公立,男,37986,36919,35574,1345,6,6,－,356,705
公立,女,34432,33956,32672,1284,8,8,－,136,332
私立,総数,25284,25265,25226,39,1,1,－,16,2
私立,男,12002,11990,11974,16,－,－,－,10,2
私立,女,13282,13275,13252,23,1,1,－,6,－
,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,
１３－５　卒業後の状況調査（中学校）　設置者別高等学校等への入学志願者数,,,,,,,,,,
注）同一人が2校（又は2課程）以上志願した場合は実際に進学した学校（又は課程）に計上し、いずれにも入学しなかった場合には第一志望の学校（又は課程）に計上している。,,,,,,,,,,
