種別,区分,性別,社会福祉施設等入所・通所者数（人）,社会福祉施設等入所・通所者数／児童福祉施設（人）,社会福祉施設等入所・通所者数／障害者支援施設等（人）,社会福祉施設等入所・通所者数／医療機関（人）
総数（国・公・私立）,総数,総数（男・女）,880,－,874,6
総数（国・公・私立）,総数,男,549,－,547,2
総数（国・公・私立）,総数,女,331,－,327,4
総数（国・公・私立）,総数のうち視覚障害,総数（男・女）,13,－,13,－
総数（国・公・私立）,総数のうち聴覚障害,総数（男・女）,7,－,7,－
総数（国・公・私立）,総数のうち知的障害,総数（男・女）,703,－,702,1
総数（国・公・私立）,総数のうち肢体不自由,総数（男・女）,154,－,150,4
総数（国・公・私立）,総数のうち病弱・身体虚弱,総数（男・女）,3,－,2,1
,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,
１８－４　卒業後の状況調査（特別支援学校）　障害種別社会福祉施設等入所・通所者数（高等部）,,,,,,
＊法の経過措置終了に伴い、厚生施設と授産施設は障害者支援施設等に移行した。,,,,,,
