種別,地域階層,地域,和暦（年度）,西暦（年度）,生徒数（人）,生徒数／男（人）,生徒数／女（人）,生徒数／本科（人）,生徒数／本科／男（人）,生徒数／本科／女（人）,生徒数／本科／全日制（人）,生徒数／本科／全日制／男（人）,生徒数／本科／全日制／女（人）,生徒数／本科／全日制／１学年／男（人）,生徒数／本科／全日制／１学年／女（人）,生徒数／本科／全日制／２学年／男（人）,生徒数／本科／全日制／２学年／女（人）,生徒数／本科／全日制／３学年／男（人）,生徒数／本科／全日制／３学年／女（人）,生徒数／本科／定時制（人）,生徒数／本科／定時制／男（人）,生徒数／本科／定時制／女（人）,生徒数／本科／定時制／１学年／男（人）,生徒数／本科／定時制／１学年／女（人）,生徒数／本科／定時制／２学年／男（人）,生徒数／本科／定時制／２学年／女（人）,生徒数／本科／定時制／３学年／男（人）,生徒数／本科／定時制／３学年／女（人）,生徒数／本科／定時制／４学年／男（人）,生徒数／本科／定時制／４学年／女（人）,生徒数／専攻科／男（人）,生徒数／専攻科／女（人）,生徒数／別科／男（人）,生徒数／別科／女（人）,本科の帰国生徒数（再掲）（人）
総数（国・公・私立）,0,総数,平成30,2018,314385,154529,159856,314305,154529,159776,301600,147170,154430,50093,51900,48750,51502,48327,51028,12705,7359,5346,1961,1574,2193,1604,2050,1429,1155,739,－,80,－,－,612
総数（国・公・私立）,0,総数,令和元,2019,310355,153300,157055,310285,153300,156985,298192,146363,151829,50096,51386,48601,50235,47666,50208,12093,6937,5156,1952,1516,1867,1481,2055,1443,1063,716,－,70,－,－,586
総数（国・公・私立）,0,総数,令和2,2020,306302,151322,154980,306229,151322,154907,294677,144776,149901,48843,50713,48438,49997,47495,49191,11552,6546,5006,1844,1546,1883,1432,1736,1360,1083,668,－,73,－,－,653
総数（国・公・私立）,0,総数,令和3,2021,301712,149093,152619,301648,149093,152555,290731,142972,147759,47920,49068,47550,49600,47502,49091,10917,6121,4796,1629,1332,1806,1500,1808,1319,878,645,－,64,－,－,582
総数（国・公・私立）,0,総数,令和4,2022,299950,148652,151298,299883,148652,151231,289092,142703,146389,49495,50301,46650,47717,46558,48371,10791,5949,4842,1707,1499,1625,1283,1745,1420,872,640,－,67,－,－,492
総数（国・公・私立）,0,総数,令和5,2023,299865,150117,149748,299792,150117,149675,289053,144323,144730,50597,50365,48082,48304,45644,46061,10739,5794,4945,1768,1614,1676,1453,1568,1202,782,676,－,73,－,－,451
総数（国・公・私立）,1,区部,令和5,2023,213722,107870,105852,213649,107870,105779,205116,103314,101802,36344,35469,34444,33896,32526,32437,8533,4556,3977,1416,1282,1320,1159,1202,963,618,573,－,73,－,－,289
総数（国・公・私立）,2,千代田区,令和5,2023,10573,3024,7549,10573,3024,7549,9922,2714,7208,1021,2481,859,2282,834,2445,651,310,341,113,126,95,97,70,75,32,43,－,－,－,－,9
総数（国・公・私立）,2,中央区,令和5,2023,1249,442,807,1249,442,807,1249,442,807,150,295,140,274,152,238,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,4
総数（国・公・私立）,2,港区,令和5,2023,12521,5990,6531,12521,5990,6531,11911,5804,6107,2062,2161,1916,2001,1826,1945,610,186,424,47,126,48,127,61,101,30,70,－,－,－,－,40
総数（国・公・私立）,2,新宿区,令和5,2023,7992,5236,2756,7992,5236,2756,7293,4888,2405,1713,781,1633,834,1542,790,699,348,351,101,122,95,110,92,79,60,40,－,－,－,－,9
総数（国・公・私立）,2,文京区,令和5,2023,14547,7042,7505,14547,7042,7505,13779,6682,7097,2249,2498,2245,2429,2188,2170,768,360,408,109,123,101,130,123,122,27,33,－,－,－,－,6
総数（国・公・私立）,2,台東区,令和5,2023,4851,2744,2107,4851,2744,2107,4330,2473,1857,857,639,858,613,758,605,521,271,250,106,89,62,75,76,72,27,14,－,－,－,－,－
総数（国・公・私立）,2,墨田区,令和5,2023,5970,3050,2920,5970,3050,2920,5914,3013,2901,1052,1020,977,932,984,949,56,37,19,10,7,9,4,13,6,5,2,－,－,－,－,3
総数（国・公・私立）,2,江東区,令和5,2023,7125,3958,3167,7125,3958,3167,6472,3654,2818,1256,1012,1208,896,1190,910,653,304,349,76,111,98,87,76,101,54,50,－,－,－,－,11
総数（国・公・私立）,2,品川区,令和5,2023,9776,4334,5442,9776,4334,5442,9706,4290,5416,1380,1735,1334,1749,1576,1932,70,44,26,9,7,10,5,11,6,14,8,－,－,－,－,6
総数（国・公・私立）,2,目黒区,令和5,2023,8101,4240,3861,8101,4240,3861,8101,4240,3861,1660,1616,1368,1185,1212,1060,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,51
総数（国・公・私立）,2,大田区,令和5,2023,9208,5699,3509,9208,5699,3509,9145,5654,3491,2103,1249,1893,1213,1658,1029,63,45,18,6,5,12,5,11,3,16,5,－,－,－,－,－
総数（国・公・私立）,2,世田谷区,令和5,2023,24576,12553,12023,24576,12553,12023,23285,11648,11637,3998,4016,3836,3959,3814,3662,1291,905,386,291,112,282,118,255,86,77,70,－,－,－,－,37
総数（国・公・私立）,2,渋谷区,令和5,2023,8444,3091,5353,8444,3091,5353,8444,3091,5353,1077,1864,1070,1770,944,1719,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,43
総数（国・公・私立）,2,中野区,令和5,2023,9094,5183,3911,9094,5183,3911,8277,4735,3542,1649,1241,1623,1166,1463,1135,817,448,369,130,110,125,104,127,97,66,58,－,－,－,－,9
総数（国・公・私立）,2,杉並区,令和5,2023,15635,7456,8179,15635,7456,8179,15079,7144,7935,2551,2766,2396,2615,2197,2554,556,312,244,108,79,83,60,82,65,39,40,－,－,－,－,20
総数（国・公・私立）,2,豊島区,令和5,2023,12110,6612,5498,12110,6612,5498,12080,6597,5483,2266,1777,2251,1903,2080,1803,30,15,15,3,4,2,5,7,2,3,4,－,－,－,－,8
総数（国・公・私立）,2,北区,令和5,2023,9946,4594,5352,9946,4594,5352,9262,4260,5002,1467,1614,1503,1822,1290,1566,684,334,350,108,83,90,84,87,109,49,74,－,－,－,－,7
総数（国・公・私立）,2,荒川区,令和5,2023,2390,1842,548,2390,1842,548,2359,1814,545,639,212,596,171,579,162,31,28,3,2,－,9,2,12,1,5,－,－,－,－,－,7
総数（国・公・私立）,2,板橋区,令和5,2023,10037,5103,4934,10037,5103,4934,9933,5025,4908,1769,1692,1678,1617,1578,1599,104,78,26,19,2,13,6,22,8,24,10,－,－,－,－,5
総数（国・公・私立）,2,練馬区,令和5,2023,8279,4620,3659,8279,4620,3659,8279,4620,3659,1627,1272,1516,1203,1477,1184,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,9
総数（国・公・私立）,2,足立区,令和5,2023,6941,3956,2985,6941,3956,2985,6399,3684,2715,1332,1003,1218,898,1134,814,542,272,270,120,141,124,104,13,8,15,17,－,－,－,－,－
総数（国・公・私立）,2,葛飾区,令和5,2023,4954,2750,2204,4954,2750,2204,4733,2596,2137,913,748,926,721,757,668,221,154,67,40,21,31,14,40,14,43,18,－,－,－,－,－
総数（国・公・私立）,2,江戸川区,令和5,2023,9403,4351,5052,9330,4351,4979,9164,4246,4918,1553,1777,1400,1643,1293,1498,166,105,61,18,14,31,22,24,8,32,17,－,73,－,－,5
総数（国・公・私立）,1,市部,令和5,2023,84996,41713,43283,84996,41713,43283,82857,40523,42334,14097,14669,13463,14240,12963,13425,2139,1190,949,342,330,348,286,356,237,144,96,－,－,－,－,162
総数（国・公・私立）,2,八王子市,令和5,2023,13672,6755,6917,13672,6755,6917,12760,6247,6513,2213,2332,2063,2170,1971,2011,912,508,404,163,146,162,137,145,101,38,20,－,－,－,－,2
総数（国・公・私立）,2,立川市,令和5,2023,3933,1990,1943,3933,1990,1943,3336,1695,1641,635,614,547,510,513,517,597,295,302,82,109,92,87,93,88,28,18,－,－,－,－,－
総数（国・公・私立）,2,武蔵野市,令和5,2023,3786,1394,2392,3786,1394,2392,3786,1394,2392,463,840,472,791,459,761,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,8
総数（国・公・私立）,2,三鷹市,令和5,2023,2810,1470,1340,2810,1470,1340,2810,1470,1340,458,460,470,484,542,396,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,青梅市,令和5,2023,1311,612,699,1311,612,699,1150,517,633,163,231,174,206,180,196,161,95,66,22,21,27,15,30,18,16,12,－,－,－,－,－
総数（国・公・私立）,2,府中市,令和5,2023,4984,2747,2237,4984,2747,2237,4919,2715,2204,915,758,891,734,909,712,65,32,33,8,9,8,7,9,7,7,10,－,－,－,－,－
総数（国・公・私立）,2,昭島市,令和5,2023,2052,1044,1008,2052,1044,1008,2052,1044,1008,364,361,334,342,346,305,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,6
総数（国・公・私立）,2,調布市,令和5,2023,4434,1745,2689,4434,1745,2689,4403,1725,2678,590,950,613,902,522,826,31,20,11,8,4,3,1,2,－,7,6,－,－,－,－,8
総数（国・公・私立）,2,町田市,令和5,2023,8967,4374,4593,8967,4374,4593,8857,4310,4547,1514,1548,1394,1517,1402,1482,110,64,46,19,15,12,13,21,9,12,9,－,－,－,－,6
総数（国・公・私立）,2,小金井市,令和5,2023,4026,2216,1810,4026,2216,1810,3970,2161,1809,741,597,705,604,715,608,56,55,1,15,－,16,1,12,－,12,－,－,－,－,－,113
総数（国・公・私立）,2,小平市,令和5,2023,5812,2353,3459,5812,2353,3459,5812,2353,3459,775,1148,795,1176,783,1135,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,4
総数（国・公・私立）,2,日野市,令和5,2023,2842,1507,1335,2842,1507,1335,2842,1507,1335,522,472,506,441,479,422,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,東村山市,令和5,2023,3040,1398,1642,3040,1398,1642,3040,1398,1642,509,557,489,525,400,560,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,国分寺市,令和5,2023,2032,1163,869,2032,1163,869,2032,1163,869,388,274,368,298,407,297,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,5
総数（国・公・私立）,2,国立市,令和5,2023,2966,1766,1200,2966,1766,1200,2933,1743,1190,614,391,579,398,550,401,33,23,10,6,6,5,2,11,1,1,1,－,－,－,－,1
総数（国・公・私立）,2,福生市,令和5,2023,1316,859,457,1316,859,457,1261,824,437,274,161,272,156,278,120,55,35,20,8,7,7,4,10,6,10,3,－,－,－,－,1
総数（国・公・私立）,2,狛江市,令和5,2023,952,487,465,952,487,465,952,487,465,159,162,167,152,161,151,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,東大和市,令和5,2023,1656,896,760,1656,896,760,1656,896,760,327,230,285,269,284,261,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,清瀬市,令和5,2023,935,448,487,935,448,487,935,448,487,175,182,149,160,124,145,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,東久留米市,令和5,2023,1653,857,796,1653,857,796,1554,807,747,293,281,285,261,229,205,99,50,49,9,10,13,19,19,7,9,13,－,－,－,－,4
総数（国・公・私立）,2,武蔵村山市,令和5,2023,2898,1383,1515,2898,1383,1515,2898,1383,1515,441,489,479,566,463,460,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,多摩市,令和5,2023,1685,635,1050,1685,635,1050,1685,635,1050,242,387,217,342,176,321,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,稲城市,令和5,2023,1183,229,954,1183,229,954,1183,229,954,96,309,82,331,51,314,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,羽村市,令和5,2023,596,302,294,596,302,294,596,302,294,112,119,94,83,96,92,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,あきる野市,令和5,2023,2085,1370,715,2085,1370,715,2065,1357,708,446,234,478,228,433,246,20,13,7,2,3,3,－,4,－,4,4,－,－,－,－,－
総数（国・公・私立）,2,西東京市,令和5,2023,3370,1713,1657,3370,1713,1657,3370,1713,1657,668,582,555,594,490,481,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,1,郡部,令和5,2023,532,161,371,532,161,371,490,129,361,47,130,41,105,41,126,42,32,10,9,2,4,4,6,1,13,3,－,－,－,－,－
総数（国・公・私立）,2,瑞穂町,令和5,2023,532,161,371,532,161,371,490,129,361,47,130,41,105,41,126,42,32,10,9,2,4,4,6,1,13,3,－,－,－,－,－
総数（国・公・私立）,2,日の出町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,檜原村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,奥多摩町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,1,島部,令和5,2023,615,373,242,615,373,242,590,357,233,109,97,134,63,114,73,25,16,9,1,－,4,4,4,1,7,4,－,－,－,－,－
総数（国・公・私立）,2,大島町,令和5,2023,302,203,99,302,203,99,293,195,98,57,42,73,27,65,29,9,8,1,－,－,3,－,2,－,3,1,－,－,－,－,－
総数（国・公・私立）,2,利島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,新島村,令和5,2023,34,20,14,34,20,14,34,20,14,5,6,9,5,6,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,神津島村,令和5,2023,46,23,23,46,23,23,46,23,23,5,9,10,4,8,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,三宅村,令和5,2023,24,18,6,24,18,6,24,18,6,5,2,9,－,4,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,御蔵島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,八丈町,令和5,2023,148,75,73,148,75,73,132,67,65,24,22,24,20,19,23,16,8,8,1,－,1,4,2,1,4,3,－,－,－,－,－
総数（国・公・私立）,2,青ヶ島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,小笠原村,令和5,2023,61,34,27,61,34,27,61,34,27,13,16,9,7,12,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,0,総数,平成30,2018,135741,68207,67534,135741,68207,67534,124235,61755,62480,21012,20788,20628,21100,20115,20592,11506,6452,5054,1671,1484,1868,1504,1758,1327,1155,739,－,－,－,－,121
公立,0,総数,令和元,2019,133349,67081,66268,133349,67081,66268,122454,61039,61415,20884,20732,20128,20184,20027,20499,10895,6042,4853,1640,1403,1595,1389,1744,1345,1063,716,－,－,－,－,77
公立,0,総数,令和2,2020,130180,65559,64621,130180,65559,64621,119779,59870,59909,20310,20151,19981,20133,19579,19625,10401,5689,4712,1541,1454,1587,1320,1478,1270,1083,668,－,－,－,－,154
公立,0,総数,令和3,2021,126736,63663,63073,126736,63663,63073,116975,58404,58571,19327,19146,19590,19744,19487,19681,9761,5259,4502,1348,1240,1513,1410,1520,1207,878,645,－,－,－,－,111
