種別,地域階層,地域,和暦（年度）,西暦（年度）,職員数（人）,職員数／男（人）,職員数／女（人）,職員数／負担法による者（公立）／事務職員／男（人）,職員数／負担法による者（公立）／事務職員／女（人）,職員数／負担法による者（公立）／学校栄養職員／男（人）,職員数／負担法による者（公立）／学校栄養職員／女（人）,職員数／その他の者／事務職員／男（人）,職員数／その他の者／事務職員／女（人）,職員数／その他の者／実習助手／男（人）,職員数／その他の者／実習助手／女（人）,職員数／その他の者／学校図書館事務員／男（人）,職員数／その他の者／学校図書館事務員／女（人）,職員数／その他の者／技術職員／男（人）,職員数／その他の者／技術職員／女（人）,職員数／その他の者／養護職員（看護師等）／男（人）,職員数／その他の者／養護職員（看護師等）／女（人）,職員数／その他の者／学校栄養職員／男（人）,職員数／その他の者／学校栄養職員／女（人）,職員数／その他の者／学校給食調理従事者／男（人）,職員数／その他の者／学校給食調理従事者／女（人）,職員数／その他の者／用務員／男（人）,職員数／その他の者／用務員／女（人）,職員数／その他の者／警備員・その他／男（人）,職員数／その他の者／警備員・その他／女（人）
総数（国・公・私立）,0,総数,平成30,2018,54,28,26,5,4,－,4,18,10,1,2,2,4,－,－,－,－,－,－,－,－,2,2,－,－
総数（国・公・私立）,0,総数,令和元,2019,55,27,28,1,5,－,4,21,10,1,2,2,4,－,－,－,－,－,－,－,－,2,3,－,－
総数（国・公・私立）,0,総数,令和2,2020,60,27,33,2,4,－,4,19,13,1,4,1,6,－,－,－,－,－,－,－,－,3,2,1,－
総数（国・公・私立）,0,総数,令和3,2021,60,28,32,2,4,－,3,20,16,2,3,2,5,－,－,－,－,－,－,－,－,1,1,1,－
総数（国・公・私立）,0,総数,令和4,2022,59,30,29,3,4,－,3,22,13,1,3,2,5,－,－,－,－,－,－,－,－,1,1,1,－
総数（国・公・私立）,0,総数,令和5,2023,54,32,22,14,7,－,3,13,4,1,3,2,5,－,－,－,－,－,－,－,－,1,－,1,－
国立,0,総数,令和5,2023,13,7,6,－,－,－,－,5,3,－,1,－,2,－,－,－,－,－,－,－,－,1,－,1,－
国立,1,中野区,令和5,2023,11,6,5,－,－,－,－,4,2,－,1,－,2,－,－,－,－,－,－,－,－,1,－,1,－
国立,1,練馬区,令和5,2023,2,1,1,－,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,0,総数,令和5,2023,41,25,16,14,7,－,3,8,1,1,2,2,3,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,千代田区,令和5,2023,10,8,2,－,1,－,－,8,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,文京区,令和5,2023,6,4,2,3,1,－,－,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,目黒区,令和5,2023,6,4,2,3,1,－,－,－,－,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,八王子市,令和5,2023,7,1,6,1,3,－,1,－,－,－,1,－,1,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,立川市,令和5,2023,6,5,1,4,－,－,1,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,三鷹市,令和5,2023,6,3,3,3,1,－,1,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－
私立,0,総数,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
９－５　中等教育学校　設置者、所在地、職種別職員数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）負担法による者とは、公立学校の職員で「市町村立学校職員給与負担法」による者である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
