種別,産業,男女計／構成比／全国（％）,男女計／構成比／東京都（％）,男女計／就職者総数／全国（人）,男女計／就職者総数／東京都（人）,男／構成比／全国（％）,男／構成比／東京都（％）,男／就職者総数／全国（人）,男／就職者総数／東京都（人）,女／構成比／全国（％）,女／構成比／東京都（％）,女／就職者総数／全国（人）,女／就職者総数／東京都（人）
総数（国、公、私立）,総数,100,100,136509,4439,100,100,86310,2904,100,100,50199,1535
総数（国、公、私立）,農業，林業,0.8,0.8,1152,37,1,1,821,29,0.7,0.5,331,8
総数（国、公、私立）,漁業,0.3,0.1,382,5,0.4,0.1,353,4,0.1,0.1,29,1
総数（国、公、私立）,鉱業，採石業，砂利採取業,0.1,0.1,197,3,0.2,0.1,166,3,0.1,－,31,－
総数（国、公、私立）,建設業,9.7,11.6,13176,513,13.3,16.3,11490,473,3.4,2.6,1686,40
総数（国、公、私立）,製造業,40.9,19,55884,844,46.1,19.8,39782,576,32.1,17.5,16102,268
総数（国、公、私立）,電気・ガス・熱供給・水道業,1.5,1.9,2049,86,2.1,2.4,1786,71,0.5,1,263,15
総数（国、公、私立）,情報通信業,1,2.6,1384,114,1,3.1,891,89,1,1.6,493,25
総数（国、公、私立）,運輸業，郵便業,5.1,13.4,6944,595,5.7,17.4,4913,505,4,5.9,2031,90
総数（国、公、私立）,卸売業，小売業,9.4,12.8,12888,568,6.6,8.3,5688,241,14.3,21.3,7200,327
総数（国、公、私立）,金融業，保険業,1,0.9,1413,39,0.2,0.1,192,4,2.4,2.3,1221,35
総数（国、公、私立）,不動産業，物品賃貸業,0.7,1.2,894,54,0.5,1,398,29,1,1.6,496,25
総数（国、公、私立）,学術研究，専門・技術サービス業,1.7,2.5,2377,109,1.8,2.7,1561,78,1.6,2,816,31
総数（国、公、私立）,宿泊業，飲食サービス業,4.6,6.2,6234,275,2.8,5,2399,144,7.6,8.5,3835,131
総数（国、公、私立）,生活関連サービス業，娯楽業,3.8,5.7,5198,252,1.9,3.3,1620,97,7.1,10.1,3578,155
総数（国、公、私立）,教育，学習支援業,0.4,0.7,549,30,0.3,0.6,221,18,0.7,0.8,328,12
総数（国、公、私立）,医療，福祉,4.8,4.7,6612,209,1.7,2.1,1475,60,10.2,9.7,5137,149
総数（国、公、私立）,複合サービス事業,1.2,1.4,1703,63,0.8,1.1,649,33,2.1,2,1054,30
総数（国、公、私立）,サービス業（他に分類されないもの）,3.8,5,5146,224,3.9,5.5,3331,159,3.6,4.2,1815,65
総数（国、公、私立）,公務（他に分類されるものを除く）,8.1,6.7,11079,299,9,7.3,7781,213,6.6,5.6,3298,86
総数（国、公、私立）,上記以外のもの,0.9,2.7,1248,120,0.9,2.7,793,78,0.9,2.7,455,42
,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,
付表　全国及び他県との比較　２－５就職者総数の産業別構成比（高等学校(全日制・定時制）卒業者）,,,,,,,,,,,,,
注１） 就職者総数には、大学等進学者、専修学校（専門課程）進学者、専修学校（一般課程）等入学者、公共職業能力開発施設等入学者のうち就職している者を含む。,,,,,,,,,,,,,
注２） 全国の数値は、文部科学省公表の令和５年度学校基本調査の結果による。,,,,,,,,,,,,,
