種別,地域階層,地域,和暦（年度）,西暦（年度）,職員数（本務者）（人）,職員数（本務者）／男（人）,職員数（本務者）／女（人）,職員数（本務者）／負担法による者（公立）／事務職員／男（人）,職員数（本務者）／負担法による者（公立）／事務職員／女（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／男（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／女（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／男（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／女（人）,職員数（本務者）／その他の者／事務職員／男（人）,職員数（本務者）／その他の者／事務職員／女（人）,職員数（本務者）／その他の者／学校図書館事務員／男（人）,職員数（本務者）／その他の者／学校図書館事務員／女（人）,職員数（本務者）／その他の者／養護職員（看護師等）／男（人）,職員数（本務者）／その他の者／養護職員（看護師等）／女（人）,職員数（本務者）／その他の者／学校栄養職員／男（人）,職員数（本務者）／その他の者／学校栄養職員／女（人）,職員数（本務者）／その他の者／学校給食調理従事者／男（人）,職員数（本務者）／その他の者／学校給食調理従事者／女（人）,職員数（本務者）／その他の者／用務員／男（人）,職員数（本務者）／その他の者／用務員／女（人）,職員数（本務者）／その他の者／警備員・その他／男（人）,職員数（本務者）／その他の者／警備員・その他／女（人）
総数（国・公・私立）,0,総数,平成30,2018,4008,1668,2340,537,644,18,469,－,－,110,196,－,12,－,8,5,233,278,305,693,448,27,25
総数（国・公・私立）,0,総数,令和元,2019,3881,1586,2295,528,660,18,459,－,－,113,190,－,11,－,9,5,232,238,281,663,427,21,26
総数（国・公・私立）,0,総数,令和2,2020,3757,1551,2206,521,665,16,450,－,－,116,180,－,10,－,10,5,225,216,217,649,428,28,21
総数（国・公・私立）,0,総数,令和3,2021,3711,1517,2194,526,671,18,454,－,－,118,196,－,11,－,9,5,246,188,199,639,386,23,22
総数（国・公・私立）,0,総数,令和4,2022,3554,1429,2125,516,673,10,456,－,－,116,204,－,9,－,9,6,259,183,169,581,325,17,21
総数（国・公・私立）,0,総数,令和5,2023,3444,1335,2109,499,694,11,459,－,－,111,202,－,8,－,8,5,262,161,147,532,309,16,20
総数（国・公・私立）,1,区部,令和5,2023,2321,898,1423,341,447,7,393,－,－,81,135,－,5,－,7,1,78,64,48,392,297,12,13
総数（国・公・私立）,2,千代田区,令和5,2023,27,13,14,6,2,－,3,－,－,2,7,－,－,－,－,－,－,－,－,5,2,－,－
総数（国・公・私立）,2,中央区,令和5,2023,60,16,44,2,14,－,－,－,－,1,－,－,－,－,－,－,7,－,－,13,13,－,10
総数（国・公・私立）,2,港区,令和5,2023,105,51,54,9,10,1,9,－,－,4,9,－,1,－,－,－,2,－,－,37,23,－,－
総数（国・公・私立）,2,新宿区,令和5,2023,82,37,45,13,17,1,14,－,－,2,2,－,－,－,1,－,2,－,4,20,5,1,－
総数（国・公・私立）,2,文京区,令和5,2023,60,23,37,6,14,－,8,－,－,4,6,－,－,－,－,1,6,2,－,10,3,－,－
総数（国・公・私立）,2,台東区,令和5,2023,28,5,23,5,14,－,8,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,墨田区,令和5,2023,30,2,28,－,－,－,7,－,－,－,－,－,－,－,－,－,18,－,－,2,3,－,－
総数（国・公・私立）,2,江東区,令和5,2023,83,22,61,13,32,2,19,－,－,－,－,－,－,－,－,－,－,－,－,5,10,2,－
総数（国・公・私立）,2,品川区,令和5,2023,61,17,44,10,21,－,18,－,－,1,1,－,－,－,－,－,－,－,－,6,4,－,－
総数（国・公・私立）,2,目黒区,令和5,2023,71,23,48,7,15,－,10,－,－,3,5,－,－,－,－,－,11,－,－,13,6,－,1
総数（国・公・私立）,2,大田区,令和5,2023,151,69,82,25,34,1,33,－,－,3,4,－,－,－,－,－,－,－,－,34,11,6,－
総数（国・公・私立）,2,世田谷区,令和5,2023,280,134,146,32,29,－,31,－,－,34,35,－,1,－,1,－,－,1,3,65,45,2,1
総数（国・公・私立）,2,渋谷区,令和5,2023,136,65,71,10,8,－,10,－,－,9,14,－,3,－,3,－,8,17,15,29,9,－,1
総数（国・公・私立）,2,中野区,令和5,2023,67,19,48,9,12,－,12,－,－,6,18,－,－,－,－,－,3,－,－,4,3,－,－
総数（国・公・私立）,2,杉並区,令和5,2023,113,49,64,18,23,1,20,－,－,2,6,－,－,－,－,－,4,12,4,16,7,－,－
総数（国・公・私立）,2,豊島区,令和5,2023,63,19,44,11,11,－,10,－,－,7,10,－,－,－,1,－,10,－,－,1,2,－,－
総数（国・公・私立）,2,北区,令和5,2023,92,28,64,10,25,1,14,－,－,1,9,－,－,－,－,－,－,－,－,15,16,1,－
総数（国・公・私立）,2,荒川区,令和5,2023,61,23,38,12,13,－,12,－,－,－,－,－,－,－,－,－,－,－,－,11,13,－,－
総数（国・公・私立）,2,板橋区,令和5,2023,127,58,69,28,24,－,20,－,－,－,5,－,－,－,－,－,－,5,4,25,16,－,－
総数（国・公・私立）,2,練馬区,令和5,2023,172,74,98,26,39,－,33,－,－,2,2,－,－,－,1,－,－,23,14,23,9,－,－
総数（国・公・私立）,2,足立区,令和5,2023,105,32,73,32,34,－,39,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,葛飾区,令和5,2023,100,38,62,25,21,－,28,－,－,－,－,－,－,－,－,－,－,4,4,9,9,－,－
総数（国・公・私立）,2,江戸川区,令和5,2023,247,81,166,32,35,－,35,－,－,－,1,－,－,－,－,－,7,－,－,49,88,－,－
総数（国・公・私立）,1,市部,令和5,2023,1081,422,659,144,235,4,58,－,－,30,64,－,3,－,1,4,184,96,95,140,12,4,7
総数（国・公・私立）,2,八王子市,令和5,2023,179,70,109,27,39,－,－,－,－,－,－,－,－,－,－,－,55,11,15,32,－,－,－
総数（国・公・私立）,2,立川市,令和5,2023,59,37,22,2,9,－,－,－,－,－,－,－,－,－,－,－,8,25,3,10,2,－,－
総数（国・公・私立）,2,武蔵野市,令和5,2023,53,17,36,7,6,－,－,－,－,7,22,－,1,－,－,1,1,－,－,－,－,2,6
総数（国・公・私立）,2,三鷹市,令和5,2023,54,16,38,7,10,－,－,－,－,－,2,－,1,－,－,－,19,－,－,9,6,－,－
総数（国・公・私立）,2,青梅市,令和5,2023,29,14,15,5,11,－,1,－,－,－,3,－,－,－,－,－,－,－,－,9,－,－,－
総数（国・公・私立）,2,府中市,令和5,2023,30,9,21,5,17,－,－,－,－,2,4,－,－,－,－,－,－,－,－,2,－,－,－
総数（国・公・私立）,2,昭島市,令和5,2023,41,22,19,5,8,1,－,－,－,3,5,－,－,－,－,－,3,7,3,6,－,－,－
総数（国・公・私立）,2,調布市,令和5,2023,88,40,48,8,12,－,4,－,－,－,4,－,－,－,－,1,17,14,11,16,－,1,－
総数（国・公・私立）,2,町田市,令和5,2023,142,50,92,21,21,1,19,－,－,10,15,－,－,－,－,－,21,12,14,6,2,－,－
総数（国・公・私立）,2,小金井市,令和5,2023,35,16,19,2,2,1,2,－,－,－,2,－,－,－,－,－,6,6,7,7,－,－,－
総数（国・公・私立）,2,小平市,令和5,2023,63,13,50,9,10,－,8,－,－,3,－,－,－,－,－,－,9,1,23,－,－,－,－
総数（国・公・私立）,2,日野市,令和5,2023,70,44,26,9,7,－,7,－,－,－,－,－,－,－,－,2,8,16,4,17,－,－,－
