種別,性別,区分,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／大学等進学者（Ａ）／大学（学部）（人）,卒業者数／大学等進学者（Ａ）／短期大学（本科）（人）,卒業者数／大学等進学者（Ａ）／大学・短期大学の通信教育部（人）,卒業者数／大学等進学者（Ａ）／大学・短期大学（別科）（人）,卒業者数／大学等進学者（Ａ）／高等学校（専攻科）（人）,卒業者数／大学等進学者（Ａ）／特別支援学校高等部（専攻科）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）／専修学校（一般課程）等（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）／各種学校（人）,卒業者数／公共職業能力開発施設等入学者（Ｄ）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／左記以外の者（Ｆ）（人）,卒業者数／不詳・死亡（人）,"左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ａのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｂのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｃのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｄのうち（人）",左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,左記Ｆのうち社会福祉施設等入所、通所者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数（男・女）,総数,1735,81,51,2,1,－,－,27,7,1,1,－,9,3,83,581,2,968,－,－,－,－,－,－,268,880,4.7,354,20.4
総数（国・公・私立）,総数（男・女）,視覚障害,43,24,20,1,－,－,－,3,－,－,－,－,－,－,－,2,－,17,－,－,－,－,－,－,2,13,55.8,2,4.7
総数（国・公・私立）,総数（男・女）,聴覚障害,50,29,20,－,－,－,－,9,4,－,－,－,1,－,2,4,－,10,－,－,－,－,－,－,－,7,58,2,4
総数（国・公・私立）,総数（男・女）,知的障害,1451,15,－,－,－,－,－,15,1,1,1,－,5,3,79,572,2,773,－,－,－,－,－,－,264,703,1,346,23.8
総数（国・公・私立）,総数（男・女）,肢体不自由,185,11,10,－,1,－,－,－,2,－,－,－,3,－,2,3,－,164,－,－,－,－,－,－,2,154,5.9,4,2.2
総数（国・公・私立）,総数（男・女）,病弱・身体虚弱,6,2,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,4,－,－,－,－,－,－,－,3,33.3,－,－
総数（国・公・私立）,男,総数,1129,40,27,－,－,－,－,13,6,1,1,－,6,3,59,411,－,603,－,－,－,－,－,－,197,549,3.5,259,22.9
総数（国・公・私立）,男,視覚障害,24,12,12,－,－,－,－,－,－,－,－,－,－,－,－,1,－,11,－,－,－,－,－,－,1,8,50,1,4.2
総数（国・公・私立）,男,聴覚障害,26,15,11,－,－,－,－,4,3,－,－,－,－,－,2,1,－,5,－,－,－,－,－,－,－,4,57.7,2,7.7
総数（国・公・私立）,男,知的障害,985,9,－,－,－,－,－,9,1,1,1,－,5,3,56,408,－,502,－,－,－,－,－,－,195,459,0.9,254,25.8
総数（国・公・私立）,男,肢体不自由,92,4,4,－,－,－,－,－,2,－,－,－,1,－,1,1,－,83,－,－,－,－,－,－,1,77,4.3,2,2.2
総数（国・公・私立）,男,病弱・身体虚弱,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,1,－,－,－
総数（国・公・私立）,女,総数,606,41,24,2,1,－,－,14,1,－,－,－,3,－,24,170,2,365,－,－,－,－,－,－,71,331,6.8,95,15.7
総数（国・公・私立）,女,視覚障害,19,12,8,1,－,－,－,3,－,－,－,－,－,－,－,1,－,6,－,－,－,－,－,－,1,5,63.2,1,5.3
総数（国・公・私立）,女,聴覚障害,24,14,9,－,－,－,－,5,1,－,－,－,1,－,－,3,－,5,－,－,－,－,－,－,－,3,58.3,－,－
総数（国・公・私立）,女,知的障害,466,6,－,－,－,－,－,6,－,－,－,－,－,－,23,164,2,271,－,－,－,－,－,－,69,244,1.3,92,19.7
総数（国・公・私立）,女,肢体不自由,93,7,6,－,1,－,－,－,－,－,－,－,2,－,1,2,－,81,－,－,－,－,－,－,1,77,7.5,2,2.2
総数（国・公・私立）,女,病弱・身体虚弱,4,2,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,2,50,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１８－２　卒業後の状況調査（特別支援学校）　卒業後の状況調査（高等学校  通信制）　障害種、状況別卒業者数、大学等進学率及び卒業者に占める就職者の割合（高等部）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
