種別,区分,学科数（学科）,学科数／うち昼間（学科）,学科数／１年～１年11ヶ月（学科）,学科数／２年～２年11ヶ月（学科）,学科数／３年以上（学科）,生徒数（人）,生徒数／男（人）,生徒数／女（人）,生徒数／うち昼間の学科（人）,生徒数／うち昼間の学科／男（人）,生徒数／うち昼間の学科／女（人）,生徒数／高等課程（人）,生徒数／高等課程／男（人）,生徒数／高等課程／女（人）,生徒数／専門課程（人）,生徒数／専門課程／男（人）,生徒数／専門課程／女（人）,生徒数／一般課程（人）,生徒数／一般課程／男（人）,生徒数／一般課程／女（人）,入学者数（春期）（人）,入学者数（春期）／男（人）,入学者数（春期）／女（人）,卒業者数（令和4年度間）（人）,卒業者数（令和4年度間）／男（人）,卒業者数（令和4年度間）／女（人）
総数（国・公・私立）,総数,1561,1379,301,841,419,126395,56841,69554,118780,53692,65088,2834,1006,1828,116546,50764,65782,7015,5071,1944,61090,27989,33101,59269,27853,31416
総数（国・公・私立）,工業関係,220,196,14,152,54,21888,17264,4624,20627,16520,4107,56,50,6,21832,17214,4618,－,－,－,9095,7014,2081,9246,7455,1791
総数（国・公・私立）,工業関係のうち測量,2,2,2,－,－,77,74,3,77,74,3,－,－,－,77,74,3,－,－,－,76,73,3,95,88,7
総数（国・公・私立）,工業関係のうち土木・建築,50,38,2,38,10,3963,2792,1171,3010,2279,731,－,－,－,3963,2792,1171,－,－,－,1713,1194,519,1776,1292,484
総数（国・公・私立）,工業関係のうち電気・電子,18,15,1,15,2,844,706,138,759,639,120,－,－,－,844,706,138,－,－,－,403,343,60,469,398,71
総数（国・公・私立）,工業関係のうち無線・通信,1,1,－,1,－,145,80,65,145,80,65,－,－,－,145,80,65,－,－,－,76,35,41,81,52,29
総数（国・公・私立）,工業関係のうち自動車整備,24,23,3,14,7,2331,2247,84,2292,2210,82,－,－,－,2331,2247,84,－,－,－,1055,1020,35,1085,1048,37
総数（国・公・私立）,工業関係のうち機械,3,3,－,3,－,119,111,8,119,111,8,－,－,－,119,111,8,－,－,－,54,50,4,73,70,3
総数（国・公・私立）,工業関係のうち電子計算機,1,1,－,1,－,32,30,2,32,30,2,－,－,－,32,30,2,－,－,－,14,13,1,23,20,3
総数（国・公・私立）,工業関係のうち情報処理,59,56,1,45,13,5010,4204,806,4923,4132,791,56,50,6,4954,4154,800,－,－,－,2253,1841,412,2408,2046,362
総数（国・公・私立）,工業関係のうちその他,62,57,5,35,22,9367,7020,2347,9270,6965,2305,－,－,－,9367,7020,2347,－,－,－,3451,2445,1006,3236,2441,795
総数（国・公・私立）,農業関係,3,2,－,－,3,422,198,224,329,163,166,－,－,－,422,198,224,－,－,－,123,50,73,98,59,39
総数（国・公・私立）,農業関係のうち農業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,農業関係のうち園芸,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,農業関係のうちその他,3,2,－,－,3,422,198,224,329,163,166,－,－,－,422,198,224,－,－,－,123,50,73,98,59,39
総数（国・公・私立）,医療関係,216,165,18,19,179,22134,7132,15002,18513,5689,12824,414,74,340,21720,7058,14662,－,－,－,7653,2347,5306,6823,2128,4695
総数（国・公・私立）,医療関係のうち看護,43,41,5,2,36,6232,769,5463,6122,745,5377,－,－,－,6232,769,5463,－,－,－,2137,285,1852,1955,198,1757
総数（国・公・私立）,医療関係のうち准看護,5,5,－,5,－,410,72,338,410,72,338,410,72,338,－,－,－,－,－,－,197,33,164,227,36,191
総数（国・公・私立）,医療関係のうち歯科衛生,26,17,－,－,26,3699,29,3670,2732,18,2714,－,－,－,3699,29,3670,－,－,－,1296,11,1285,1011,10,1001
総数（国・公・私立）,医療関係のうち歯科技工,6,4,1,2,3,257,134,123,203,108,95,－,－,－,257,134,123,－,－,－,123,65,58,131,69,62
総数（国・公・私立）,医療関係のうち臨床検査,6,4,－,－,6,603,209,394,522,179,343,－,－,－,603,209,394,－,－,－,198,67,131,158,49,109
総数（国・公・私立）,医療関係のうち診療放射線,5,3,－,－,5,1111,613,498,806,413,393,－,－,－,1111,613,498,－,－,－,332,175,157,227,111,116
総数（国・公・私立）,医療関係のうちはり・きゅう・あんま,39,29,3,1,35,3067,1422,1645,2266,1052,1214,4,2,2,3063,1420,1643,－,－,－,1054,506,548,949,467,482
総数（国・公・私立）,医療関係のうち柔道整復,24,18,－,－,24,2360,1687,673,2000,1431,569,－,－,－,2360,1687,673,－,－,－,777,545,232,659,480,179
総数（国・公・私立）,医療関係のうち理学・作業療法,31,18,－,1,30,2767,1563,1204,1877,1050,827,－,－,－,2767,1563,1204,－,－,－,774,414,360,775,440,335
総数（国・公・私立）,医療関係のうちその他,31,26,9,8,14,1628,634,994,1575,621,954,－,－,－,1628,634,994,－,－,－,765,246,519,731,268,463
総数（国・公・私立）,衛生関係,198,174,61,117,20,19030,5172,13858,18402,4956,13446,1470,554,916,17555,4618,12937,5,－,5,10133,2848,7285,9205,2705,6500
総数（国・公・私立）,衛生関係のうち栄養,12,12,－,9,3,2183,449,1734,2183,449,1734,－,－,－,2183,449,1734,－,－,－,918,198,720,939,188,751
総数（国・公・私立）,衛生関係のうち調理,63,50,33,22,8,3984,2237,1747,3578,2076,1502,892,432,460,3092,1805,1287,－,－,－,2356,1294,1062,2238,1283,955
総数（国・公・私立）,衛生関係のうち理容,9,9,2,7,－,369,239,130,369,239,130,58,34,24,311,205,106,－,－,－,208,129,79,145,98,47
総数（国・公・私立）,衛生関係のうち美容,56,48,7,42,7,8841,1787,7054,8740,1764,6976,341,36,305,8495,1751,6744,5,－,5,4505,965,3540,4062,879,3183
総数（国・公・私立）,衛生関係のうち製菓・製パン,38,35,14,22,2,2233,422,1811,2112,390,1722,179,52,127,2054,370,1684,－,－,－,1364,241,1123,1156,250,906
総数（国・公・私立）,衛生関係のうちその他,20,20,5,15,－,1420,38,1382,1420,38,1382,－,－,－,1420,38,1382,－,－,－,782,21,761,665,7,658
総数（国・公・私立）,教育・社会福祉関係,78,70,15,50,13,4929,1118,3811,4478,1011,3467,－,－,－,4929,1118,3811,－,－,－,2470,566,1904,2378,535,1843
総数（国・公・私立）,教育・社会福祉関係のうち保育士養成,22,18,1,17,4,1858,290,1568,1611,246,1365,－,－,－,1858,290,1568,－,－,－,858,133,725,851,110,741
総数（国・公・私立）,教育・社会福祉関係のうち教員養成,13,12,－,8,5,1468,236,1232,1399,222,1177,－,－,－,1468,236,1232,－,－,－,672,92,580,626,81,545
総数（国・公・私立）,教育・社会福祉関係のうち介護福祉,22,22,2,20,－,905,365,540,905,365,540,－,－,－,905,365,540,－,－,－,435,184,251,463,178,285
総数（国・公・私立）,教育・社会福祉関係のうち社会福祉,15,12,9,4,2,514,160,354,379,111,268,－,－,－,514,160,354,－,－,－,417,124,293,372,137,235
総数（国・公・私立）,教育・社会福祉関係のうちその他,6,6,3,1,2,184,67,117,184,67,117,－,－,－,184,67,117,－,－,－,88,33,55,66,29,37
総数（国・公・私立）,商業実務関係,218,204,40,161,17,10389,4793,5596,10271,4769,5502,5,2,3,10360,4775,5585,24,16,8,5276,2442,2834,6231,2900,3331
総数（国・公・私立）,商業実務関係のうち商業,20,19,2,17,1,718,430,288,714,427,287,－,－,－,718,430,288,－,－,－,431,282,149,415,216,199
総数（国・公・私立）,商業実務関係のうち経理・簿記,24,23,9,13,2,1735,994,741,1735,994,741,5,2,3,1706,976,730,24,16,8,811,447,364,987,603,384
総数（国・公・私立）,商業実務関係のうちタイピスト,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,商業実務関係のうち秘書,1,1,－,1,－,7,－,7,7,－,7,－,－,－,7,－,7,－,－,－,3,－,3,9,－,9
総数（国・公・私立）,商業実務関係のうち経営,21,20,4,15,2,1242,676,566,1239,673,566,－,－,－,1242,676,566,－,－,－,623,339,284,791,370,421
総数（国・公・私立）,商業実務関係のうち旅行,60,51,7,47,6,2649,1129,1520,2543,1111,1432,－,－,－,2649,1129,1520,－,－,－,1264,534,730,1692,684,1008
総数（国・公・私立）,商業実務関係のうち情報,46,46,7,38,1,1537,1069,468,1537,1069,468,－,－,－,1537,1069,468,－,－,－,851,593,258,964,655,309
総数（国・公・私立）,商業実務関係のうちビジネス,31,29,10,18,3,1167,273,894,1162,273,889,－,－,－,1167,273,894,－,－,－,587,148,439,820,270,550
総数（国・公・私立）,商業実務関係のうちその他,15,15,1,12,2,1334,222,1112,1334,222,1112,－,－,－,1334,222,1112,－,－,－,706,99,607,553,102,451
総数（国・公・私立）,服飾・家政関係,132,106,40,57,35,6444,2020,4424,5836,1806,4030,54,9,45,6382,2009,4373,8,2,6,2825,819,2006,2499,686,1813
総数（国・公・私立）,服飾・家政関係のうち家政,4,3,－,1,3,5,1,4,5,1,4,5,1,4,－,－,－,－,－,－,3,－,3,－,－,－
総数（国・公・私立）,服飾・家政関係のうち家庭,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,服飾・家政関係のうち和洋裁,104,80,32,42,30,5946,1845,4101,5354,1640,3714,49,8,41,5889,1835,4054,8,2,6,2592,746,1846,2245,595,1650
総数（国・公・私立）,服飾・家政関係のうち料理,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,服飾・家政関係のうち編物・手芸,1,1,－,1,－,1,－,1,1,－,1,－,－,－,1,－,1,－,－,－,1,－,1,1,－,1
総数（国・公・私立）,服飾・家政関係のうちファッションビジネス,16,15,3,11,2,420,164,256,404,155,249,－,－,－,420,164,256,－,－,－,185,68,117,218,87,131
総数（国・公・私立）,服飾・家政関係のうちその他,7,7,5,2,－,72,10,62,72,10,62,－,－,－,72,10,62,－,－,－,44,5,39,35,4,31
総数（国・公・私立）,文化・教養関係,496,462,113,285,98,41159,19144,22015,40324,18778,21546,835,317,518,33346,13774,19572,6978,5053,1925,23515,11903,11612,22789,11385,11404
総数（国・公・私立）,文化・教養関係のうち音楽,57,57,5,41,11,5898,2394,3504,5898,2394,3504,203,35,168,5695,2359,3336,－,－,－,2833,1149,1684,2684,1053,1631
総数（国・公・私立）,文化・教養関係のうち美術,38,29,21,11,6,2479,974,1505,2265,875,1390,90,37,53,1784,702,1082,605,235,370,1677,682,995,1325,468,857
総数（国・公・私立）,文化・教養関係のうちデザイン,99,86,10,53,36,7687,2943,4744,7319,2837,4482,68,17,51,7619,2926,4693,－,－,－,3192,1186,2006,2942,1151,1791
総数（国・公・私立）,文化・教養関係のうち茶華道,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,文化・教養関係のうち外国語,63,60,14,46,3,2929,925,2004,2929,925,2004,－,－,－,2929,925,2004,－,－,－,1559,517,1042,2280,626,1654
総数（国・公・私立）,文化・教養関係のうち演劇・映画,36,34,1,27,8,3198,1283,1915,3185,1275,1910,69,22,47,3129,1261,1868,－,－,－,1564,629,935,1425,625,800
総数（国・公・私立）,文化・教養関係のうち写真,5,3,－,4,1,381,198,183,341,179,162,－,－,－,381,198,183,－,－,－,191,96,95,161,87,74
総数（国・公・私立）,文化・教養関係のうち通訳・ガイド,11,11,1,10,－,585,119,466,585,119,466,－,－,－,585,119,466,－,－,－,302,60,242,593,145,448
総数（国・公・私立）,文化・教養関係のうち受験・補習,26,26,26,－,－,6338,4800,1538,6338,4800,1538,－,－,－,－,－,－,6338,4800,1538,6338,4800,1538,6561,4769,1792
総数（国・公・私立）,文化・教養関係のうち動物,30,30,－,16,14,3659,788,2871,3659,788,2871,－,－,－,3659,788,2871,－,－,－,1765,395,1370,1277,282,995
総数（国・公・私立）,文化・教養関係のうち法律行政,27,26,9,17,1,1509,1080,429,1502,1078,424,－,－,－,1509,1080,429,－,－,－,845,600,245,960,709,251
総数（国・公・私立）,文化・教養関係のうちスポーツ,34,30,1,25,8,1967,1490,477,1774,1358,416,－,－,－,1967,1490,477,－,－,－,922,675,247,872,654,218
総数（国・公・私立）,文化・教養関係のうちその他,70,70,25,35,10,4529,2150,2379,4529,2150,2379,405,206,199,4089,1926,2163,35,18,17,2327,1114,1213,1709,816,893
国立,総数,1,1,－,1,－,24,3,21,…,…,…,－,－,－,24,3,21,－,－,－,10,1,9,15,4,11
国立,医療関係,1,1,－,1,－,24,3,21,…,…,…,－,－,－,24,3,21,－,－,－,10,1,9,15,4,11
国立,医療関係のうち看護,1,1,－,1,－,24,3,21,…,…,…,－,－,－,24,3,21,－,－,－,10,1,9,15,4,11
国立,医療関係のうち歯科技工,－,－,－,－,－,－,－,－,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,総数,8,8,－,－,8,1920,215,1705,…,…,…,－,－,－,1920,215,1705,－,－,－,642,81,561,602,48,554
公立,医療関係,8,8,－,－,8,1920,215,1705,…,…,…,－,－,－,1920,215,1705,－,－,－,642,81,561,602,48,554
公立,医療関係のうち看護,8,8,－,－,8,1920,215,1705,…,…,…,－,－,－,1920,215,1705,－,－,－,642,81,561,602,48,554
,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,
１１－７　専修学校　分野別学科数、生徒数、入学者数及び卒業者数,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）学科区分の詳細については、巻末の学校基本調査 専修学校の学科及び各種学校の課程のコード表を参照,,,,,,,,,,,,,,,,,,,,,,,,,,,
