種別,地域階層,地域,区分,総数／学校数（校）,総数／学級数（学級）,総数／児童生徒数（人）,総数／児童生徒数／１学年（人）,総数／児童生徒数／２学年（人）,総数／児童生徒数／３学年（人）,総数／児童生徒数／４学年（人）,総数／児童生徒数／５学年（人）,総数／児童生徒数／６学年（人）,総数／児童生徒数／７学年（人）,総数／児童生徒数／８学年（人）,総数／児童生徒数／９学年（人）
総数（公立）,0,総数,総数,7,38,241,22,23,15,27,20,21,41,44,28
総数（公立）,0,総数,知的障害,…,38,241,22,23,15,27,20,21,41,44,28
総数（公立）,0,総数,肢体不自由,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,0,総数,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,0,総数,弱視,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,0,総数,難聴,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,0,総数,言語障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,0,総数,情緒障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,総数,6,29,175,18,17,10,16,15,17,29,31,22
総数（公立）,1,区部,知的障害,…,29,175,18,17,10,16,15,17,29,31,22
総数（公立）,1,区部,肢体不自由,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,弱視,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,難聴,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,言語障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,情緒障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,総数,1,9,66,4,6,5,11,5,4,12,13,6
総数（公立）,1,市部,知的障害,…,9,66,4,6,5,11,5,4,12,13,6
総数（公立）,1,市部,肢体不自由,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,弱視,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,難聴,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,言語障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,情緒障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,総数,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,知的障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,肢体不自由,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,弱視,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,難聴,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,言語障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,情緒障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,総数,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,知的障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,肢体不自由,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,弱視,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,難聴,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,言語障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,情緒障害,…,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,
６－６　義務教育学校　特別支援学級のある学校数、設置目的別学級数及び学年別児童生徒数,,,,,,,,,,,,,,,
注) 国立・私立には義務教育学校はない。,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,,,,,,,
