種別,区分,就職者総数（人）,就職者総数／専門的・技術的職業従事者（人）,就職者総数／事務従事者（人）,就職者総数／販売従事者（人）,就職者総数／サービス職業従事者（人）,就職者総数／保安職業従事者（人）,就職者総数／農林漁業従事者／農林業従事者（人）,就職者総数／農林漁業従事者／漁業従事者（人）,就職者総数／生産工程従事者（人）,就職者総数／輸送・機械運転従事者（人）,就職者総数／建設・採掘従事者（人）,就職者総数／運搬・清掃等従事者（人）,就職者総数／左記以外の者（人）,就職者総数／生産工程従事者（再掲）／計（人）,就職者総数／生産工程従事者（再掲）／製造・加工従事者（人）,就職者総数／生産工程従事者（再掲）／機械組立従事者（人）,就職者総数／生産工程従事者（再掲）／機械修理従事者（人）,就職者総数／生産工程従事者（再掲）／検査従事者（人）,就職者総数／生産工程従事者（再掲）／その他（人）,就職者総数／職業安定所又は学校を通じて就職した者（再掲）（人）,就職者総数／自家・自営業に就いた者（再掲）（人）
総数（公・私立）,総数,765,14,17,30,192,19,2,1,411,12,23,25,19,411,259,139,11,－,2,198,6
総数（公・私立）,男,504,6,4,15,68,17,2,1,336,12,18,18,7,336,203,121,11,－,1,89,4
総数（公・私立）,女,261,8,13,15,124,2,－,－,75,－,5,7,12,75,56,18,－,－,1,109,2
公立,総数,64,1,1,13,22,2,－,－,5,1,5,6,8,5,4,－,－,－,1,－,1
公立,男,23,1,1,5,4,1,－,－,3,1,5,2,－,3,3,－,－,－,－,－,1
公立,女,41,－,－,8,18,1,－,－,2,－,－,4,8,2,1,－,－,－,1,－,－
私立,総数,701,13,16,17,170,17,2,1,406,11,18,19,11,406,255,139,11,－,1,198,5
私立,男,481,5,3,10,64,16,2,1,333,11,13,16,7,333,200,121,11,－,1,89,3
私立,女,220,8,13,7,106,1,－,－,73,－,5,3,4,73,55,18,－,－,－,109,2
,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,
１６－２　卒業後の状況調査（高等学校  通信制）　卒業後の状況調査（高等学校  全日制・定時制）　通信制課程の設置者、職業別就職者総数,,,,,,,,,,,,,,,,,,,,,,
