種別,和暦（年度）,西暦（年度）,学校数（校）,生徒数（人）,生徒数／男（人）,生徒数／女（人）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）
総数（国・公・私立）,昭和51,1976,5,383,53,330,18,7,11,197,136
総数（国・公・私立）,昭和52,1977,195,97401,42135,55266,3418,1616,1802,5303,1937
総数（国・公・私立）,昭和53,1978,254,112624,48308,64316,4019,1898,2121,6522,2591
総数（国・公・私立）,昭和54,1979,278,118475,52334,66141,4147,2031,2116,7301,2789
総数（国・公・私立）,昭和55,1980,310,130112,59770,70342,4528,2305,2223,8224,3031
総数（国・公・私立）,昭和56,1981,345,149908,74461,75447,5024,2679,2345,9438,3443
総数（国・公・私立）,昭和57,1982,354,154757,79101,75656,5274,2902,2372,9654,3646
総数（国・公・私立）,昭和58,1983,358,166047,86619,79428,5323,2980,2343,10208,3790
総数（国・公・私立）,昭和59,1984,378,173327,88902,84425,5800,3279,2521,10380,3773
総数（国・公・私立）,昭和60,1985,400,174069,90831,83238,6004,3452,2552,10658,3994
総数（国・公・私立）,昭和61,1986,410,190204,100235,89969,6416,3729,2687,11107,4326
総数（国・公・私立）,昭和62,1987,427,213854,113155,100699,6910,4052,2858,11331,4657
総数（国・公・私立）,昭和63,1988,432,227925,121747,106178,7200,4258,2942,11819,4675
総数（国・公・私立）,平成元,1989,440,241731,130886,110845,7662,4597,3065,12378,5068
総数（国・公・私立）,平成2,1990,459,254499,137075,117424,7836,4813,3023,12350,5060
総数（国・公・私立）,平成3,1991,462,267661,145499,122162,8130,4990,3140,12255,5048
総数（国・公・私立）,平成4,1992,455,270045,146434,123611,8589,5283,3306,12456,5237
総数（国・公・私立）,平成5,1993,451,264394,140950,123444,8543,5260,3283,12750,5375
総数（国・公・私立）,平成6,1994,454,246462,131476,114986,8481,5217,3264,12835,5625
総数（国・公・私立）,平成7,1995,458,231253,124063,107190,8414,5123,3291,12541,5528
総数（国・公・私立）,平成8,1996,462,222044,119267,102777,8339,5108,3231,12973,5837
総数（国・公・私立）,平成9,1997,462,215494,115255,100239,8246,5087,3159,13008,5828
総数（国・公・私立）,平成10,1998,466,204944,109722,95222,8037,4886,3151,12741,5970
総数（国・公・私立）,平成11,1999,462,199835,104185,95650,8111,4828,3283,12687,6318
総数（国・公・私立）,平成12,2000,465,196457,100112,96345,7949,4684,3265,12635,6164
総数（国・公・私立）,平成13,2001,460,195409,97717,97692,8038,4667,3371,12340,6214
総数（国・公・私立）,平成14,2002,465,196126,96671,99455,8226,4793,3433,12125,6253
総数（国・公・私立）,平成15,2003,463,194544,94877,99667,8173,4769,3404,11872,6429
総数（国・公・私立）,平成16,2004,466,193273,94750,98523,8231,4734,3497,11837,6678
総数（国・公・私立）,平成17,2005,459,187162,91548,95614,8267,4747,3520,11745,6638
総数（国・公・私立）,平成18,2006,461,174699,85079,89620,8255,4669,3586,11574,6803
総数（国・公・私立）,平成19,2007,456,162932,78127,84805,8067,4542,3525,11210,6446
総数（国・公・私立）,平成20,2008,451,151115,72218,78897,7831,4472,3359,11115,6570
総数（国・公・私立）,平成21,2009,449,140875,67300,73575,7975,4605,3370,10775,6497
総数（国・公・私立）,平成22,2010,446,141767,67529,74238,7616,4306,3310,10255,6335
総数（国・公・私立）,平成23,2011,431,142547,68002,74545,7733,4381,3352,9948,6230
総数（国・公・私立）,平成24,2012,419,141989,67405,74584,7455,4172,3283,10031,6223
総数（国・公・私立）,平成25,2013,413,144189,68090,76099,7427,4158,3269,9866,6413
総数（国・公・私立）,平成26,2014,409,144840,67739,77101,7413,4129,3284,9919,6390
総数（国・公・私立）,平成27,2015,404,144909,67963,76946,7469,4151,3318,10247,6492
総数（国・公・私立）,平成28,2016,402,145607,67958,77649,7413,4127,3286,10231,6656
総数（国・公・私立）,平成29,2017,403,145719,67922,77797,7446,4186,3260,9959,6617
総数（国・公・私立）,平成30,2018,405,146364,68136,78228,7418,4097,3321,10096,6682
総数（国・公・私立）,令和元,2019,405,148394,68880,79514,7423,4090,3333,10044,6984
総数（国・公・私立）,令和2,2020,404,149579,69597,79982,7332,4044,3288,10129,7095
総数（国・公・私立）,令和3,2021,401,146015,67817,78198,7341,4027,3314,9802,6856
総数（国・公・私立）,令和4,2022,393,134036,61203,72833,7218,3936,3282,9938,7101
総数（国・公・私立）,令和5,2023,389,126395,56841,69554,7062,3827,3235,9813,7114
,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,
付表　学校数等の推移　１－９学校数等の推移（専修学校）,,,,,,,,,,,
注）専修学校は昭和51年度から設置された。,,,,,,,,,,,
