種別,地域階層,地域,和暦（年度）,西暦（年度）,職員数（本務者）（人）,職員数（本務者）／男（人）,職員数（本務者）／女（人）,職員数（本務者）／負担法による者（公立）／事務職員／男（人）,職員数（本務者）／負担法による者（公立）／事務職員／女（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／男（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／女（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／男（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／女（人）,職員数（本務者）／その他の者／事務職員／男（人）,職員数（本務者）／その他の者／事務職員／女（人）,職員数（本務者）／その他の者／学校図書館事務員／男（人）,職員数（本務者）／その他の者／学校図書館事務員／女（人）,職員数（本務者）／その他の者／養護職員（看護師等）／男（人）,職員数（本務者）／その他の者／養護職員（看護師等）／女（人）,職員数（本務者）／その他の者／学校栄養職員／男（人）,職員数（本務者）／その他の者／学校栄養職員／女（人）,職員数（本務者）／その他の者／学校給食調理従事者／男（人）,職員数（本務者）／その他の者／学校給食調理従事者／女（人）,職員数（本務者）／その他の者／用務員／男（人）,職員数（本務者）／その他の者／用務員／女（人）,職員数（本務者）／その他の者／警備員・その他／男（人）,職員数（本務者）／その他の者／警備員・その他／女（人）
総数（国・公・私立）,0,総数,平成30,2018,2104,947,1157,287,285,11,202,－,－,239,352,2,22,－,11,－,43,50,33,295,175,63,34
総数（国・公・私立）,0,総数,令和元,2019,2046,915,1131,283,288,10,207,－,－,249,353,3,22,－,8,－,42,39,22,273,148,58,41
総数（国・公・私立）,0,総数,令和2,2020,2031,904,1127,274,307,7,207,－,－,250,344,3,19,－,9,－,40,30,18,274,140,66,43
総数（国・公・私立）,0,総数,令和3,2021,1991,870,1121,273,306,6,209,－,－,241,345,2,24,－,9,－,43,21,17,270,122,57,46
総数（国・公・私立）,0,総数,令和4,2022,1943,855,1088,280,302,11,208,－,－,242,346,2,23,－,11,－,41,19,15,253,105,48,37
総数（国・公・私立）,0,総数,令和5,2023,1894,831,1063,283,300,14,198,－,－,239,348,2,22,－,12,－,37,14,9,233,94,46,43
総数（国・公・私立）,1,区部,令和5,2023,1399,574,825,172,202,13,186,－,－,185,265,2,17,－,10,－,19,14,6,147,88,41,32
総数（国・公・私立）,2,千代田区,令和5,2023,38,14,24,－,2,－,1,－,－,10,18,－,1,－,1,－,－,－,－,2,－,2,1
総数（国・公・私立）,2,中央区,令和5,2023,14,8,6,3,1,－,－,－,－,3,3,－,－,－,－,－,－,－,－,2,1,－,1
総数（国・公・私立）,2,港区,令和5,2023,82,32,50,5,5,－,4,－,－,22,36,－,3,－,2,－,－,－,－,3,－,2,－
総数（国・公・私立）,2,新宿区,令和5,2023,57,22,35,－,10,－,7,－,－,12,11,－,2,－,－,－,－,－,－,9,3,1,2
総数（国・公・私立）,2,文京区,令和5,2023,85,37,48,1,10,－,6,－,－,23,22,－,1,－,2,－,1,－,－,9,1,4,5
総数（国・公・私立）,2,台東区,令和5,2023,23,5,18,4,4,－,5,－,－,1,9,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,墨田区,令和5,2023,44,14,30,8,15,－,10,－,－,2,1,－,－,－,－,－,1,－,－,4,3,－,－
総数（国・公・私立）,2,江東区,令和5,2023,53,16,37,2,11,－,11,－,－,2,5,－,－,－,－,－,－,－,－,6,9,6,1
総数（国・公・私立）,2,品川区,令和5,2023,33,16,17,7,2,－,4,－,－,5,8,－,2,－,－,－,－,－,－,4,－,－,1
総数（国・公・私立）,2,目黒区,令和5,2023,33,11,22,3,6,1,4,－,－,5,4,－,－,－,－,－,4,－,－,2,3,－,1
総数（国・公・私立）,2,大田区,令和5,2023,63,38,25,17,12,4,9,－,－,3,1,－,－,－,－,－,－,－,－,10,3,4,－
総数（国・公・私立）,2,世田谷区,令和5,2023,123,61,62,21,8,1,5,－,－,24,41,－,3,－,－,－,－,－,－,3,1,12,4
総数（国・公・私立）,2,渋谷区,令和5,2023,77,43,34,6,2,－,4,－,－,16,16,－,－,－,1,－,4,5,1,14,3,2,3
総数（国・公・私立）,2,中野区,令和5,2023,42,17,25,4,6,－,6,－,－,12,11,－,－,－,－,－,2,－,－,1,－,－,－
総数（国・公・私立）,2,杉並区,令和5,2023,84,33,51,9,12,－,10,－,－,11,17,－,－,－,－,－,－,2,2,10,7,1,3
総数（国・公・私立）,2,豊島区,令和5,2023,66,28,38,5,3,1,3,－,－,7,13,－,3,－,1,－,4,－,－,14,7,1,4
総数（国・公・私立）,2,北区,令和5,2023,52,15,37,3,9,－,8,－,－,4,15,1,－,－,－,－,－,－,－,2,2,5,3
総数（国・公・私立）,2,荒川区,令和5,2023,35,11,24,5,5,－,7,－,－,2,2,－,1,－,2,－,－,－,－,4,7,－,－
総数（国・公・私立）,2,板橋区,令和5,2023,99,33,66,8,14,1,20,－,－,10,24,－,－,－,－,－,1,7,3,6,4,1,－
総数（国・公・私立）,2,練馬区,令和5,2023,62,29,33,18,16,1,14,－,－,7,3,1,－,－,－,－,－,－,－,2,－,－,－
総数（国・公・私立）,2,足立区,令和5,2023,63,25,38,21,14,1,19,－,－,2,2,－,1,－,1,－,－,－,－,1,1,－,－
総数（国・公・私立）,2,葛飾区,令和5,2023,50,20,30,9,16,1,10,－,－,2,－,－,－,－,－,－,－,－,－,8,2,－,2
