地域階層,地域,区分,総数／学校数（校）,総数／学級数（学級）,総数／児童数（人）,総数／児童数／１学年（人）,総数／児童数／２学年（人）,総数／児童数／３学年（人）,総数／児童数／４学年（人）,総数／児童数／５学年（人）,総数／児童数／６学年（人）,総数／うち公立／学校数（校）,総数／うち公立／学級数（学級）,総数／うち公立／児童数（人）,総数／うち公立／児童数／１学年（人）,総数／うち公立／児童数／２学年（人）,総数／うち公立／児童数／３学年（人）,総数／うち公立／児童数／４学年（人）,総数／うち公立／児童数／５学年（人）,総数／うち公立／児童数／６学年（人）
0,総数,総数,385,1330,9196,1257,1461,1559,1597,1654,1668,384,1312,9018,1230,1431,1529,1566,1624,1638
0,総数,知的障害,…,1126,7799,1079,1260,1281,1332,1402,1445,…,1126,7799,1079,1260,1281,1332,1402,1445
0,総数,肢体不自由,…,10,51,9,5,10,7,12,8,…,10,51,9,5,10,7,12,8
0,総数,病弱・身体虚弱,…,9,32,－,－,8,10,12,2,…,9,32,－,－,8,10,12,2
0,総数,弱視,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
0,総数,難聴,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
0,総数,言語障害,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
0,総数,情緒障害,…,185,1314,169,196,260,248,228,213,…,167,1136,142,166,230,217,198,183
1,区部,総数,216,684,4705,703,775,773,826,793,835,216,684,4705,703,775,773,826,793,835
1,区部,知的障害,…,643,4468,680,752,709,778,744,805,…,643,4468,680,752,709,778,744,805
1,区部,肢体不自由,…,6,36,6,4,6,5,11,4,…,6,36,6,4,6,5,11,4
1,区部,病弱・身体虚弱,…,7,31,－,－,8,10,12,1,…,7,31,－,－,8,10,12,1
1,区部,弱視,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,区部,難聴,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,区部,言語障害,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,区部,情緒障害,…,28,170,17,19,50,33,26,25,…,28,170,17,19,50,33,26,25
1,市部,総数,159,629,4431,550,679,773,765,846,818,158,611,4253,523,649,743,734,816,788
1,市部,知的障害,…,470,3280,397,503,560,550,645,625,…,470,3280,397,503,560,550,645,625
1,市部,肢体不自由,…,3,14,2,1,4,2,1,4,…,3,14,2,1,4,2,1,4
1,市部,病弱・身体虚弱,…,2,1,－,－,－,－,－,1,…,2,1,－,－,－,－,－,1
1,市部,弱視,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,市部,難聴,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,市部,言語障害,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,市部,情緒障害,…,154,1136,151,175,209,213,200,188,…,136,958,124,145,179,182,170,158
1,郡部,総数,4,8,35,2,4,9,4,7,9,4,8,35,2,4,9,4,7,9
1,郡部,知的障害,…,7,34,2,4,8,4,7,9,…,7,34,2,4,8,4,7,9
1,郡部,肢体不自由,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,郡部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,郡部,弱視,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,郡部,難聴,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,郡部,言語障害,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,郡部,情緒障害,…,1,1,－,－,1,－,－,－,…,1,1,－,－,1,－,－,－
1,島部,総数,6,9,25,2,3,4,2,8,6,6,9,25,2,3,4,2,8,6
1,島部,知的障害,…,6,17,－,1,4,－,6,6,…,6,17,－,1,4,－,6,6
1,島部,肢体不自由,…,1,1,1,－,－,－,－,－,…,1,1,1,－,－,－,－,－
1,島部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,島部,弱視,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,島部,難聴,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,島部,言語障害,…,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－
1,島部,情緒障害,…,2,7,1,2,－,2,2,－,…,2,7,1,2,－,2,2,－
,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,
４－７　小学校　特別支援学級のある学校数、設置目的別学級数及び学年別児童数,,,,,,,,,,,,,,,,,,,,
注）国立には、特別支援学級はない。,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,,,,,,,,,,,,
