種別,区分,項目,総数（人）,総数／学齢児童数（人）,総数／学齢児童数／６歳（人）,総数／学齢児童数／７歳（人）,総数／学齢児童数／８歳（人）,総数／学齢児童数／９歳（人）,総数／学齢児童数／１０歳（人）,総数／学齢児童数／１１歳（人）,総数／学齢生徒数（人）,総数／学齢生徒数／１２歳（人）,総数／学齢生徒数／１３歳（人）,総数／学齢生徒数／１４歳（人）,総数／男（人）,総数／男／学齢児童数（人）,総数／男／学齢児童数／６歳（人）,総数／男／学齢児童数／７歳（人）,総数／男／学齢児童数／８歳（人）,総数／男／学齢児童数／９歳（人）,総数／男／学齢児童数／１０歳（人）,総数／男／学齢児童数／１１歳（人）,総数／男／学齢生徒数（人）,総数／男／学齢生徒数／１２歳（人）,総数／男／学齢生徒数／１３歳（人）,総数／男／学齢生徒数／１４歳（人）,総数／女（人）,総数／女／学齢児童数（人）,総数／女／学齢児童数／６歳（人）,総数／女／学齢児童数／７歳（人）,総数／女／学齢児童数／８歳（人）,総数／女／学齢児童数／９歳（人）,総数／女／学齢児童数／１０歳（人）,総数／女／学齢児童数／１１歳（人）,総数／女／学齢生徒数（人）,総数／女／学齢生徒数／１２歳（人）,総数／女／学齢生徒数／１３歳（人）,総数／女／学齢生徒数／１４歳（人）
総数（国・公・私立）,不就学者数（就学免除者数・就学猶予者数）,総数,1588,1078,139,205,171,181,196,186,510,171,169,170,773,536,79,99,94,81,93,90,237,73,85,79,815,542,60,106,77,100,103,96,273,98,84,91
総数（国・公・私立）,就学免除者数,総数,1336,878,106,175,134,146,162,155,458,160,150,148,641,433,59,85,70,64,80,75,208,66,74,68,695,445,47,90,64,82,82,80,250,94,76,80
総数（国・公・私立）,就学免除者数,病弱・発育不完全,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－
総数（国・公・私立）,就学免除者数,児童自立支援施設又は少年院にいるため,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,就学免除者数,重国籍のため,1335,877,106,175,134,145,162,155,458,160,150,148,641,433,59,85,70,64,80,75,208,66,74,68,694,444,47,90,64,81,82,80,250,94,76,80
総数（国・公・私立）,就学免除者数,その他,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,就学猶予者数,総数,252,200,33,30,37,35,34,31,52,11,19,22,132,103,20,14,24,17,13,15,29,7,11,11,120,97,13,16,13,18,21,16,23,4,8,11
総数（国・公・私立）,就学猶予者数,病弱・発育不完全,11,11,10,－,1,－,－,－,－,－,－,－,8,8,8,－,－,－,－,－,－,－,－,－,3,3,2,－,1,－,－,－,－,－,－,－
総数（国・公・私立）,就学猶予者数,児童自立支援施設又は少年院にいるため,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,就学猶予者数,重国籍のため,226,174,17,28,33,33,32,31,52,11,19,22,114,85,8,13,22,16,11,15,29,7,11,11,112,89,9,15,11,17,21,16,23,4,8,11
総数（国・公・私立）,就学猶予者数,その他,15,15,6,2,3,2,2,－,－,－,－,－,10,10,4,1,2,1,2,－,－,－,－,－,5,5,2,1,1,1,－,－,－,－,－,－
総数（国・公・私立）,（別掲）1年以上居所不明者数,総数,5,2,－,1,－,1,－,－,3,－,1,2,3,1,－,－,－,1,－,－,2,－,1,1,2,1,－,1,－,－,－,－,1,－,－,1
総数（国・公・私立）,（別掲）死亡者数（前年度間）,総数,44,27,5,5,4,8,2,3,17,3,3,11,24,15,1,2,4,4,2,2,9,3,1,5,20,12,4,3,－,4,－,1,8,－,2,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１９－１　不就学学齢児童生徒調査　年齢別不就学者数、１年以上居所不明者数及び死亡者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）養護学校義務化以降の状況から「肢体不自由」等の項目を見直し、「その他」について細分化した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
