地域階層,地域,区分,総数／学校数（校）,総数／学級数（学級）,総数／生徒数（人）,総数／生徒数／１学年（人）,総数／生徒数／２学年（人）,総数／生徒数／３学年（人）,総数／うち公立／学校数（校）,総数／うち公立／学級数（学級）,総数／うち公立／生徒数（人）,総数／うち公立／生徒数／１学年（人）,総数／うち公立／生徒数／２学年（人）,総数／うち公立／生徒数／３学年（人）
0,総数,総数,238,745,5086,1758,1710,1618,237,736,4980,1724,1674,1582
0,総数,知的障害,…,629,4307,1467,1446,1394,…,629,4307,1467,1446,1394
0,総数,肢体不自由,…,5,12,5,5,2,…,5,12,5,5,2
0,総数,病弱・身体虚弱,…,1,－,－,－,－,…,1,－,－,－,－
0,総数,弱視,…,－,－,－,－,－,…,－,－,－,－,－
0,総数,難聴,…,－,－,－,－,－,…,－,－,－,－,－
0,総数,言語障害,…,－,－,－,－,－,…,－,－,－,－,－
0,総数,情緒障害,…,110,767,286,259,222,…,101,661,252,223,186
1,区部,総数,129,363,2458,839,823,796,129,363,2458,839,823,796
1,区部,知的障害,…,334,2292,784,766,742,…,334,2292,784,766,742
1,区部,肢体不自由,…,2,7,3,3,1,…,2,7,3,3,1
1,区部,病弱・身体虚弱,…,－,－,－,－,－,…,－,－,－,－,－
1,区部,弱視,…,－,－,－,－,－,…,－,－,－,－,－
1,区部,難聴,…,－,－,－,－,－,…,－,－,－,－,－
1,区部,言語障害,…,－,－,－,－,－,…,－,－,－,－,－
1,区部,情緒障害,…,27,159,52,54,53,…,27,159,52,54,53
1,市部,総数,100,367,2581,904,874,803,99,358,2475,870,838,767
1,市部,知的障害,…,285,1980,670,672,638,…,285,1980,670,672,638
1,市部,肢体不自由,…,2,4,2,2,－,…,2,4,2,2,－
1,市部,病弱・身体虚弱,…,1,－,－,－,－,…,1,－,－,－,－
1,市部,弱視,…,－,－,－,－,－,…,－,－,－,－,－
1,市部,難聴,…,－,－,－,－,－,…,－,－,－,－,－
1,市部,言語障害,…,－,－,－,－,－,…,－,－,－,－,－
1,市部,情緒障害,…,79,597,232,200,165,…,70,491,198,164,129
1,郡部,総数,5,8,35,14,9,12,5,8,35,14,9,12
1,郡部,知的障害,…,6,26,12,5,9,…,6,26,12,5,9
1,郡部,肢体不自由,…,－,－,－,－,－,…,－,－,－,－,－
1,郡部,病弱・身体虚弱,…,－,－,－,－,－,…,－,－,－,－,－
1,郡部,弱視,…,－,－,－,－,－,…,－,－,－,－,－
1,郡部,難聴,…,－,－,－,－,－,…,－,－,－,－,－
1,郡部,言語障害,…,－,－,－,－,－,…,－,－,－,－,－
1,郡部,情緒障害,…,2,9,2,4,3,…,2,9,2,4,3
1,島部,総数,4,7,12,1,4,7,4,7,12,1,4,7
1,島部,知的障害,…,4,9,1,3,5,…,4,9,1,3,5
1,島部,肢体不自由,…,1,1,－,－,1,…,1,1,－,－,1
1,島部,病弱・身体虚弱,…,－,－,－,－,－,…,－,－,－,－,－
1,島部,弱視,…,－,－,－,－,－,…,－,－,－,－,－
1,島部,難聴,…,－,－,－,－,－,…,－,－,－,－,－
1,島部,言語障害,…,－,－,－,－,－,…,－,－,－,－,－
1,島部,情緒障害,…,2,2,－,1,1,…,2,2,－,1,1
,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,
５－８　中学校　特別支援学級のある学校数、設置目的別学級数及び学年別生徒数,,,,,,,,,,,,,,
注）国立には、特別支援学級はない。,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,,,,,,
