種別,区分,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／大学等進学者（Ａ）／大学（学部）（人）,卒業者数／大学等進学者（Ａ）／短期大学（本科）（人）,卒業者数／大学等進学者（Ａ）／大学・短期大学の通信教育部（人）,卒業者数／大学等進学者（Ａ）／大学・短期大学（別科）（人）,卒業者数／大学等進学者（Ａ）／高等学校（専攻科）（人）,卒業者数／大学等進学者（Ａ）／特別支援学校高等部（専攻科）（人）,卒業者数／大学等進学者（Ａ）／うち大学・短期大学の通信教育部を除く進学者（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）／専修学校（一般課程）等（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）／各種学校（人）,卒業者数／公共職業能力開発施設等入学者（Ｄ）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,"左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ａのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｂのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｃのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｄのうち（人）",左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（公・私立）,総数,3597,720,592,58,70,－,－,－,650,734,16,3,13,20,5,731,109,4,1257,1,－,－,－,－,－,29,20,765,21.3
総数（公・私立）,男,1898,343,301,10,32,－,－,－,311,392,6,1,5,13,3,494,48,－,598,1,－,－,－,－,－,7,18.1,504,26.6
総数（公・私立）,女,1699,377,291,48,38,－,－,－,339,342,10,2,8,7,2,237,61,4,659,－,－,－,－,－,－,22,22.2,261,15.4
公立,総数,382,91,70,4,17,－,－,－,74,35,8,－,8,5,－,37,95,－,110,1,－,－,－,－,－,27,23.8,64,16.8
公立,男,163,27,20,1,6,－,－,－,21,16,4,－,4,2,－,17,44,－,52,1,－,－,－,－,－,6,16.6,23,14.1
公立,女,219,64,50,3,11,－,－,－,53,19,4,－,4,3,－,20,51,－,58,－,－,－,－,－,－,21,29.2,41,18.7
私立,総数,3215,629,522,54,53,－,－,－,576,699,8,3,5,15,5,694,14,4,1147,－,－,－,－,－,－,2,19.6,701,21.8
私立,男,1735,316,281,9,26,－,－,－,290,376,2,1,1,11,3,477,4,－,546,－,－,－,－,－,－,1,18.2,481,27.7
私立,女,1480,313,241,45,27,－,－,－,286,323,6,2,4,4,2,217,10,4,601,－,－,－,－,－,－,1,21.1,220,14.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１６－１　卒業後の状況調査（高等学校  通信制）　通信制課程の設置者、状況別卒業者数、大学等進学率及び卒業者に占める就職者の割合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）「就職者総数（再掲）」とは、「自営業主等」、「無期雇用労働者」、「左記A，B，C，Dのうち就職している者(再掲）」及び「左記E有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２）「左記以外の者」とは、家事手伝いをしている者、外国の大学等に入学した者又は進路が未定であることが明らかな者である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
