種別,区分,総数／入学志願者数（人）,総数／入学志願者数／男（人）,総数／入学志願者数／女（人）,総数／入学者数（人）,総数／入学者数／男（人）,総数／入学者数／女（人）,総数／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,総数／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）,総数／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,総数／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）,全日制／入学志願者数（人）,全日制／入学志願者数／男（人）,全日制／入学志願者数／女（人）,全日制／入学者数（人）,全日制／入学者数／男（人）,全日制／入学者数／女（人）,全日制／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,全日制／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）,全日制／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,全日制／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）,定時制／入学志願者数（人）,定時制／入学志願者数／男（人）,定時制／入学志願者数／女（人）,定時制／入学者数（人）,定時制／入学者数／男（人）,定時制／入学者数／女（人）,定時制／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,定時制／うち他県所在の中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）,定時制／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／男（人）,定時制／うち過年度中学校・義務教育学校卒業者及び中等教育学校前期課程修了者／女（人）
総数（国・公・私立）,総数,198658,101673,96985,103886,52130,51756,5661,5424,152,104,193523,98905,94618,100520,50371,50149,5547,5353,35,32,5135,2768,2367,3366,1759,1607,114,71,117,72
総数（国・公・私立）,普通（普通）,180999,92513,88486,91956,45997,45959,5233,5082,103,72,177900,90784,87116,90087,44940,45147,5135,5028,30,30,3099,1729,1370,1869,1057,812,98,54,73,42
総数（国・公・私立）,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,農業,969,478,491,701,347,354,2,2,1,1,923,448,475,655,317,338,2,2,1,－,46,30,16,46,30,16,－,－,－,1
総数（国・公・私立）,工業,4633,3911,722,3293,2768,525,326,38,11,7,4501,3830,671,3165,2688,477,323,32,2,1,132,81,51,128,80,48,3,6,9,6
総数（国・公・私立）,商業,2813,1231,1582,2038,883,1155,31,61,5,1,2775,1211,1564,2002,863,1139,29,61,1,－,38,20,18,36,20,16,2,－,4,1
総数（国・公・私立）,水産,57,45,12,50,38,12,－,－,－,－,57,45,12,50,38,12,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,家庭,637,157,480,440,83,357,5,17,－,－,637,157,480,440,83,357,5,17,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,看護,46,－,46,37,－,37,－,15,－,－,46,－,46,37,－,37,－,15,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,情報,119,77,42,74,40,34,1,1,－,－,－,－,－,－,－,－,－,－,－,－,119,77,42,74,40,34,1,1,－,－
総数（国・公・私立）,福祉,64,17,47,52,14,38,－,1,－,－,64,17,47,52,14,38,－,1,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,その他,2974,1004,1970,1674,534,1140,49,192,1,1,2957,994,1963,1657,524,1133,49,192,1,1,17,10,7,17,10,7,－,－,－,－
総数（国・公・私立）,総合,5347,2240,3107,3571,1426,2145,14,15,31,22,3663,1419,2244,2375,904,1471,4,5,－,－,1684,821,863,1196,522,674,10,10,31,22
国立,総数,3321,1887,1434,1065,582,483,125,126,－,1,3321,1887,1434,1065,582,483,125,126,－,1,－,－,－,－,－,－,－,－,－,－
国立,普通（普通）,2751,1506,1245,827,428,399,44,85,－,－,2751,1506,1245,827,428,399,44,85,－,－,－,－,－,－,－,－,－,－,－,－
国立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,農業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,工業,481,362,119,201,146,55,77,26,－,－,481,362,119,201,146,55,77,26,－,－,－,－,－,－,－,－,－,－,－,－
国立,商業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,家庭,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,情報,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,福祉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,その他,89,19,70,37,8,29,4,15,－,1,89,19,70,37,8,29,4,15,－,1,－,－,－,－,－,－,－,－,－,－
国立,総合,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,総数,70636,35217,35419,42978,21525,21453,269,234,142,86,66803,33246,33557,39984,20052,19932,229,204,26,14,3833,1971,1862,2994,1473,1521,40,30,116,72
公立,普通（普通）,56289,27880,28409,32879,16323,16556,232,200,93,55,54492,26948,27544,31382,15552,15830,208,187,21,13,1797,932,865,1497,771,726,24,13,72,42
公立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,農業,969,478,491,701,347,354,2,2,1,1,923,448,475,655,317,338,2,2,1,－,46,30,16,46,30,16,－,－,－,1
公立,工業,3276,2690,586,2610,2152,458,13,7,11,7,3144,2609,535,2482,2072,410,10,1,2,1,132,81,51,128,80,48,3,6,9,6
公立,商業,2041,936,1105,1720,766,954,3,2,5,1,2003,916,1087,1684,746,938,1,2,1,－,38,20,18,36,20,16,2,－,4,1
公立,水産,57,45,12,50,38,12,－,－,－,－,57,45,12,50,38,12,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,家庭,536,119,417,382,61,321,－,－,－,－,536,119,417,382,61,321,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,情報,119,77,42,74,40,34,1,1,－,－,－,－,－,－,－,－,－,－,－,－,119,77,42,74,40,34,1,1,－,－
公立,福祉,64,17,47,52,14,38,－,1,－,－,64,17,47,52,14,38,－,1,－,－,－,－,－,－,－,－,－,－,－,－
公立,その他,1938,735,1203,939,358,581,4,6,1,－,1921,725,1196,922,348,574,4,6,1,－,17,10,7,17,10,7,－,－,－,－
公立,総合,5347,2240,3107,3571,1426,2145,14,15,31,22,3663,1419,2244,2375,904,1471,4,5,－,－,1684,821,863,1196,522,674,10,10,31,22
私立,総数,124701,64569,60132,59843,30023,29820,5267,5064,10,17,123399,63772,59627,59471,29737,29734,5193,5023,9,17,1302,797,505,372,286,86,74,41,1,－
私立,普通（普通）,121959,63127,58832,58250,29246,29004,4957,4797,10,17,120657,62330,58327,57878,28960,28918,4883,4756,9,17,1302,797,505,372,286,86,74,41,1,－
私立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,農業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,工業,876,859,17,482,470,12,236,5,－,－,876,859,17,482,470,12,236,5,－,－,－,－,－,－,－,－,－,－,－,－
私立,商業,772,295,477,318,117,201,28,59,－,－,772,295,477,318,117,201,28,59,－,－,－,－,－,－,－,－,－,－,－,－
私立,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,家庭,101,38,63,58,22,36,5,17,－,－,101,38,63,58,22,36,5,17,－,－,－,－,－,－,－,－,－,－,－,－
私立,看護,46,－,46,37,－,37,－,15,－,－,46,－,46,37,－,37,－,15,－,－,－,－,－,－,－,－,－,－,－,－
私立,情報,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,福祉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,その他,947,250,697,698,168,530,41,171,－,－,947,250,697,698,168,530,41,171,－,－,－,－,－,－,－,－,－,－,－,－
私立,総合,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７－８　高等学校（全日制・定時制）　設置者、課程、学科別入学志願者数及び入学者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）入学志願者とは、一般応募者及び附属中学校からの進学希望者で、併願者を含めた延数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
