種別,性別,地域階層,地域,平成30,2018,月,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／就職者（人）,卒業者数／就職者／正規の職員等（人）,卒業者数／就職者／正規の職員等でない者（人）,卒業者数／一時的な仕事に就いた者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／自営業主等無期雇用労働者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／雇用契約期間が一年以上、かつフルタイム勤務相当の者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等でない者（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,Ａのうち大学・短期大学の通信教育部を除く進学者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数（男・女）,0,総数,令和元,2019,3月,1146,889,12,212,3,…,…,…,…,3,3,－,－,27,－,－,…,…,－,－,…,888,77.6,3,0.3
総数（国・公・私立）,総数（男・女）,0,総数,令和2,2020,3月,1141,892,56,114,1,…,…,…,…,5,5,－,－,73,－,－,…,…,－,－,…,892,78.2,5,0.4
総数（国・公・私立）,総数（男・女）,0,総数,令和3,2021,3月,1103,915,55,80,2,－,－,－,－,…,…,…,…,51,－,－,－,－,…,…,－,915,83,－,－
総数（国・公・私立）,総数（男・女）,0,総数,令和4,2022,3月,1141,951,78,59,1,－,3,－,－,…,…,…,…,49,－,－,－,－,…,…,－,950,83.3,3,0.3
総数（国・公・私立）,総数（男・女）,0,総数,令和5,2023,3月,1141,965,11,123,2,－,2,－,－,…,…,…,…,38,－,－,－,－,…,…,－,965,84.6,2,0.2
総数（国・公・私立）,総数（男・女）,0,総数,令和5,2023,3月,1138,940,4,123,－,1,6,－,－,…,…,…,…,64,－,－,－,－,…,…,－,939,82.6,7,0.6
国立,総数（男・女）,0,総数,令和5,2023,3月,232,174,2,－,－,1,1,－,－,…,…,…,…,54,－,－,－,－,…,…,－,174,75,2,0.9
国立,総数（男・女）,1,中野区,令和5,2023,3月,109,84,2,－,－,1,－,－,－,…,…,…,…,22,－,－,－,－,…,…,－,84,77.1,1,0.9
国立,総数（男・女）,1,練馬区,令和5,2023,3月,123,90,－,－,－,－,1,－,－,…,…,…,…,32,－,－,－,－,…,…,－,90,73.2,1,0.8
公立,総数（男・女）,0,総数,令和5,2023,3月,906,766,2,123,－,－,5,－,－,…,…,…,…,10,－,－,－,－,…,…,－,765,84.5,5,0.6
公立,総数（男・女）,1,千代田区,令和5,2023,3月,147,107,－,34,－,－,－,－,－,…,…,…,…,6,－,－,－,－,…,…,－,107,72.8,－,－
公立,総数（男・女）,1,文京区,令和5,2023,3月,153,129,－,23,－,－,1,－,－,…,…,…,…,－,－,－,－,－,…,…,－,129,84.3,1,0.7
