種別,地域階層,地域,和暦（年度）,西暦（年度）,職員数（本務者）（人）,職員数（本務者）／男（人）,職員数（本務者）／女（人）,職員数（本務者）／事務職員／主事・主事補等／男（人）,職員数（本務者）／事務職員／主事・主事補等／女（人）,職員数（本務者）／事務職員／その他／男（人）,職員数（本務者）／事務職員／その他／女（人）,職員数（本務者）／学校図書館事務員／男（人）,職員数（本務者）／学校図書館事務員／女（人）,職員数（本務者）／技術職員／男（人）,職員数（本務者）／技術職員／女（人）,職員数（本務者）／実習助手／男（人）,職員数（本務者）／実習助手／女（人）,職員数（本務者）／看護職員（看護師等）／男（人）,職員数（本務者）／看護職員（看護師等）／女（人）,職員数（本務者）／用務員／男（人）,職員数（本務者）／用務員／女（人）,職員数（本務者）／警備員・その他／男（人）,職員数（本務者）／警備員・その他／女（人）
総数（国・公・私立）,0,総数,平成30,2018,3456,1840,1616,449,357,818,759,25,120,33,40,313,213,－,50,133,55,69,22
総数（国・公・私立）,0,総数,令和元,2019,3448,1807,1641,435,354,807,777,23,114,29,38,311,221,－,51,130,55,72,31
総数（国・公・私立）,0,総数,令和2,2020,3404,1768,1636,420,356,792,783,21,109,15,35,310,227,－,45,134,45,76,36
総数（国・公・私立）,0,総数,令和3,2021,3397,1774,1623,416,363,814,784,20,105,18,36,306,220,－,49,130,38,70,28
総数（国・公・私立）,0,総数,令和4,2022,3377,1750,1627,415,359,811,793,20,100,14,35,292,231,1,48,130,33,67,28
総数（国・公・私立）,0,総数,令和5,2023,3323,1699,1624,406,361,806,792,19,101,13,34,275,230,1,53,119,31,60,22
総数（国・公・私立）,1,区部,令和5,2023,2391,1227,1164,236,232,627,599,14,75,9,23,190,158,1,34,95,26,55,17
総数（国・公・私立）,2,千代田区,令和5,2023,133,55,78,5,4,41,49,1,7,－,－,1,11,－,4,3,－,4,3
総数（国・公・私立）,2,中央区,令和5,2023,5,3,2,2,2,1,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,港区,令和5,2023,138,72,66,5,7,54,39,－,6,－,－,5,11,－,1,4,2,4,－
総数（国・公・私立）,2,新宿区,令和5,2023,71,38,33,10,8,18,13,－,4,－,1,5,5,－,1,4,－,1,1
総数（国・公・私立）,2,文京区,令和5,2023,203,92,111,6,7,57,62,1,11,－,－,9,16,1,8,12,7,6,－
