種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,卒業者数（人）,卒業者数／高等学校進学者（Ａ）（人）,卒業者数／専修学校（高等課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／就職者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａのうち他県への進学者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ａのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｂのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｃのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｄのうち（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,高等学校等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（公立）,総数（男・女）,0,総数,平成30,2018,3月,697,690,－,－,－,…,…,…,…,－,7,－,30,－,－,－,－,－,…,99,－,－
総数（公立）,総数（男・女）,0,総数,令和元,2019,3月,663,658,－,－,－,…,…,…,…,－,5,－,38,－,－,－,－,－,…,99.2,－,－
総数（公立）,総数（男・女）,0,総数,令和2,2020,3月,666,652,2,－,－,1,－,－,－,…,11,－,62,－,－,－,－,－,－,97.9,1,0.2
総数（公立）,総数（男・女）,0,総数,令和3,2021,3月,850,841,4,－,－,－,－,－,－,…,5,－,75,－,－,－,－,－,－,98.9,－,－
総数（公立）,総数（男・女）,0,総数,令和4,2022,3月,869,864,1,－,－,－,－,－,－,…,4,－,72,－,－,－,－,－,－,99.4,－,－
総数（公立）,総数（男・女）,0,総数,令和5,2023,3月,954,935,6,3,－,－,－,－,－,…,10,－,91,－,－,－,－,－,－,98,－,－
総数（公立）,総数（男・女）,1,区部,令和5,2023,3月,819,807,1,3,－,－,－,－,－,…,8,－,78,－,－,－,－,－,－,98.5,－,－
総数（公立）,総数（男・女）,2,江東区,令和5,2023,3月,74,73,－,－,－,－,－,－,－,…,1,－,4,－,－,－,－,－,－,98.6,－,－
総数（公立）,総数（男・女）,2,品川区,令和5,2023,3月,745,734,1,3,－,－,－,－,－,…,7,－,74,－,－,－,－,－,－,98.5,－,－
総数（公立）,総数（男・女）,1,市部,令和5,2023,3月,135,128,5,－,－,－,－,－,－,…,2,－,13,－,－,－,－,－,－,94.8,－,－
総数（公立）,総数（男・女）,2,八王子市,令和5,2023,3月,135,128,5,－,－,－,－,－,－,…,2,－,13,－,－,－,－,－,－,94.8,－,－
総数（公立）,総数（男・女）,1,郡部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,総数（男・女）,1,島部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,男,0,総数,平成30,2018,3月,362,359,－,－,－,…,…,…,…,－,3,－,19,－,－,－,－,－,…,99.2,－,－
総数（公立）,男,0,総数,令和元,2019,3月,335,335,－,－,－,…,…,…,…,－,－,－,22,－,－,－,－,－,…,100,－,－
総数（公立）,男,0,総数,令和2,2020,3月,329,320,2,－,－,1,－,－,－,…,6,－,37,－,－,－,－,－,－,97.3,1,0.3
総数（公立）,男,0,総数,令和3,2021,3月,458,453,2,－,－,－,－,－,－,…,3,－,52,－,－,－,－,－,－,98.9,－,－
総数（公立）,男,0,総数,令和4,2022,3月,419,417,－,－,－,－,－,－,－,…,2,－,44,－,－,－,－,－,－,99.5,－,－
総数（公立）,男,0,総数,令和5,2023,3月,492,482,3,－,－,－,－,－,－,…,7,－,56,－,－,－,－,－,－,98,－,－
総数（公立）,男,1,区部,令和5,2023,3月,419,412,1,－,－,－,－,－,－,…,6,－,51,－,－,－,－,－,－,98.3,－,－
総数（公立）,男,2,江東区,令和5,2023,3月,42,42,－,－,－,－,－,－,－,…,－,－,3,－,－,－,－,－,－,100,－,－
総数（公立）,男,2,品川区,令和5,2023,3月,377,370,1,－,－,－,－,－,－,…,6,－,48,－,－,－,－,－,－,98.1,－,－
総数（公立）,男,1,市部,令和5,2023,3月,73,70,2,－,－,－,－,－,－,…,1,－,5,－,－,－,－,－,－,95.9,－,－
総数（公立）,男,2,八王子市,令和5,2023,3月,73,70,2,－,－,－,－,－,－,…,1,－,5,－,－,－,－,－,－,95.9,－,－
総数（公立）,男,1,郡部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,男,1,島部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,女,0,総数,平成30,2018,3月,335,331,－,－,－,…,…,…,…,－,4,－,11,－,－,－,－,－,…,98.8,－,－
総数（公立）,女,0,総数,令和元,2019,3月,328,323,－,－,－,…,…,…,…,－,5,－,16,－,－,－,－,－,…,98.5,－,－
総数（公立）,女,0,総数,令和2,2020,3月,337,332,－,－,－,－,－,－,－,…,5,－,25,－,－,－,－,－,－,98.5,－,－
総数（公立）,女,0,総数,令和3,2021,3月,392,388,2,－,－,－,－,－,－,…,2,－,23,－,－,－,－,－,－,99,－,－
総数（公立）,女,0,総数,令和4,2022,3月,450,447,1,－,－,－,－,－,－,…,2,－,28,－,－,－,－,－,－,99.3,－,－
総数（公立）,女,0,総数,令和5,2023,3月,462,453,3,3,－,－,－,－,－,…,3,－,35,－,－,－,－,－,－,98.1,－,－
総数（公立）,女,1,区部,令和5,2023,3月,400,395,－,3,－,－,－,－,－,…,2,－,27,－,－,－,－,－,－,98.8,－,－
総数（公立）,女,2,江東区,令和5,2023,3月,32,31,－,－,－,－,－,－,－,…,1,－,1,－,－,－,－,－,－,96.9,－,－
総数（公立）,女,2,品川区,令和5,2023,3月,368,364,－,3,－,－,－,－,－,…,1,－,26,－,－,－,－,－,－,98.9,－,－
総数（公立）,女,1,市部,令和5,2023,3月,62,58,3,－,－,－,－,－,－,…,1,－,8,－,－,－,－,－,－,93.5,－,－
総数（公立）,女,2,八王子市,令和5,2023,3月,62,58,3,－,－,－,－,－,－,…,1,－,8,－,－,－,－,－,－,93.5,－,－
総数（公立）,女,1,郡部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,女,1,島部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１４－１　卒業後の状況調査（義務教育学校）　所在地、状況別卒業者数、高等学校等進学率及び卒業者に占める就職者の割合,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）義務教育学校は、学校教育法等の一部を改正する法律（平成27年法律第46号。平成28年4月1日施行）により創設された学校をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２）国立・私立には義務教育学校はない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注３）「就職者等」は、令和２年度からの調査項目である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注４）「就職者」は、令和元年度以前の調査項目である。平成31年3月以前の「就職者」は、雇用契約期間が１年未満で期間の定めのある者及び雇用契約期間の長さにかかわらず短時間勤務の者を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注５）平成31年3月以前の「就職者総数（再掲）」とは、卒業者のうち「就職者」及び「左記A，B，C，Dのうち就職している者(再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
