種別,性別,課程,区分,大学等進学者数（人）,大学等進学者数／大学（学部）（人）,大学等進学者数／短期大学（本科）（人）,大学等進学者数／大学・短期大学の通信教育部（人）,大学等進学者数／大学・短期大学（別科）（人）,大学等進学者数／高等学校（専攻科）（人）,大学等進学者数／特別支援学校高等部（専攻科）（人）
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,総数,70463,68980,1364,74,5,40,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（普通）,65675,64494,1122,52,5,2,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,農業,204,176,26,2,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,工業,1004,985,15,4,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,商業,770,722,46,2,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,水産,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,家庭,107,74,33,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,看護,39,1,－,－,－,38,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,情報,23,22,－,1,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,福祉,2,2,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,その他,1122,1089,29,4,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,総合学科,1517,1415,93,9,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,総数,69547,68126,1320,56,5,40,－
総数（国・公・私立）,総数（男・女）,全日制,普通（普通）,65105,63950,1103,45,5,2,－
総数（国・公・私立）,総数（男・女）,全日制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,農業,194,168,24,2,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,工業,978,962,14,2,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,商業,770,722,46,2,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,家庭,107,74,33,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,看護,39,1,－,－,－,38,－
総数（国・公・私立）,総数（男・女）,全日制,情報,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,福祉,2,2,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,その他,1122,1089,29,4,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,総合学科,1230,1158,71,1,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,総数,916,854,44,18,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,普通（普通）,570,544,19,7,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,農業,10,8,2,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,工業,26,23,1,2,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,商業,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,家庭,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,看護,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,情報,23,22,－,1,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,福祉,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,その他,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,総合学科,287,257,22,8,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,総数,33743,33572,138,29,2,2,－
総数（国・公・私立）,男,総数（全日制・定時制）,普通（普通）,31584,31450,110,20,2,2,－
総数（国・公・私立）,男,総数（全日制・定時制）,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,農業,90,84,4,2,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,工業,796,785,9,2,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,商業,364,360,3,1,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,水産,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,家庭,10,10,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,看護,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,情報,15,14,－,1,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,福祉,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,その他,313,309,4,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,総合学科,571,560,8,3,－,－,－
総数（国・公・私立）,男,全日制,総数,33219,33073,123,19,2,2,－
総数（国・公・私立）,男,全日制,普通（普通）,31231,31109,103,15,2,2,－
総数（国・公・私立）,男,全日制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,農業,86,80,4,2,－,－,－
総数（国・公・私立）,男,全日制,工業,780,771,9,－,－,－,－
総数（国・公・私立）,男,全日制,商業,364,360,3,1,－,－,－
総数（国・公・私立）,男,全日制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,家庭,10,10,－,－,－,－,－
総数（国・公・私立）,男,全日制,看護,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,情報,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,福祉,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,その他,313,309,4,－,－,－,－
総数（国・公・私立）,男,全日制,総合学科,435,434,－,1,－,－,－
総数（国・公・私立）,男,定時制,総数,524,499,15,10,－,－,－
総数（国・公・私立）,男,定時制,普通（普通）,353,341,7,5,－,－,－
総数（国・公・私立）,男,定時制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,農業,4,4,－,－,－,－,－
総数（国・公・私立）,男,定時制,工業,16,14,－,2,－,－,－
総数（国・公・私立）,男,定時制,商業,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,家庭,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,看護,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,情報,15,14,－,1,－,－,－
総数（国・公・私立）,男,定時制,福祉,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,その他,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,総合学科,136,126,8,2,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,総数,36720,35408,1226,45,3,38,－
総数（国・公・私立）,女,総数（全日制・定時制）,普通（普通）,34091,33044,1012,32,3,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,農業,114,92,22,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,工業,208,200,6,2,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,商業,406,362,43,1,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,水産,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,家庭,97,64,33,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,看護,39,1,－,－,－,38,－
総数（国・公・私立）,女,総数（全日制・定時制）,情報,8,8,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,福祉,2,2,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,その他,809,780,25,4,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,総合学科,946,855,85,6,－,－,－
総数（国・公・私立）,女,全日制,総数,36328,35053,1197,37,3,38,－
総数（国・公・私立）,女,全日制,普通（普通）,33874,32841,1000,30,3,－,－
総数（国・公・私立）,女,全日制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,農業,108,88,20,－,－,－,－
総数（国・公・私立）,女,全日制,工業,198,191,5,2,－,－,－
総数（国・公・私立）,女,全日制,商業,406,362,43,1,－,－,－
総数（国・公・私立）,女,全日制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,家庭,97,64,33,－,－,－,－
総数（国・公・私立）,女,全日制,看護,39,1,－,－,－,38,－
総数（国・公・私立）,女,全日制,情報,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,福祉,2,2,－,－,－,－,－
総数（国・公・私立）,女,全日制,その他,809,780,25,4,－,－,－
総数（国・公・私立）,女,全日制,総合学科,795,724,71,－,－,－,－
総数（国・公・私立）,女,定時制,総数,392,355,29,8,－,－,－
総数（国・公・私立）,女,定時制,普通（普通）,217,203,12,2,－,－,－
総数（国・公・私立）,女,定時制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,農業,6,4,2,－,－,－,－
総数（国・公・私立）,女,定時制,工業,10,9,1,－,－,－,－
総数（国・公・私立）,女,定時制,商業,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,家庭,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,看護,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,情報,8,8,－,－,－,－,－
総数（国・公・私立）,女,定時制,福祉,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,その他,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,総合学科,151,131,14,6,－,－,－
,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,
１５－５　卒業後の状況調査（高等学校  全日制・定時制）　学科、課程別大学等進学者数,,,,,,,,,,
