種別,地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／校長／男（人）,教員数（本務者）／校長／女（人）,教員数（本務者）／副校長／男（人）,教員数（本務者）／副校長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹教諭／男（人）,教員数（本務者）／主幹教諭／女（人）,教員数（本務者）／指導教諭／男（人）,教員数（本務者）／指導教諭／女（人）,教員数（本務者）／教諭／男（人）,教員数（本務者）／教諭／女（人）,教員数（本務者）／助教諭／男（人）,教員数（本務者）／助教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（本務者）／うち市町村費負担の者（人）,教員数（本務者）／うち市町村費負担の者／男（人）,教員数（本務者）／うち市町村費負担の者／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）
総数（国・公・私立）,0,総数,平成30,2018,34568,13608,20960,1015,286,895,432,35,18,1609,1055,59,91,9971,17595,1,－,3,1400,－,－,4,50,16,33,94,37,57,1665,4327
総数（国・公・私立）,0,総数,令和元,2019,35103,13923,21180,990,309,901,421,35,18,1620,1008,66,96,10281,17836,－,－,5,1416,－,－,4,53,21,23,91,31,60,1836,4714
総数（国・公・私立）,0,総数,令和2,2020,35618,14136,21482,980,318,896,434,33,19,1657,1003,70,109,10466,18100,－,－,7,1422,－,－,4,54,23,23,82,30,52,1893,5015
総数（国・公・私立）,0,総数,令和3,2021,36134,14363,21771,975,322,893,435,30,20,1754,1019,76,113,10614,18324,－,－,5,1460,－,－,2,57,14,21,72,27,45,2147,5328
総数（国・公・私立）,0,総数,令和4,2022,36041,14357,21684,981,317,902,440,29,23,1729,978,72,109,10615,18255,2,4,7,1474,－,－,2,63,18,21,72,29,43,2107,5239
総数（国・公・私立）,0,総数,令和5,2023,36462,14558,21904,960,333,911,430,32,19,1773,947,74,111,10782,18449,2,3,6,1518,－,－,－,67,18,27,60,21,39,2181,5557
総数（国・公・私立）,1,区部,令和5,2023,23489,9096,14393,596,240,566,296,22,13,1081,669,43,70,6776,12075,2,3,4,977,－,－,－,43,6,7,60,21,39,922,2907
総数（国・公・私立）,2,千代田区,令和5,2023,311,122,189,7,4,7,2,2,1,11,8,1,1,94,160,－,－,－,12,－,－,－,1,－,－,－,－,－,19,54
総数（国・公・私立）,2,中央区,令和5,2023,479,180,299,14,2,12,7,－,－,18,22,1,2,135,244,－,－,－,22,－,－,－,－,－,－,－,－,－,21,73
総数（国・公・私立）,2,港区,令和5,2023,637,241,396,13,4,16,8,－,2,21,21,4,2,186,334,－,－,1,24,－,－,－,1,－,－,－,－,－,59,95
総数（国・公・私立）,2,新宿区,令和5,2023,691,286,405,23,7,19,10,1,－,30,28,2,2,211,325,－,－,－,31,－,－,－,2,－,－,－,－,－,28,96
総数（国・公・私立）,2,文京区,令和5,2023,714,311,403,14,8,17,6,1,－,29,19,4,2,246,336,－,－,－,28,－,－,－,4,－,－,－,－,－,26,129
総数（国・公・私立）,2,台東区,令和5,2023,431,162,269,15,4,16,3,－,－,30,11,－,7,101,222,－,－,－,20,－,－,－,2,－,－,－,－,－,21,92
総数（国・公・私立）,2,墨田区,令和5,2023,670,249,421,19,6,14,11,－,－,31,22,1,2,184,351,－,－,－,28,－,－,－,1,－,－,－,－,－,9,63
総数（国・公・私立）,2,江東区,令和5,2023,1326,470,856,30,15,32,16,－,－,60,32,1,2,347,730,－,－,－,59,－,－,－,2,－,－,－,－,－,16,79
総数（国・公・私立）,2,品川区,令和5,2023,837,320,517,24,8,24,11,－,－,28,35,－,1,241,420,－,2,－,35,－,－,－,3,3,2,9,5,4,19,64
総数（国・公・私立）,2,目黒区,令和5,2023,669,241,428,14,10,10,13,2,－,25,21,2,1,188,353,－,－,－,28,－,－,－,2,－,－,－,－,－,30,116
総数（国・公・私立）,2,大田区,令和5,2023,1683,654,1029,40,21,41,19,2,－,71,51,3,7,496,858,－,－,－,67,－,－,－,1,1,5,－,－,－,29,92
総数（国・公・私立）,2,世田谷区,令和5,2023,2272,877,1395,50,19,46,28,4,4,91,53,3,4,681,1188,－,－,1,93,－,－,－,6,1,－,－,－,－,45,203
総数（国・公・私立）,2,渋谷区,令和5,2023,574,232,342,14,6,5,15,2,1,24,17,2,4,184,276,－,1,－,21,－,－,－,1,1,－,－,－,－,28,108
総数（国・公・私立）,2,中野区,令和5,2023,644,262,382,19,4,13,9,3,1,27,18,2,3,196,319,2,－,－,27,－,－,－,1,－,－,－,－,－,37,87
総数（国・公・私立）,2,杉並区,令和5,2023,1277,437,840,25,15,33,12,－,3,52,44,2,5,325,712,－,－,－,49,－,－,－,－,－,－,51,16,35,58,192
総数（国・公・私立）,2,豊島区,令和5,2023,615,244,371,17,7,16,7,2,－,29,21,－,5,180,303,－,－,－,26,－,－,－,2,－,－,－,－,－,18,68
総数（国・公・私立）,2,北区,令和5,2023,946,340,606,23,13,21,13,1,1,50,26,2,－,243,513,－,－,－,39,－,－,－,1,－,－,－,－,－,17,85
総数（国・公・私立）,2,荒川区,令和5,2023,566,207,359,14,10,15,9,－,－,29,21,2,3,147,287,－,－,－,27,－,－,－,2,－,－,－,－,－,53,115
総数（国・公・私立）,2,板橋区,令和5,2023,1348,554,794,34,18,36,17,1,－,71,36,2,5,410,656,－,－,－,59,－,－,－,3,－,－,－,－,－,108,255
総数（国・公・私立）,2,練馬区,令和5,2023,1867,723,1144,52,13,46,21,1,－,107,32,3,2,512,998,－,－,2,74,－,－,－,4,－,－,－,－,－,132,401
総数（国・公・私立）,2,足立区,令和5,2023,1832,763,1069,55,11,45,24,－,－,93,44,2,1,568,911,－,－,－,76,－,－,－,2,－,－,－,－,－,4,16
総数（国・公・私立）,2,葛飾区,令和5,2023,1233,477,756,36,13,34,15,－,－,54,45,1,5,352,627,－,－,－,50,－,－,－,1,－,－,－,－,－,8,74
総数（国・公・私立）,2,江戸川区,令和5,2023,1867,744,1123,44,22,48,20,－,－,100,42,3,4,549,952,－,－,－,82,－,－,－,1,－,－,－,－,－,137,350
総数（国・公・私立）,1,市部,令和5,2023,12547,5240,7307,343,90,321,132,10,6,648,266,31,41,3873,6215,－,－,2,513,－,－,－,24,12,20,－,－,－,1236,2613
総数（国・公・私立）,2,八王子市,令和5,2023,1639,697,942,55,10,53,19,－,－,101,44,3,3,485,787,－,－,－,79,－,－,－,－,－,－,－,－,－,67,220
総数（国・公・私立）,2,立川市,令和5,2023,536,215,321,17,3,14,7,－,－,28,14,4,2,151,272,－,－,1,22,－,－,－,1,－,－,－,－,－,70,110
総数（国・公・私立）,2,武蔵野市,令和5,2023,466,211,255,11,4,8,5,4,－,18,11,4,1,165,218,－,－,1,16,－,－,－,－,－,－,－,－,－,28,80
総数（国・公・私立）,2,三鷹市,令和5,2023,529,219,310,12,4,12,6,－,－,27,5,－,1,168,273,－,－,－,21,－,－,－,－,－,－,－,－,－,492,677
総数（国・公・私立）,2,青梅市,令和5,2023,388,189,199,14,2,12,5,－,－,25,8,－,3,138,164,－,－,－,17,－,－,－,－,－,－,－,－,－,45,90
総数（国・公・私立）,2,府中市,令和5,2023,764,303,461,18,6,21,5,－,1,34,12,－,3,229,400,－,－,－,28,－,－,－,1,1,5,－,－,－,27,133
総数（国・公・私立）,2,昭島市,令和5,2023,372,169,203,13,1,12,1,1,－,18,8,1,－,122,174,－,－,－,15,－,－,－,1,2,3,－,－,－,19,56
総数（国・公・私立）,2,調布市,令和5,2023,683,270,413,16,6,13,8,－,1,27,16,1,2,213,353,－,－,－,25,－,－,－,1,－,1,－,－,－,19,79
総数（国・公・私立）,2,町田市,令和5,2023,1323,543,780,31,11,34,12,1,－,70,19,－,5,407,674,－,－,－,54,－,－,－,4,－,1,－,－,－,123,165
総数（国・公・私立）,2,小金井市,令和5,2023,338,144,194,7,2,7,3,－,－,18,7,－,1,112,167,－,－,－,12,－,－,－,2,－,－,－,－,－,9,34
総数（国・公・私立）,2,小平市,令和5,2023,627,272,355,16,4,12,8,2,－,31,13,1,3,209,299,－,－,－,23,－,－,－,3,1,2,－,－,－,68,174
総数（国・公・私立）,2,日野市,令和5,2023,550,221,329,13,4,11,6,－,－,23,14,1,2,173,279,－,－,－,23,－,－,－,1,－,－,－,－,－,29,92
総数（国・公・私立）,2,東村山市,令和5,2023,398,154,244,12,3,9,6,－,－,26,5,2,3,105,210,－,－,－,17,－,－,－,－,－,－,－,－,－,23,58
総数（国・公・私立）,2,国分寺市,令和5,2023,368,150,218,8,3,6,7,1,－,16,7,2,2,116,182,－,－,－,13,－,－,－,－,1,4,－,－,－,7,43
総数（国・公・私立）,2,国立市,令和5,2023,316,138,178,8,2,7,2,－,2,14,4,2,－,102,157,－,－,－,11,－,－,－,－,5,－,－,－,－,8,44
総数（国・公・私立）,2,福生市,令和5,2023,167,76,91,5,2,7,－,－,－,11,4,－,1,53,75,－,－,－,8,－,－,－,1,－,－,－,－,－,17,42
総数（国・公・私立）,2,狛江市,令和5,2023,215,89,126,5,1,6,1,－,－,13,2,2,1,63,112,－,－,－,8,－,－,－,1,－,－,－,－,－,15,31
総数（国・公・私立）,2,東大和市,令和5,2023,251,100,151,7,3,8,2,－,－,13,6,－,1,72,128,－,－,－,11,－,－,－,－,－,－,－,－,－,10,39
総数（国・公・私立）,2,清瀬市,令和5,2023,247,100,147,6,3,7,2,－,1,13,7,1,－,73,121,－,－,－,11,－,－,－,2,－,－,－,－,－,14,33
総数（国・公・私立）,2,東久留米市,令和5,2023,358,145,213,8,5,7,5,－,1,16,10,－,1,114,174,－,－,－,14,－,－,－,1,－,2,－,－,－,10,40
