種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,修了者数（人）,修了者数／高等学校等進学者（Ａ）（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／全日制（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／定時制（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／通信制（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科／全日制（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科／定時制（人）,修了者数／高等学校等進学者（Ａ）／高等学校別科（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程別科（人）,修了者数／高等学校等進学者（Ａ）／高等専門学校（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部／本科（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部／別科（人）,修了者数／専修学校（高等課程）進学者（Ｂ）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）／専修学校（一般課程）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）／各種学校（人）,修了者数／公共職業能力開発施設等入学者（Ｄ）（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／自営業主等（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／常用雇用者／無期雇用労働者（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／常用雇用者／有期雇用労働者（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／臨時労働者（人）,修了者数／就職者（人）,修了者数／左記以外の者（人）,修了者数／不詳・死亡（人）,左記Ａのうち他県への進学者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ａのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｂのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｃのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｄのうち（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,高等学校等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数（男・女）,0,総数,平成30,2018,3月,1196,1193,13,6,3,4,1179,1179,－,－,－,1,－,－,－,－,－,－,－,－,…,…,…,…,－,3,－,2,－,－,－,－,－,…,99.7,－,－
総数（国・公・私立）,総数（男・女）,0,総数,令和元,2019,3月,1194,1192,25,10,6,9,1166,1166,－,－,－,1,－,－,－,1,－,－,－,－,…,…,…,…,－,1,－,2,－,－,－,－,－,…,99.8,－,－
総数（国・公・私立）,総数（男・女）,0,総数,令和2,2020,3月,1201,1200,20,14,1,5,1180,1180,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,4,－,－,－,－,－,－,99.9,－,－
総数（国・公・私立）,総数（男・女）,0,総数,令和3,2021,3月,1194,1192,21,9,1,11,1171,1171,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,2,－,9,－,－,－,－,－,－,99.8,－,－
総数（国・公・私立）,総数（男・女）,0,総数,令和4,2022,3月,1188,1186,29,9,2,18,1157,1157,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,2,－,7,－,－,－,－,－,－,99.8,－,－
総数（国・公・私立）,総数（男・女）,0,総数,令和5,2023,3月,1193,1189,34,10,7,17,1155,1155,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,4,－,11,－,－,－,－,－,－,99.7,－,－
国立,総数（男・女）,0,総数,令和5,2023,3月,241,238,9,5,1,3,229,229,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,3,－,2,－,－,－,－,－,－,98.8,－,－
国立,総数（男・女）,1,中野区,令和5,2023,3月,118,118,4,2,－,2,114,114,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
国立,総数（男・女）,1,練馬区,令和5,2023,3月,123,120,5,3,1,1,115,115,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,3,－,1,－,－,－,－,－,－,97.6,－,－
公立,総数（男・女）,0,総数,令和5,2023,3月,952,951,25,5,6,14,926,926,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,9,－,－,－,－,－,－,99.9,－,－
公立,総数（男・女）,1,千代田区,令和5,2023,3月,159,158,7,－,4,3,151,151,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,2,－,－,－,－,－,－,99.4,－,－
公立,総数（男・女）,1,文京区,令和5,2023,3月,160,160,2,－,－,2,158,158,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,1,目黒区,令和5,2023,3月,156,156,1,－,－,1,155,155,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,1,八王子市,令和5,2023,3月,160,160,4,1,1,2,156,156,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,2,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,1,立川市,令和5,2023,3月,158,158,7,4,1,2,151,151,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,4,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,1,三鷹市,令和5,2023,3月,159,159,4,－,－,4,155,155,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
私立,総数（男・女）,0,総数,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,0,総数,平成30,2018,3月,574,572,5,3,－,2,566,566,－,－,－,1,－,－,－,－,－,－,－,－,…,…,…,…,－,2,－,2,－,－,－,－,－,…,99.7,－,－
総数（国・公・私立）,男,0,総数,令和元,2019,3月,603,602,11,5,2,4,591,591,－,－,－,－,－,－,－,－,－,－,－,－,…,…,…,…,－,1,－,－,－,－,－,－,－,…,99.8,－,－
総数（国・公・私立）,男,0,総数,令和2,2020,3月,580,579,9,5,1,3,570,570,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,2,－,－,－,－,－,－,99.8,－,－
総数（国・公・私立）,男,0,総数,令和3,2021,3月,565,565,12,4,1,7,553,553,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,4,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,男,0,総数,令和4,2022,3月,551,550,15,6,－,9,535,535,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,4,－,－,－,－,－,－,99.8,－,－
総数（国・公・私立）,男,0,総数,令和5,2023,3月,559,558,15,4,4,7,543,543,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,4,－,－,－,－,－,－,99.8,－,－
国立,男,0,総数,令和5,2023,3月,96,95,5,2,1,2,90,90,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,1,－,－,－,－,－,－,99,－,－
国立,男,1,中野区,令和5,2023,3月,58,58,2,1,－,1,56,56,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
国立,男,1,練馬区,令和5,2023,3月,38,37,3,1,1,1,34,34,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,1,－,－,－,－,－,－,97.4,－,－
公立,男,0,総数,令和5,2023,3月,463,463,10,2,3,5,453,453,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,3,－,－,－,－,－,－,100,－,－
公立,男,1,千代田区,令和5,2023,3月,80,80,3,－,2,1,77,77,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
公立,男,1,文京区,令和5,2023,3月,81,81,1,－,－,1,80,80,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,男,1,目黒区,令和5,2023,3月,71,71,－,－,－,－,71,71,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,男,1,八王子市,令和5,2023,3月,78,78,1,1,－,－,77,77,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,男,1,立川市,令和5,2023,3月,76,76,4,1,1,2,72,72,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,2,－,－,－,－,－,－,100,－,－
公立,男,1,三鷹市,令和5,2023,3月,77,77,1,－,－,1,76,76,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
私立,男,0,総数,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,0,総数,平成30,2018,3月,622,621,8,3,3,2,613,613,－,－,－,－,－,－,－,－,－,－,－,－,…,…,…,…,－,1,－,－,－,－,－,－,－,…,99.8,－,－
総数（国・公・私立）,女,0,総数,令和元,2019,3月,591,590,14,5,4,5,575,575,－,－,－,1,－,－,－,1,－,－,－,－,…,…,…,…,－,－,－,2,－,－,－,－,－,…,99.8,－,－
総数（国・公・私立）,女,0,総数,令和2,2020,3月,621,621,11,9,－,2,610,610,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,2,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,女,0,総数,令和3,2021,3月,629,627,9,5,－,4,618,618,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,2,－,5,－,－,－,－,－,－,99.7,－,－
総数（国・公・私立）,女,0,総数,令和4,2022,3月,637,636,14,3,2,9,622,622,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,3,－,－,－,－,－,－,99.8,－,－
総数（国・公・私立）,女,0,総数,令和5,2023,3月,634,631,19,6,3,10,612,612,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,3,－,7,－,－,－,－,－,－,99.5,－,－
