地域階層,地域,和暦（年度）,西暦（年度）,学校数（校）,学校数／全日制（校）,学校数／定時制（校）,学校数／併置（校）,学校数／国立／全日制（校）,学校数／公立（校）,学校数／公立／全日制（校）,学校数／公立／定時制（校）,学校数／公立／併置（校）,学校数／私立（校）,学校数／私立／全日制（校）,学校数／私立／定時制（校）,学校数／私立／併置（校）,分校（再掲）（校）,分校（再掲）／全日制（校）,分校（再掲）／定時制（校）,分校（再掲）／併置（校）,分校（再掲）／国立／全日制（校）,分校（再掲）／公立（校）,分校（再掲）／公立／全日制（校）,分校（再掲）／公立／定時制（校）,分校（再掲）／公立／併置（校）,分校（再掲）／私立（校）,分校（再掲）／私立／全日制（校）,分校（再掲）／私立／定時制（校）,分校（再掲）／私立／併置（校）,中高一貫教育を行う学校（再掲）／併設型（校）,中高一貫教育を行う学校（再掲）／併設型／国立（校）,中高一貫教育を行う学校（再掲）／併設型／公立（校）,中高一貫教育を行う学校（再掲）／併設型／私立（校）,中高一貫教育を行う学校（再掲）／連携型（校）,中高一貫教育を行う学校（再掲）／連携型／国立（校）,中高一貫教育を行う学校（再掲）／連携型／公立（校）,中高一貫教育を行う学校（再掲）／連携型／私立（校）,公立の学級数／全日制（学級）,公立の学級数／定時制（学級）
0,総数,平成30,2018,429,355,15,59,6,186,131,13,42,237,218,2,17,－,－,－,－,－,－,－,－,－,－,－,－,－,128,－,5,123,6,－,6,－,3296,566
0,総数,令和元,2019,429,355,15,59,6,186,131,13,42,237,218,2,17,－,－,－,－,－,－,－,－,－,－,－,－,－,131,－,5,126,6,－,6,－,3275,549
0,総数,令和2,2020,428,354,15,59,6,185,130,13,42,237,218,2,17,－,－,－,－,－,－,－,－,－,－,－,－,－,131,－,5,126,6,－,6,－,3223,544
0,総数,令和3,2021,429,356,15,58,6,186,132,13,41,237,218,2,17,－,－,－,－,－,－,－,－,－,－,－,－,－,134,－,5,129,6,－,6,－,3154,538
0,総数,令和4,2022,429,357,16,56,6,186,133,14,39,237,218,2,17,－,－,－,－,－,－,－,－,－,－,－,－,－,138,－,5,133,6,－,6,－,3119,544
0,総数,令和5,2023,429,357,16,56,6,186,133,14,39,237,218,2,17,－,－,－,－,－,－,－,－,－,－,－,－,－,138,－,5,133,6,－,6,－,3135,546
1,区部,令和5,2023,307,250,13,44,6,115,77,11,27,186,167,2,17,－,－,－,－,－,－,－,－,－,－,－,－,－,108,－,4,104,3,－,3,－,1906,408
2,千代田区,令和5,2023,18,16,1,1,－,2,1,1,－,16,15,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,9,－,－,9,－,－,－,－,24,32
2,中央区,令和5,2023,2,2,－,－,－,1,1,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,21,－
2,港区,令和5,2023,18,17,1,－,1,3,2,1,－,14,14,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,10,－,－,10,1,－,1,－,37,24
2,新宿区,令和5,2023,11,10,1,－,－,4,3,1,－,7,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,4,－,－,4,－,－,－,－,60,24
2,文京区,令和5,2023,25,23,1,1,2,3,2,－,1,20,19,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,12,－,－,12,－,－,－,－,56,16
2,台東区,令和5,2023,8,6,1,1,1,5,3,1,1,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,1,1,1,－,1,－,73,36
2,墨田区,令和5,2023,7,6,－,1,－,5,4,－,1,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,1,2,－,－,－,－,90,4
2,江東区,令和5,2023,12,8,1,3,－,8,5,1,2,4,3,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,－,3,－,－,－,－,130,32
2,品川区,令和5,2023,12,6,－,6,－,3,1,－,2,9,5,－,4,－,－,－,－,－,－,－,－,－,－,－,－,－,4,－,－,4,－,－,－,－,63,8
2,目黒区,令和5,2023,10,10,－,－,－,3,3,－,－,7,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,－,3,－,－,－,－,61,－
2,大田区,令和5,2023,14,11,－,3,－,8,6,－,2,6,5,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,129,12
2,世田谷区,令和5,2023,38,30,2,6,2,9,4,1,4,27,24,1,2,－,－,－,－,－,－,－,－,－,－,－,－,－,14,－,－,14,－,－,－,－,140,40
2,渋谷区,令和5,2023,10,10,－,－,－,3,3,－,－,7,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,－,3,1,－,1,－,55,－
2,中野区,令和5,2023,12,9,1,2,－,5,3,1,1,7,6,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,4,－,1,3,－,－,－,－,66,36
2,杉並区,令和5,2023,19,16,1,2,－,7,5,1,1,12,11,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,6,－,－,6,－,－,－,－,113,36
2,豊島区,令和5,2023,17,14,－,3,－,3,2,－,1,14,12,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,6,－,－,6,－,－,－,－,67,4
2,北区,令和5,2023,15,11,1,3,－,4,2,1,1,11,9,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,10,－,－,10,－,－,－,－,51,31
2,荒川区,令和5,2023,4,3,－,1,－,2,1,－,1,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,30,4
2,板橋区,令和5,2023,12,9,－,3,－,6,3,－,3,6,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,5,－,－,5,－,－,－,－,114,12
2,練馬区,令和5,2023,14,13,－,1,－,9,9,－,－,5,4,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,4,－,1,3,－,－,－,－,151,－
2,足立区,令和5,2023,11,9,1,1,－,9,7,1,1,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,140,25
2,葛飾区,令和5,2023,8,3,1,4,－,6,2,1,3,2,1,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,86,22
2,江戸川区,令和5,2023,10,8,－,2,－,7,5,－,2,3,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,2,－,－,－,－,149,10
1,市部,令和5,2023,114,102,3,9,－,63,51,3,9,51,51,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,30,－,1,29,1,－,1,－,1175,126
2,八王子市,令和5,2023,18,17,1,－,－,8,7,1,－,10,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,7,－,－,7,－,－,－,－,146,40
2,立川市,令和5,2023,4,2,1,1,－,2,－,1,1,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,24,28
2,武蔵野市,令和5,2023,6,6,－,－,－,2,2,－,－,4,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,5,－,1,4,－,－,－,－,27,－
2,三鷹市,令和5,2023,3,3,－,－,－,－,－,－,－,3,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,青梅市,令和5,2023,2,1,－,1,－,2,1,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,33,12
2,府中市,令和5,2023,6,5,－,1,－,5,4,－,1,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,98,8
2,昭島市,令和5,2023,3,3,－,－,－,2,2,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,44,－
2,調布市,令和5,2023,7,6,－,1,－,3,2,－,1,4,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,2,－,－,－,－,58,4
2,町田市,令和5,2023,12,11,－,1,－,7,6,－,1,5,5,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,－,3,－,－,－,－,130,6
2,小金井市,令和5,2023,6,5,1,－,－,3,2,1,－,3,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,36,8
2,小平市,令和5,2023,6,6,－,－,－,3,3,－,－,3,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,63,－
2,日野市,令和5,2023,3,3,－,－,－,3,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,72,－
2,東村山市,令和5,2023,5,5,－,－,－,2,2,－,－,3,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,32,－
