種別,地域階層,地域,都内の高校から他県への就職者総数（人）,都内の高校から他県への就職者総数／男（人）,都内の高校から他県への就職者総数／女（人）,他県の高校から都内への就職者総数（人）,他県の高校から都内への就職者総数／男（人）,他県の高校から都内への就職者総数／女（人）
総数（国・公・私立）,0,総数,597,478,119,6549,4216,2333
総数（国・公・私立）,1,北海道,12,10,2,130,102,28
総数（国・公・私立）,1,青森,－,－,－,323,202,121
総数（国・公・私立）,1,岩手,－,－,－,218,133,85
総数（国・公・私立）,1,宮城,3,3,－,279,181,98
総数（国・公・私立）,1,秋田,1,1,－,157,95,62
総数（国・公・私立）,1,山形,－,－,－,134,93,41
総数（国・公・私立）,1,福島,－,－,－,178,111,67
総数（国・公・私立）,1,茨城,7,6,1,212,129,83
総数（国・公・私立）,1,栃木,7,4,3,146,109,37
総数（国・公・私立）,1,群馬,14,13,1,146,105,41
総数（国・公・私立）,1,埼玉,136,109,27,1179,644,535
総数（国・公・私立）,1,千葉,112,85,27,562,313,249
総数（国・公・私立）,1,神奈川,214,176,38,598,378,220
総数（国・公・私立）,1,新潟,2,1,1,72,40,32
総数（国・公・私立）,1,富山,1,1,－,28,21,7
総数（国・公・私立）,1,石川,1,1,－,14,11,3
総数（国・公・私立）,1,福井,1,1,－,13,8,5
総数（国・公・私立）,1,山梨,2,2,－,61,47,14
総数（国・公・私立）,1,長野,3,3,－,78,54,24
総数（国・公・私立）,1,岐阜,2,2,－,69,42,27
総数（国・公・私立）,1,静岡,6,3,3,119,85,34
総数（国・公・私立）,1,愛知,20,17,3,83,54,29
総数（国・公・私立）,1,三重,1,－,1,17,13,4
総数（国・公・私立）,1,滋賀,4,1,3,5,5,－
総数（国・公・私立）,1,京都,3,2,1,13,8,5
総数（国・公・私立）,1,大阪,22,17,5,117,93,24
総数（国・公・私立）,1,兵庫,2,1,1,107,77,30
総数（国・公・私立）,1,奈良,－,－,－,19,17,2
総数（国・公・私立）,1,和歌山,－,－,－,9,6,3
総数（国・公・私立）,1,鳥取,－,－,－,7,3,4
総数（国・公・私立）,1,島根,－,－,－,22,16,6
総数（国・公・私立）,1,岡山,－,－,－,79,58,21
総数（国・公・私立）,1,広島,4,4,－,60,47,13
総数（国・公・私立）,1,山口,3,3,－,39,25,14
総数（国・公・私立）,1,徳島,2,2,－,20,12,8
総数（国・公・私立）,1,香川,4,4,－,27,19,8
総数（国・公・私立）,1,愛媛,－,－,－,62,45,17
総数（国・公・私立）,1,高知,－,－,－,23,15,8
総数（国・公・私立）,1,福岡,3,2,1,208,164,44
総数（国・公・私立）,1,佐賀,－,－,－,76,57,19
総数（国・公・私立）,1,長崎,1,－,1,115,75,40
総数（国・公・私立）,1,熊本,－,－,－,199,127,72
総数（国・公・私立）,1,大分,－,－,－,46,25,21
総数（国・公・私立）,1,宮崎,－,－,－,129,80,49
総数（国・公・私立）,1,鹿児島,3,3,－,198,142,56
総数（国・公・私立）,1,沖縄,1,1,－,153,130,23
総数（国・公・私立）,1,その他,－,－,－,－,－,－
,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,
１５－８　卒業後の状況調査（高等学校  全日制・定時制）　都内から他県へ及び他県から都内への就職者総数,,,,,,,,
注１）進学しながら就職している者及び専修学校等へ入学しながら就職している者を含む。,,,,,,,,
注２）「その他」とは、国外勤務者及び就職先が不詳の者である。,,,,,,,,
注３）他県の高校から都内への就職者数は、文部科学省公表の令和５年度学校基本調査の結果による。,,,,,,,,
地域階層（0:総数　1:都道府県・その他）,,,,,,,,
