種別,地域階層,地域,和暦（年度）,西暦（年度）,在学者数（人）,在学者数／幼稚部（人）,在学者数／小学部（人）,在学者数／中学部（人）,在学者数／高等部／本科（人）,在学者数／高等部／専攻科（人）,在学者数／高等部／別科（人）,在学者数／男（人）,在学者数／男／幼稚部（人）,在学者数／男／小学部（人）,在学者数／男／中学部（人）,在学者数／男／高等部／本科（人）,在学者数／男／高等部／専攻科（人）,在学者数／男／高等部／別科（人）,在学者数／女（人）,在学者数／女／幼稚部（人）,在学者数／女／小学部（人）,在学者数／女／中学部（人）,在学者数／女／高等部／本科（人）,在学者数／女／高等部／専攻科（人）,在学者数／女／高等部／別科（人）
総数（国・公・私立）,0,総数,平成30,2018,13386,195,4698,2442,5901,150,－,8695,96,3107,1528,3872,92,－,4691,99,1591,914,2029,58,－
総数（国・公・私立）,0,総数,令和元,2019,13464,210,4916,2541,5660,137,－,8740,105,3249,1614,3686,86,－,4724,105,1667,927,1974,51,－
総数（国・公・私立）,0,総数,令和2,2020,13519,200,5123,2610,5463,123,－,8804,105,3421,1656,3546,76,－,4715,95,1702,954,1917,47,－
総数（国・公・私立）,0,総数,令和3,2021,13713,193,5299,2756,5340,125,－,8966,101,3532,1776,3484,73,－,4747,92,1767,980,1856,52,－
総数（国・公・私立）,0,総数,令和4,2022,14160,173,5524,2875,5462,126,－,9371,91,3722,1878,3609,71,－,4789,82,1802,997,1853,55,－
総数（国・公・私立）,0,総数,令和5,2023,14633,156,5756,3012,5591,118,－,9673,94,3860,1945,3704,70,－,4960,62,1896,1067,1887,48,－
総数（国・公・私立）,1,区部,令和5,2023,9229,121,3877,1810,3322,99,－,6082,70,2593,1172,2189,58,－,3147,51,1284,638,1133,41,－
総数（国・公・私立）,2,千代田区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,中央区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,港区,令和5,2023,424,2,129,52,241,－,－,294,2,84,40,168,－,－,130,－,45,12,73,－,－
総数（国・公・私立）,2,新宿区,令和5,2023,35,－,23,12,－,－,－,18,－,12,6,－,－,－,17,－,11,6,－,－,－
総数（国・公・私立）,2,文京区,令和5,2023,282,16,54,53,108,51,－,164,11,29,30,63,31,－,118,5,25,23,45,20,－
総数（国・公・私立）,2,台東区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
