種別,区分,生徒数（人）,生徒数／男（人）,生徒数／女（人）,生徒数／全日制（人）,生徒数／全日制／男（人）,生徒数／全日制／女（人）,生徒数／全日制／１学年（人）,生徒数／全日制／２学年（人）,生徒数／全日制／３学年（人）,生徒数／定時制（人）,生徒数／定時制／男（人）,生徒数／定時制／女（人）,生徒数／定時制／１学年（人）,生徒数／定時制／２学年（人）,生徒数／定時制／３学年（人）,生徒数／定時制／４学年（人）
総数（国・公・私立）,総数,299792,150117,149675,289053,144323,144730,100962,96386,91705,10739,5794,4945,3382,3129,2770,1458
総数（国・公・私立）,普通（普通）,264944,132181,132763,259212,128872,130340,90436,86620,82156,5732,3309,2423,1880,1681,1548,623
総数（国・公・私立）,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,農業,1995,945,1050,1839,843,996,656,605,578,156,102,54,46,34,42,34
総数（国・公・私立）,工業,9927,8378,1549,9405,8036,1369,3251,3029,3125,522,342,180,132,129,141,120
総数（国・公・私立）,商業,5620,2312,3308,5506,2238,3268,2003,1778,1725,114,74,40,37,26,27,24
総数（国・公・私立）,水産,116,90,26,116,90,26,49,67,－,－,－,－,－,－,－,－
総数（国・公・私立）,家庭,1111,179,932,1111,179,932,440,329,342,－,－,－,－,－,－,－
総数（国・公・私立）,看護,112,－,112,112,－,112,37,40,35,－,－,－,－,－,－,－
総数（国・公・私立）,情報,257,158,99,－,－,－,－,－,－,257,158,99,74,69,65,49
総数（国・公・私立）,福祉,158,33,125,158,33,125,52,45,61,－,－,－,－,－,－,－
総数（国・公・私立）,その他,4889,1562,3327,4833,1525,3308,1661,1588,1584,56,37,19,17,13,19,7
総数（国・公・私立）,総合,10663,4279,6384,6761,2507,4254,2377,2285,2099,3902,1772,2130,1196,1177,928,601
国立,総数,3183,1761,1422,3183,1761,1422,1070,1099,1014,－,－,－,－,－,－,－
国立,普通（普通）,2514,1304,1210,2514,1304,1210,830,863,821,－,－,－,－,－,－,－
国立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,農業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,工業,559,430,129,559,430,129,203,198,158,－,－,－,－,－,－,－
国立,商業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,家庭,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,情報,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,福祉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
国立,その他,110,27,83,110,27,83,37,38,35,－,－,－,－,－,－,－
国立,総合,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,総数,123957,62367,61590,114311,57395,56916,40268,37875,36168,9646,4972,4674,3010,2753,2425,1458
公立,普通（普通）,94538,47277,47261,89899,44790,45109,31578,29881,28440,4639,2487,2152,1508,1305,1203,623
公立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,農業,1995,945,1050,1839,843,996,656,605,578,156,102,54,46,34,42,34
公立,工業,7902,6517,1385,7380,6175,1205,2566,2392,2422,522,342,180,132,129,141,120
公立,商業,4648,1903,2745,4534,1829,2705,1685,1472,1377,114,74,40,37,26,27,24
公立,水産,116,90,26,116,90,26,49,67,－,－,－,－,－,－,－,－
公立,家庭,945,133,812,945,133,812,382,268,295,－,－,－,－,－,－,－
公立,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,情報,257,158,99,－,－,－,－,－,－,257,158,99,74,69,65,49
公立,福祉,158,33,125,158,33,125,52,45,61,－,－,－,－,－,－,－
公立,その他,2735,1032,1703,2679,995,1684,923,860,896,56,37,19,17,13,19,7
公立,総合,10663,4279,6384,6761,2507,4254,2377,2285,2099,3902,1772,2130,1196,1177,928,601
私立,総数,172652,85989,86663,171559,85167,86392,59624,57412,54523,1093,822,271,372,376,345,－
私立,普通（普通）,167892,83600,84292,166799,82778,84021,58028,55876,52895,1093,822,271,372,376,345,－
私立,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,農業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,工業,1466,1431,35,1466,1431,35,482,439,545,－,－,－,－,－,－,－
私立,商業,972,409,563,972,409,563,318,306,348,－,－,－,－,－,－,－
私立,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,家庭,166,46,120,166,46,120,58,61,47,－,－,－,－,－,－,－
私立,看護,112,－,112,112,－,112,37,40,35,－,－,－,－,－,－,－
私立,情報,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,福祉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,その他,2044,503,1541,2044,503,1541,701,690,653,－,－,－,－,－,－,－
私立,総合,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,
７－６　高等学校（全日制・定時制）　設置者、課程、学科、学年別生徒数（本科）,,,,,,,,,,,,,,,,,
