種別,地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／校長／男（人）,教員数（本務者）／校長／女（人）,教員数（本務者）／副校長／男（人）,教員数（本務者）／副校長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹教諭／男（人）,教員数（本務者）／主幹教諭／女（人）,教員数（本務者）／指導教諭／男（人）,教員数（本務者）／指導教諭／女（人）,教員数（本務者）／教諭／男（人）,教員数（本務者）／教諭／女（人）,教員数（本務者）／助教諭／男（人）,教員数（本務者）／助教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）
総数（国・公・私立）,0,総数,平成30,2018,546,341,205,6,1,12,5,－,－,48,17,3,4,272,162,－,－,－,16,－,－,－,－,－,－,70,80
総数（国・公・私立）,0,総数,令和元,2019,528,326,202,6,1,14,3,－,－,38,14,2,4,266,165,－,－,－,15,－,－,－,－,－,－,81,73
総数（国・公・私立）,0,総数,令和2,2020,536,340,196,6,1,16,1,－,－,54,17,1,3,263,159,－,－,－,15,－,－,－,－,－,－,87,69
総数（国・公・私立）,0,総数,令和3,2021,548,351,197,6,1,17,－,－,－,57,18,1,3,270,159,－,－,－,15,－,－,－,1,－,－,88,71
総数（国・公・私立）,0,総数,令和4,2022,546,352,194,5,1,14,3,－,－,56,18,2,3,275,153,－,－,－,15,－,－,－,1,－,－,89,84
総数（国・公・私立）,0,総数,令和5,2023,556,360,196,6,－,13,4,－,－,54,19,3,3,284,153,－,－,－,16,－,－,－,1,－,－,95,83
国立,0,総数,令和5,2023,106,60,46,1,－,3,1,－,－,2,2,－,－,54,39,－,－,－,4,－,－,－,－,－,－,30,19
国立,1,中野区,令和5,2023,41,25,16,－,－,1,1,－,－,1,1,－,－,23,12,－,－,－,2,－,－,－,－,－,－,5,9
国立,1,練馬区,令和5,2023,65,35,30,1,－,2,－,－,－,1,1,－,－,31,27,－,－,－,2,－,－,－,－,－,－,25,10
公立,0,総数,令和5,2023,450,300,150,5,－,10,3,－,－,52,17,3,3,230,114,－,－,－,12,－,－,－,1,－,－,65,64
公立,1,千代田区,令和5,2023,75,52,23,1,－,2,－,－,－,3,2,－,－,46,19,－,－,－,2,－,－,－,－,－,－,9,7
公立,1,文京区,令和5,2023,61,36,25,1,－,2,－,－,－,4,2,－,1,29,20,－,－,－,2,－,－,－,－,－,－,17,14
公立,1,目黒区,令和5,2023,59,34,25,1,－,1,1,－,－,4,2,－,－,28,19,－,－,－,2,－,－,－,1,－,－,8,17
公立,1,八王子市,令和5,2023,109,77,32,1,－,－,2,－,－,30,10,1,－,45,18,－,－,－,2,－,－,－,－,－,－,12,3
公立,1,立川市,令和5,2023,60,39,21,－,－,3,－,－,－,4,－,－,－,32,18,－,－,－,3,－,－,－,－,－,－,15,17
公立,1,三鷹市,令和5,2023,86,62,24,1,－,2,－,－,－,7,1,2,2,50,20,－,－,－,1,－,－,－,－,－,－,4,6
私立,0,総数,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
９－４　中等教育学校　設置者、所在地、職名別教員数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
