地域階層,地域,和暦（年度）,西暦（年度）,学校数（校）,学校数／国立（校）,学校数／公立（校）,学校数／私立（校）,学校数／私立／学校法人立（校）,学校数／私立／準学校法人立（校）,学校数／私立／財団法人立（校）,学校数／私立／社団法人立（校）,学校数／私立／その他の法人立（校）,学校数／私立／個人立（校）,学校数／高等課程を置く学校（校）,学校数／高等課程を置く学校／国立（校）,学校数／高等課程を置く学校／公立（校）,学校数／高等課程を置く学校／私立（校）,学校数／専門課程を置く学校（校）,学校数／専門課程を置く学校／国立（校）,学校数／専門課程を置く学校／公立（校）,学校数／専門課程を置く学校／私立（校）
0,総数,平成30,2018,405,1,8,396,103,236,8,13,19,17,41,－,－,41,360,1,8,351
0,総数,令和元,2019,405,1,8,396,105,237,7,12,18,17,39,－,－,39,362,1,8,353
0,総数,令和2,2020,404,1,8,395,113,229,7,12,18,16,41,－,－,41,359,1,8,350
0,総数,令和3,2021,401,1,8,392,112,230,7,10,18,15,36,－,－,36,357,1,8,348
0,総数,令和4,2022,393,1,8,384,110,226,6,9,18,15,40,－,－,40,352,1,8,343
0,総数,令和5,2023,389,1,8,380,125,209,6,9,17,14,40,－,－,40,347,1,8,338
1,区部,令和5,2023,329,－,3,326,113,175,4,7,16,11,28,－,－,28,298,－,3,295
2,千代田区,令和5,2023,25,－,－,25,9,15,－,－,1,－,1,－,－,1,22,－,－,22
2,中央区,令和5,2023,6,－,－,6,2,2,－,－,－,2,－,－,－,－,4,－,－,4
2,港区,令和5,2023,7,－,－,7,3,3,－,1,－,－,－,－,－,－,6,－,－,6
2,新宿区,令和5,2023,51,－,－,51,12,32,1,－,4,2,4,－,－,4,46,－,－,46
2,文京区,令和5,2023,17,－,－,17,11,4,1,－,－,1,－,－,－,－,16,－,－,16
2,台東区,令和5,2023,8,－,－,8,2,5,－,1,－,－,2,－,－,2,7,－,－,7
2,墨田区,令和5,2023,9,－,－,9,5,4,－,－,－,－,－,－,－,－,9,－,－,9
2,江東区,令和5,2023,5,－,－,5,－,3,1,－,－,1,2,－,－,2,5,－,－,5
2,品川区,令和5,2023,9,－,－,9,2,5,－,－,1,1,－,－,－,－,9,－,－,9
2,目黒区,令和5,2023,4,－,－,4,－,4,－,－,－,－,－,－,－,－,3,－,－,3
2,大田区,令和5,2023,12,－,1,11,2,8,－,－,1,－,2,－,－,2,11,－,1,10
2,世田谷区,令和5,2023,13,－,－,13,4,6,－,2,1,－,2,－,－,2,11,－,－,11
2,渋谷区,令和5,2023,37,－,1,36,10,23,－,－,2,1,2,－,－,2,34,－,1,33
2,中野区,令和5,2023,17,－,－,17,5,11,1,－,－,－,2,－,－,2,16,－,－,16
2,杉並区,令和5,2023,13,－,－,13,7,6,－,－,－,－,1,－,－,1,12,－,－,12
2,豊島区,令和5,2023,38,－,－,38,12,25,－,－,－,1,2,－,－,2,33,－,－,33
2,北区,令和5,2023,6,－,－,6,1,4,－,－,－,1,－,－,－,－,6,－,－,6
2,荒川区,令和5,2023,7,－,－,7,3,2,－,－,1,1,1,－,－,1,6,－,－,6
2,板橋区,令和5,2023,12,－,1,11,5,2,－,1,3,－,1,－,－,1,10,－,1,9
2,練馬区,令和5,2023,3,－,－,3,1,2,－,－,－,－,－,－,－,－,3,－,－,3
2,足立区,令和5,2023,5,－,－,5,2,1,－,－,2,－,－,－,－,－,5,－,－,5
2,葛飾区,令和5,2023,5,－,－,5,1,3,－,1,－,－,1,－,－,1,5,－,－,5
2,江戸川区,令和5,2023,20,－,－,20,14,5,－,1,－,－,5,－,－,5,19,－,－,19
1,市部,令和5,2023,60,1,5,54,12,34,2,2,1,3,12,－,－,12,49,1,5,43
2,八王子市,令和5,2023,9,－,1,8,2,5,1,－,－,－,1,－,－,1,8,－,1,7
2,立川市,令和5,2023,10,－,－,10,5,4,－,－,－,1,2,－,－,2,8,－,－,8
2,武蔵野市,令和5,2023,6,－,－,6,1,5,－,－,－,－,3,－,－,3,5,－,－,5
