種別,和暦（年）,西暦（年）,月,東京都／中学校卒業者／高等学校等進学率（％）,東京都／中学校卒業者／卒業者に占める就職者の割合（％）,東京都／高等学校卒業者／大学等進学率（％）,東京都／高等学校卒業者／卒業者に占める就職者の割合（％）,全国／中学校卒業者／高等学校等進学率（％）,全国／中学校卒業者／卒業者に占める就職者の割合（％）,全国／高等学校卒業者／大学等進学率（％）,全国／高等学校卒業者／卒業者に占める就職者の割合（％）
総数（国・公・私立）,昭和46,1971,3月,95.6,4.6,32.9,39.9,85,13.7,26.8,55.9
総数（国・公・私立）,昭和47,1972,3月,96.3,3.9,35.4,36.9,87.2,11.5,29.2,53
総数（国・公・私立）,昭和48,1973,3月,96.9,3,38.3,34.2,89.4,9.4,31.2,50.4
総数（国・公・私立）,昭和49,1974,3月,96.9,3,38.4,32.1,90.8,7.7,32.2,48
総数（国・公・私立）,昭和50,1975,3月,96.6,3,40,29.3,91.9,5.9,34.2,44.6
総数（国・公・私立）,昭和51,1976,3月,95.9,3.4,40.3,26.4,92.6,5.2,33.9,42.2
総数（国・公・私立）,昭和52,1977,3月,96,3.1,39.3,27.5,93.1,4.8,33.2,42.5
総数（国・公・私立）,昭和53,1978,3月,96.1,2.9,38.3,27.9,93.5,4.4,32.8,42.8
総数（国・公・私立）,昭和54,1979,3月,96.3,2.9,37.1,27.9,94,4,31.9,42.7
総数（国・公・私立）,昭和55,1980,3月,95.9,3.3,36.7,28,94.2,3.9,31.9,42.9
総数（国・公・私立）,昭和56,1981,3月,95.3,3.8,35.8,28.6,94.3,3.9,31.4,43.1
総数（国・公・私立）,昭和57,1982,3月,95.4,3.5,34.6,29,94.3,4,30.9,42.9
総数（国・公・私立）,昭和58,1983,3月,94.9,3.9,33.3,27.7,94,3.9,30.1,41.5
総数（国・公・私立）,昭和59,1984,3月,94.7,3.9,32.6,27,94.1,3.8,29.6,41
総数（国・公・私立）,昭和60,1985,3月,94.1,3.9,34,27.2,94.1,3.7,30.5,41.1
総数（国・公・私立）,昭和61,1986,3月,94.1,3.8,33.1,26,94.2,3.6,30.3,39.5
総数（国・公・私立）,昭和62,1987,3月,94.2,3.3,33.5,24,94.3,3.1,31,36.6
総数（国・公・私立）,昭和63,1988,3月,94.4,3,33.6,23,94.5,3,30.9,35.9
総数（国・公・私立）,平成元,1989,3月,94.5,2.6,33.2,22.6,94.7,2.9,30.7,35.6
総数（国・公・私立）,平成2,1990,3月,94.9,2.2,33.1,21.9,95.1,2.8,30.6,35.2
総数（国・公・私立）,平成3,1991,3月,95.2,1.9,33.5,21.3,95.4,2.6,31.7,34.4
総数（国・公・私立）,平成4,1992,3月,95.7,1.6,34.8,20.2,95.9,2.3,32.7,33.1
総数（国・公・私立）,平成5,1993,3月,96.2,1.3,37.1,17.7,96.2,2,34.5,30.5
総数（国・公・私立）,平成6,1994,3月,97,1.1,39.4,14.7,96.5,1.7,36.1,27.7
総数（国・公・私立）,平成7,1995,3月,96.9,1,41.8,12.8,96.7,1.5,37.6,25.6
総数（国・公・私立）,平成8,1996,3月,96.8,1,43.1,11.4,96.8,1.4,39,24.3
総数（国・公・私立）,平成9,1997,3月,96.9,0.9,45.2,11,96.8,1.4,40.7,23.5
総数（国・公・私立）,平成10,1998,3月,97,0.9,47.1,10.6,96.8,1.3,42.5,22.7
総数（国・公・私立）,平成11,1999,3月,97.1,0.8,50,9.1,96.9,1.1,44.2,20.2
総数（国・公・私立）,平成12,2000,3月,97.3,0.7,51.7,7.7,97,1,45.1,18.6
総数（国・公・私立）,平成13,2001,3月,97.2,0.7,52.6,7.5,96.9,1,45.1,18.4
総数（国・公・私立）,平成14,2002,3月,97,0.7,52.4,7.1,97,0.9,44.9,17.1
総数（国・公・私立）,平成15,2003,3月,97.4,0.6,52.5,6.6,97.3,0.8,44.6,16.6
総数（国・公・私立）,平成16,2004,3月,97.3,0.6,53.5,6.8,97.5,0.7,45.3,16.9
総数（国・公・私立）,平成17,2005,3月,97.5,0.6,56.2,7,97.6,0.7,47.3,17.4
総数（国・公・私立）,平成18,2006,3月,97.7,0.6,59,7,97.7,0.7,49.4,18
総数（国・公・私立）,平成19,2007,3月,97.7,0.6,61.4,7.6,97.7,0.7,51.2,18.5
総数（国・公・私立）,平成20,2008,3月,97.9,0.5,63.8,7.5,97.8,0.7,52.9,19
総数（国・公・私立）,平成21,2009,3月,97.9,0.5,65,6.8,97.9,0.5,53.9,18.2
総数（国・公・私立）,平成22,2010,3月,98,0.4,65.4,5.8,98,0.4,54.3,15.8
総数（国・公・私立）,平成23,2011,3月,98.1,0.4,65.5,5.6,98.2,0.4,53.9,16.3
総数（国・公・私立）,平成24,2012,3月,98.2,0.4,65.7,5.6,98.3,0.4,53.5,16.8
総数（国・公・私立）,平成25,2013,3月,98.3,0.4,65.2,5.9,98.4,0.4,53.2,17
総数（国・公・私立）,平成26,2014,3月,98.4,0.4,66.1,6.2,98.4,0.4,53.8,17.5
総数（国・公・私立）,平成27,2015,3月,98.5,0.3,66.8,6.6,98.5,0.4,54.5,17.8
総数（国・公・私立）,平成28,2016,3月,98.8,0.2,66.5,6.8,98.7,0.3,54.7,17.9
総数（国・公・私立）,平成29,2017,3月,98.7,0.2,65.9,6.7,98.8,0.3,54.7,17.8
総数（国・公・私立）,平成30,2018,3月,98.7,0.1,64.7,6.5,98.8,0.2,54.7,17.6
総数（国・公・私立）,平成31,2019,3月,98.7,0.1,65.1,6.3,98.8,0.2,54.7,17.7
総数（国・公・私立）,令和2,2020,3月,98.8,0.1,66.6,6.2,98.8,0.2,55.8,17.4
総数（国・公・私立）,令和3,2021,3月,98.8,0.1,69,5.4,98.9,0.2,57.4,15.7
総数（国・公・私立）,令和4,2022,3月,98.8,0.1,71.5,4.8,98.8,0.1,59.5,14.7
総数（国・公・私立）,令和5,2023,3月,98.7,0.1,72.8,4.6,98.7,0.2,60.8,14.2
総数（国・公・私立）のうち男,令和5,2023,3月,98.6,0.1,70.8,6.1,98.6,0.3,59.4,17.7
総数（国・公・私立）のうち女,令和5,2023,3月,98.7,0,74.7,3.1,98.8,0.1,62.1,10.6
,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,
付表　全国及び他県との比較　２－２進学率及び卒業者に占める就職者の割合の全国との比較,,,,,,,,,,,
注１）昭和59年度から、高等学校等進学率に通信制課程（本科）進学者を含み、また大学等進学率に大学・短期大学の通信教育課程の進学者を含む。,,,,,,,,,,,
注２）全国の数値は、文部科学省公表の令和５年度学校基本調査の結果による。,,,,,,,,,,,
