種別,課程,性別,就職者総数（人）,就職者総数／専門的・技術的職業従事者（人）,就職者総数／事務従事者（人）,就職者総数／販売従事者（人）,就職者総数／サービス職業従事者（人）,就職者総数／保安職業従事者（人）,就職者総数／農林漁業従事者／農林業従事者（人）,就職者総数／農林漁業従事者／漁業従事者（人）,就職者総数／生産工程従事者（人）,就職者総数／輸送・機械運転従事者（人）,就職者総数／建設・採掘従事者（人）,就職者総数／運搬・清掃等従事者（人）,就職者総数／左記以外の者（人）,就職者総数／生産工程従事者（再掲）／計（人）,就職者総数／生産工程従事者（再掲）／製造・加工従事者（人）,就職者総数／生産工程従事者（再掲）／機械組立従事者（人）,就職者総数／生産工程従事者（再掲）／機械修理従事者（人）,就職者総数／生産工程従事者（再掲）／検査従事者（人）,就職者総数／生産工程従事者（再掲）／その他（人）,就職者総数／職業安定所又は学校を通じて就職した者（再掲）（人）,就職者総数／自家・自営業に就いた者（再掲）（人）
総数（国・公・私立）,総数（全日制・定時制）,総数（男・女）,4439,433,573,527,762,215,33,4,886,291,345,184,186,886,553,84,145,46,58,1723,71
総数（国・公・私立）,総数（全日制・定時制）,男,2904,354,199,206,352,164,26,4,713,275,334,160,117,713,430,71,139,31,42,1166,56
総数（国・公・私立）,総数（全日制・定時制）,女,1535,79,374,321,410,51,7,－,173,16,11,24,69,173,123,13,6,15,16,557,15
総数（国・公・私立）,全日制,総数（男・女）,3875,382,543,443,624,200,27,4,800,267,298,139,148,800,485,76,138,44,57,1654,70
総数（国・公・私立）,全日制,男,2551,318,194,168,280,150,22,4,661,253,289,122,90,661,392,63,134,31,41,1111,55
総数（国・公・私立）,全日制,女,1324,64,349,275,344,50,5,－,139,14,9,17,58,139,93,13,4,13,16,543,15
総数（国・公・私立）,定時制,総数（男・女）,564,51,30,84,138,15,6,－,86,24,47,45,38,86,68,8,7,2,1,69,1
総数（国・公・私立）,定時制,男,353,36,5,38,72,14,4,－,52,22,45,38,27,52,38,8,5,－,1,55,1
総数（国・公・私立）,定時制,女,211,15,25,46,66,1,2,－,34,2,2,7,11,34,30,－,2,2,－,14,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,総数（男・女）,1821,99,206,334,447,155,4,2,225,63,85,79,122,225,169,16,15,6,19,607,32
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,男,976,73,65,128,173,116,3,2,132,57,82,70,75,132,97,15,13,1,6,288,25
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,女,845,26,141,206,274,39,1,－,93,6,3,9,47,93,72,1,2,5,13,319,7
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
