種別,性別,区分,入学志願者数（令和5年3月卒業）（人）,入学志願者数（令和5年3月卒業）／大学（学部）（人）,入学志願者数（令和5年3月卒業）／短期大学（本科）（人）,入学志願者数（令和4年3月卒業）（人）,入学志願者数（令和4年3月卒業）／大学（学部）（人）,入学志願者数（令和4年3月卒業）／短期大学（本科）（人）,入学志願者数（令和3年3月以前卒業）（人）,入学志願者数（令和3年3月以前卒業）／大学（学部）（人）,入学志願者数（令和3年3月以前卒業）／短期大学（本科）（人）
総数（国・公・私立）,総数（男・女）,総数,77688,76298,1390,6647,6630,17,2001,1985,16
総数（国・公・私立）,総数（男・女）,普通（普通）,72373,71233,1140,6331,6315,16,1812,1806,6
総数（国・公・私立）,総数（男・女）,普通（学際領域）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,普通（地域社会）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,普通（その他）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,農業,205,179,26,7,7,－,－,－,－
総数（国・公・私立）,総数（男・女）,工業,1105,1087,18,84,84,－,23,22,1
総数（国・公・私立）,総数（男・女）,商業,885,839,46,15,15,－,9,8,1
総数（国・公・私立）,総数（男・女）,水産,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,家庭,109,76,33,2,1,1,14,6,8
総数（国・公・私立）,総数（男・女）,看護,1,1,－,－,－,－,4,4,－
総数（国・公・私立）,総数（男・女）,情報,23,23,－,1,1,－,1,1,－
総数（国・公・私立）,総数（男・女）,福祉,2,2,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,その他,1303,1271,32,129,129,－,84,84,－
総数（国・公・私立）,総数（男・女）,総合学科,1682,1587,95,78,78,－,54,54,－
総数（国・公・私立）,男,総数,38445,38298,147,4613,4609,4,1306,1303,3
総数（国・公・私立）,男,普通（普通）,36015,35898,117,4381,4377,4,1204,1202,2
総数（国・公・私立）,男,普通（学際領域）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,普通（地域社会）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,普通（その他）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,農業,89,85,4,6,6,－,－,－,－
総数（国・公・私立）,男,工業,871,861,10,74,74,－,21,20,1
総数（国・公・私立）,男,商業,389,386,3,12,12,－,6,6,－
総数（国・公・私立）,男,水産,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,家庭,10,10,－,－,－,－,－,－,－
総数（国・公・私立）,男,看護,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,情報,15,15,－,－,－,－,－,－,－
総数（国・公・私立）,男,福祉,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,その他,378,374,4,82,82,－,37,37,－
総数（国・公・私立）,男,総合学科,678,669,9,58,58,－,38,38,－
総数（国・公・私立）,女,総数,39243,38000,1243,2034,2021,13,695,682,13
総数（国・公・私立）,女,普通（普通）,36358,35335,1023,1950,1938,12,608,604,4
総数（国・公・私立）,女,普通（学際領域）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,普通（地域社会）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,普通（その他）,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,農業,116,94,22,1,1,－,－,－,－
総数（国・公・私立）,女,工業,234,226,8,10,10,－,2,2,－
総数（国・公・私立）,女,商業,496,453,43,3,3,－,3,2,1
総数（国・公・私立）,女,水産,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,家庭,99,66,33,2,1,1,14,6,8
総数（国・公・私立）,女,看護,1,1,－,－,－,－,4,4,－
総数（国・公・私立）,女,情報,8,8,－,1,1,－,1,1,－
総数（国・公・私立）,女,福祉,2,2,－,－,－,－,－,－,－
総数（国・公・私立）,女,その他,925,897,28,47,47,－,47,47,－
総数（国・公・私立）,女,総合学科,1004,918,86,20,20,－,16,16,－
,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,
１５－６　卒業後の状況調査（高等学校  全日制・定時制）　学科別大学及び短期大学への入学志願者数,,,,,,,,,,,
注）同一人が2校以上志願した場合は実際に入学した学校に計上し、いずれにも入学しなかった場合は第一志望校に計上した。,,,,,,,,,,,
