種別,区分,学級数（学級）,学級数／幼稚部（学級）,学級数／小学部（学級）,学級数／中学部（学級）,学級数／高等部（学級）,学級数／訪問教育学級(再掲）／小学部（学級）,学級数／訪問教育学級(再掲）／中学部（学級）,学級数／訪問教育学級(再掲）／高等部（学級）,在学者数（人）,在学者数／幼稚部（人）,在学者数／小学部（人）,在学者数／中学部（人）,在学者数／高等部（人）,在学者数／訪問教育学級（再掲）／小学部（人）,在学者数／訪問教育学級（再掲）／中学部（人）,在学者数／訪問教育学級（再掲）／高等部（人）
総数（国・公・私立）,総数,3007,44,1372,710,881,53,44,20,14633,156,5756,3012,5709,117,94,34
総数（国・公・私立）,視覚障害,84,8,23,17,36,－,－,－,310,25,64,75,146,－,－,－
総数（国・公・私立）,聴覚障害,139,29,59,25,26,－,－,－,667,113,269,125,160,－,－,－
総数（国・公・私立）,知的障害,1606,3,678,352,573,－,－,－,10074,9,3554,1901,4610,－,－,－
総数（国・公・私立）,肢体不自由,326,－,165,86,75,－,－,2,1360,－,653,349,358,－,－,4
総数（国・公・私立）,病弱・身体虚弱,70,－,42,20,8,6,3,2,147,－,111,28,8,14,2,1
総数（国・公・私立）,視覚障害と聴覚障害,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と知的障害,23,－,13,4,6,－,－,－,60,－,35,10,15,－,－,－
総数（国・公・私立）,視覚障害と肢体不自由,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,聴覚障害と知的障害,32,3,16,8,5,－,－,－,88,7,46,21,14,－,－,－
総数（国・公・私立）,聴覚障害と肢体不自由,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,聴覚障害と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,知的障害と肢体不自由,490,－,259,133,98,30,23,13,1330,－,733,342,255,74,50,26
総数（国・公・私立）,知的障害と病弱・身体虚弱,190,－,88,50,52,2,6,1,490,－,224,124,142,3,14,2
総数（国・公・私立）,肢体不自由と病弱・身体虚弱,35,－,23,11,1,15,11,1,75,－,49,26,－,26,26,－
総数（国・公・私立）,視覚障害と聴覚障害と知的障害,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と聴覚障害と肢体不自由,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と聴覚障害と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と知的障害と肢体不自由,2,1,1,－,－,－,－,－,5,2,3,－,－,－,－,－
総数（国・公・私立）,視覚障害と知的障害と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と肢体不自由と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,聴覚障害と知的障害と肢体不自由,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,聴覚障害と知的障害と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,聴覚障害と肢体不自由と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,知的障害と肢体不自由と病弱・身体虚弱,10,－,5,4,1,－,1,1,27,－,15,11,1,－,2,1
総数（国・公・私立）,視覚障害のみ無し,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,聴覚障害のみ無し,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,知的障害のみ無し,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,肢体不自由のみ無し,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,病弱・身体虚弱のみ無し,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,全てあり,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,
１０－５　特別支援学校　障害種、部別学級数及び在学者数（訪問教育学級再掲）,,,,,,,,,,,,,,,,,
注）高等部には、専攻科を含む。,,,,,,,,,,,,,,,,,
