種別,区分,就職者総数（人）,就職者総数／第１次産業／農業，林業（人）,就職者総数／第１次産業／漁業（人）,就職者総数／第２次産業／鉱業，採石業，砂利採取業（人）,就職者総数／第２次産業／建設業（人）,就職者総数／第２次産業／製造業（人）,就職者総数／第３次産業／電気・ガス・熱供給・水道業（人）,就職者総数／第３次産業／情報通信業（人）,就職者総数／第３次産業／運輸業，郵便業（人）,就職者総数／第３次産業／卸売業，小売業（人）,就職者総数／第３次産業／金融業，保険業（人）,就職者総数／第３次産業／不動産業，物品賃貸業（人）,就職者総数／第３次産業／学術研究，専門・技術サービス業（人）,就職者総数／第３次産業／宿泊業，飲食サービス業（人）,就職者総数／第３次産業／生活関連サービス業，娯楽業（人）,就職者総数／第３次産業／教育，学習支援業（人）,就職者総数／第３次産業／医療，福祉（人）,就職者総数／第３次産業／複合サービス事業（人）,就職者総数／第３次産業／サービス業（他に分類されないもの）（人）,就職者総数／第３次産業／公務（他に分類されるものを除く）（人）,就職者総数／左記以外のもの（人）
総数（公・私立）,総数,765,2,1,－,23,401,3,2,30,33,2,2,13,95,38,1,50,2,31,14,22
総数（公・私立）,男,504,2,1,－,20,326,2,1,23,15,－,1,－,44,15,－,17,1,15,12,9
総数（公・私立）,女,261,－,－,－,3,75,1,1,7,18,2,1,13,51,23,1,33,1,16,2,13
公立,総数,64,－,－,－,5,3,－,－,5,11,－,1,1,12,12,－,1,1,3,1,8
公立,男,23,－,－,－,5,2,－,－,2,4,－,－,－,3,2,－,－,1,3,1,－
公立,女,41,－,－,－,－,1,－,－,3,7,－,1,1,9,10,－,1,－,－,－,8
私立,総数,701,2,1,－,18,398,3,2,25,22,2,1,12,83,26,1,49,1,28,13,14
私立,男,481,2,1,－,15,324,2,1,21,11,－,1,－,41,13,－,17,－,12,11,9
私立,女,220,－,－,－,3,74,1,1,4,11,2,－,12,42,13,1,32,1,16,2,5
,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,
１６－３　卒業後の状況調査（高等学校  通信制）　通信制課程の設置者、産業別就職者総数,,,,,,,,,,,,,,,,,,,,,,
