種別,課程,性別,生徒数（人）,生徒数／１５歳（人）,生徒数／１６歳（人）,生徒数／１７歳（人）,生徒数／１８歳（人）,生徒数／１９歳（人）,生徒数／２０～２４歳（人）,生徒数／２５～２９歳（人）,生徒数／３０～３９歳（人）,生徒数／４０～４９歳（人）,生徒数／５０～５９歳（人）,生徒数／６０歳以上（人）,生徒数／公立（人）,生徒数／公立／１５歳（人）,生徒数／公立／１６歳（人）,生徒数／公立／１７歳（人）,生徒数／公立／１８歳（人）,生徒数／公立／１９歳（人）,生徒数／公立／２０～２４歳（人）,生徒数／公立／２５～２９歳（人）,生徒数／公立／３０～３９歳（人）,生徒数／公立／４０～４９歳（人）,生徒数／公立／５０～５９歳（人）,生徒数／公立／６０歳以上（人）,生徒数／私立（人）,生徒数／私立／１５歳（人）,生徒数／私立／１６歳（人）,生徒数／私立／１７歳（人）,生徒数／私立／１８歳（人）,生徒数／私立／１９歳（人）,生徒数／私立／２０～２４歳（人）,生徒数／私立／２５～２９歳（人）,生徒数／私立／３０～３９歳（人）,生徒数／私立／４０～４９歳（人）,生徒数／私立／５０～５９歳（人）,生徒数／私立／６０歳以上（人）
総数（公・私立）,総数,総数（男・女）,10861,2589,3068,3605,786,272,297,55,70,57,31,31,1660,147,333,480,315,150,167,19,19,13,9,8,9201,2442,2735,3125,471,122,130,36,51,44,22,23
総数（公・私立）,総数,男,5591,1320,1602,1856,397,157,162,24,23,27,11,12,739,48,156,201,150,81,79,7,3,6,5,3,4852,1272,1446,1655,247,76,83,17,20,21,6,9
総数（公・私立）,総数,女,5270,1269,1466,1749,389,115,135,31,47,30,20,19,921,99,177,279,165,69,88,12,16,7,4,5,4349,1170,1289,1470,224,46,47,19,31,23,16,14
総数（公・私立）,普通（普通）,男,4888,1097,1385,1618,372,157,162,24,23,27,11,12,739,48,156,201,150,81,79,7,3,6,5,3,4149,1049,1229,1417,222,76,83,17,20,21,6,9
総数（公・私立）,普通（普通）,女,5199,1251,1442,1728,383,113,135,31,47,30,20,19,921,99,177,279,165,69,88,12,16,7,4,5,4278,1152,1265,1449,218,44,47,19,31,23,16,14
総数（公・私立）,普通（学際領域）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,普通（学際領域）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,普通（地域社会）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,普通（地域社会）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,普通（その他）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,普通（その他）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,農業　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,農業　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,工業　　,男,703,223,217,238,25,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,703,223,217,238,25,－,－,－,－,－,－,－
総数（公・私立）,工業　　,女,71,18,24,21,6,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,71,18,24,21,6,2,－,－,－,－,－,－
総数（公・私立）,商業　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,商業　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,水産　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,水産　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,家庭　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,家庭　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,看護　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,看護　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,情報　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,情報　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,福祉　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,福祉　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,その他　　　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,その他　　　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
８－２　高等学校（通信制）　通信制課程の学科、年齢別生徒数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）生徒数には特科生は含まれていない。（特科生：高等学校通信教育規程附則第２項により、当該学校長が受講を許可した生徒）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
