種別,地域階層,地域,和暦（年度）,西暦（年度）,児童数（人）,児童数／男（人）,児童数／女（人）,児童数／１学年（人）,児童数／１学年／男（人）,児童数／１学年／女（人）,児童数／２学年（人）,児童数／２学年／男（人）,児童数／２学年／女（人）,児童数／３学年（人）,児童数／３学年／男（人）,児童数／３学年／女（人）,児童数／４学年（人）,児童数／４学年／男（人）,児童数／４学年／女（人）,児童数／５学年（人）,児童数／５学年／男（人）,児童数／５学年／女（人）,児童数／６学年（人）,児童数／６学年／男（人）,児童数／６学年／女（人）
総数（国・公・私立）,0,総数,平成30,2018,609512,312216,297296,102192,52349,49843,102799,52778,50021,102403,52354,50049,101689,52011,49678,101118,51819,49299,99311,50905,48406
総数（国・公・私立）,0,総数,令和元,2019,614873,314845,300028,103431,52817,50614,102149,52332,49817,103043,52895,50148,102651,52537,50114,102049,52219,49830,101550,52045,49505
総数（国・公・私立）,0,総数,令和2,2020,619291,316864,302427,104852,53450,51402,103425,52786,50639,102305,52447,49858,103283,53039,50244,102993,52715,50278,102433,52427,50006
総数（国・公・私立）,0,総数,令和3,2021,622820,318449,304371,106390,54150,52240,104506,53280,51226,103186,52624,50562,102299,52493,49806,103326,53079,50247,103113,52823,50290
総数（国・公・私立）,0,総数,令和4,2022,624426,319035,305391,105788,53829,51959,106023,53946,52077,104172,53186,50986,102931,52513,50418,102137,52446,49691,103375,53115,50260
総数（国・公・私立）,0,総数,令和5,2023,623631,317890,305741,103085,52325,50760,105547,53697,51850,105819,53821,51998,104038,53053,50985,102853,52496,50357,102289,52498,49791
総数（国・公・私立）,1,区部,令和5,2023,411284,209041,202243,68629,34662,33967,69969,35509,34460,70142,35680,34462,68610,34833,33777,67349,34262,33087,66585,34095,32490
総数（国・公・私立）,2,千代田区,令和5,2023,5205,2469,2736,891,413,478,854,400,454,918,459,459,863,424,439,879,402,477,800,371,429
総数（国・公・私立）,2,中央区,令和5,2023,8796,4511,4285,1568,792,776,1589,840,749,1590,827,763,1428,734,694,1343,656,687,1278,662,616
総数（国・公・私立）,2,港区,令和5,2023,11878,5682,6196,2132,1011,1121,2059,1038,1021,2048,958,1090,1895,908,987,1905,887,1018,1839,880,959
総数（国・公・私立）,2,新宿区,令和5,2023,10805,5538,5267,1846,912,934,1889,980,909,1830,983,847,1775,918,857,1792,924,868,1673,821,852
総数（国・公・私立）,2,文京区,令和5,2023,13448,6671,6777,2420,1252,1168,2318,1114,1204,2336,1195,1141,2219,1100,1119,2128,1008,1120,2027,1002,1025
総数（国・公・私立）,2,台東区,令和5,2023,7078,3511,3567,1130,535,595,1204,580,624,1203,611,592,1193,602,591,1207,612,595,1141,571,570
総数（国・公・私立）,2,墨田区,令和5,2023,10404,5271,5133,1787,879,908,1820,904,916,1723,884,839,1722,853,869,1708,884,824,1644,867,777
総数（国・公・私立）,2,江東区,令和5,2023,24665,12700,11965,4193,2191,2002,4150,2128,2022,4213,2111,2102,4078,2104,1974,4017,2074,1943,4014,2092,1922
総数（国・公・私立）,2,品川区,令和5,2023,14459,7420,7039,2480,1247,1233,2591,1310,1281,2479,1288,1191,2448,1277,1171,2288,1172,1116,2173,1126,1047
総数（国・公・私立）,2,目黒区,令和5,2023,11091,5886,5205,1842,975,867,1848,1002,846,1985,1032,953,1856,957,899,1790,953,837,1770,967,803
総数（国・公・私立）,2,大田区,令和5,2023,30197,15477,14720,4920,2574,2346,5075,2553,2522,5225,2676,2549,5061,2538,2523,4878,2516,2362,5038,2620,2418
総数（国・公・私立）,2,世田谷区,令和5,2023,42971,21701,21270,7015,3531,3484,7319,3680,3639,7376,3738,3638,7182,3610,3572,7010,3530,3480,7069,3612,3457
総数（国・公・私立）,2,渋谷区,令和5,2023,9567,4817,4750,1696,824,872,1715,861,854,1618,820,798,1598,827,771,1467,734,733,1473,751,722
総数（国・公・私立）,2,中野区,令和5,2023,11693,6042,5651,2013,1034,979,2036,1057,979,2015,1017,998,1891,1004,887,1933,1000,933,1805,930,875
総数（国・公・私立）,2,杉並区,令和5,2023,23237,11508,11729,3931,1913,2018,4047,1984,2063,3969,1977,1992,3824,1926,1898,3731,1868,1863,3735,1840,1895
総数（国・公・私立）,2,豊島区,令和5,2023,10460,5450,5010,1782,918,864,1823,926,897,1780,958,822,1728,906,822,1691,884,807,1656,858,798
総数（国・公・私立）,2,北区,令和5,2023,14991,7571,7420,2608,1288,1320,2637,1371,1266,2543,1244,1299,2505,1251,1254,2389,1223,1166,2309,1194,1115
総数（国・公・私立）,2,荒川区,令和5,2023,9072,4597,4475,1482,749,733,1565,797,768,1528,798,730,1560,778,782,1403,700,703,1534,775,759
総数（国・公・私立）,2,板橋区,令和5,2023,24302,12500,11802,3971,1978,1993,4094,2117,1977,4078,2130,1948,4121,2070,2051,4050,2108,1942,3988,2097,1891
総数（国・公・私立）,2,練馬区,令和5,2023,34204,17536,16668,5703,2925,2778,5708,2927,2781,5868,2970,2898,5747,2911,2836,5653,2936,2717,5525,2867,2658
総数（国・公・私立）,2,足立区,令和5,2023,29727,15106,14621,4610,2307,2303,4878,2494,2384,4964,2513,2451,4956,2575,2381,5121,2590,2531,5198,2627,2571
総数（国・公・私立）,2,葛飾区,令和5,2023,20351,10451,9900,3296,1708,1588,3422,1748,1674,3426,1728,1698,3437,1767,1670,3377,1749,1628,3393,1751,1642
総数（国・公・私立）,2,江戸川区,令和5,2023,32683,16626,16057,5313,2706,2607,5328,2698,2630,5427,2763,2664,5523,2793,2730,5589,2852,2737,5503,2814,2689
総数（国・公・私立）,1,市部,令和5,2023,208528,106866,101662,33886,17346,16540,34939,17851,17088,35039,17827,17212,34780,17889,16891,34844,17907,16937,35040,18046,16994
総数（国・公・私立）,2,八王子市,令和5,2023,24288,12513,11775,3725,1944,1781,3955,2006,1949,3983,2056,1927,4028,2062,1966,4304,2209,2095,4293,2236,2057
総数（国・公・私立）,2,立川市,令和5,2023,8725,4455,4270,1475,726,749,1502,765,737,1444,752,692,1448,720,728,1430,762,668,1426,730,696
総数（国・公・私立）,2,武蔵野市,令和5,2023,8173,4300,3873,1352,722,630,1415,734,681,1390,738,652,1359,698,661,1333,714,619,1324,694,630
総数（国・公・私立）,2,三鷹市,令和5,2023,9879,5066,4813,1637,847,790,1637,841,796,1722,879,843,1665,859,806,1562,789,773,1656,851,805
総数（国・公・私立）,2,青梅市,令和5,2023,5367,2773,2594,864,449,415,828,430,398,908,443,465,876,467,409,942,490,452,949,494,455
総数（国・公・私立）,2,府中市,令和5,2023,14012,7155,6857,2198,1112,1086,2376,1253,1123,2372,1188,1184,2376,1223,1153,2360,1186,1174,2330,1193,1137
総数（国・公・私立）,2,昭島市,令和5,2023,5879,2920,2959,961,468,493,989,498,491,978,470,508,971,507,464,1011,503,508,969,474,495
総数（国・公・私立）,2,調布市,令和5,2023,12487,6222,6265,2110,1094,1016,2070,1012,1058,2185,1066,1119,2080,1027,1053,2030,1020,1010,2012,1003,1009
総数（国・公・私立）,2,町田市,令和5,2023,21692,11192,10500,3389,1701,1688,3641,1863,1778,3591,1868,1723,3607,1871,1736,3732,1936,1796,3732,1953,1779
総数（国・公・私立）,2,小金井市,令和5,2023,6751,3487,3264,1165,592,573,1185,619,566,1152,621,531,1115,567,548,1105,595,510,1029,493,536
総数（国・公・私立）,2,小平市,令和5,2023,11020,5713,5307,1843,970,873,1842,977,865,1861,972,889,1816,926,890,1834,916,918,1824,952,872
総数（国・公・私立）,2,日野市,令和5,2023,9376,4780,4596,1559,804,755,1597,839,758,1560,765,795,1573,786,787,1549,800,749,1538,786,752
総数（国・公・私立）,2,東村山市,令和5,2023,6941,3531,3410,1081,543,538,1173,587,586,1158,577,581,1105,581,524,1168,584,584,1256,659,597
総数（国・公・私立）,2,国分寺市,令和5,2023,6802,3618,3184,1202,642,560,1190,614,576,1126,596,530,1116,586,530,1084,587,497,1084,593,491
総数（国・公・私立）,2,国立市,令和5,2023,4577,2383,2194,776,401,375,770,408,362,800,421,379,746,386,360,752,397,355,733,370,363
総数（国・公・私立）,2,福生市,令和5,2023,2220,1112,1108,346,171,175,389,195,194,366,172,194,382,198,184,347,176,171,390,200,190
総数（国・公・私立）,2,狛江市,令和5,2023,3924,2021,1903,701,374,327,633,339,294,675,335,340,661,333,328,619,324,295,635,316,319
総数（国・公・私立）,2,東大和市,令和5,2023,4262,2128,2134,661,305,356,727,359,368,703,342,361,709,372,337,742,391,351,720,359,361
総数（国・公・私立）,2,清瀬市,令和5,2023,3666,1849,1817,602,296,306,623,322,301,574,288,286,648,333,315,600,301,299,619,309,310
総数（国・公・私立）,2,東久留米市,令和5,2023,5898,2955,2943,966,495,471,1009,499,510,1009,503,506,1014,516,498,988,484,504,912,458,454
総数（国・公・私立）,2,武蔵村山市,令和5,2023,3760,1903,1857,597,300,297,605,296,309,610,290,320,650,357,293,619,312,307,679,348,331
総数（国・公・私立）,2,多摩市,令和5,2023,6888,3555,3333,1088,557,531,1074,539,535,1188,604,584,1212,629,583,1140,606,534,1186,620,566
総数（国・公・私立）,2,稲城市,令和5,2023,5391,2782,2609,897,478,419,953,467,486,919,476,443,879,450,429,893,457,436,850,454,396
総数（国・公・私立）,2,羽村市,令和5,2023,2583,1343,1240,405,205,200,410,228,182,407,218,189,437,232,205,447,220,227,477,240,237
総数（国・公・私立）,2,あきる野市,令和5,2023,3961,1983,1978,609,308,301,617,278,339,679,328,351,679,359,320,661,318,343,716,392,324
