種別,課程,性別,就職者総数（人）,就職者総数／第１次産業／農業，林業（人）,就職者総数／第１次産業／漁業（人）,就職者総数／第２次産業／鉱業，採石業，砂利採取業（人）,就職者総数／第２次産業／建設業（人）,就職者総数／第２次産業／製造業（人）,就職者総数／第３次産業／電気・ガス・熱供給・水道業（人）,就職者総数／第３次産業／情報通信業（人）,就職者総数／第３次産業／運輸業，郵便業（人）,就職者総数／第３次産業／卸売業，小売業（人）,就職者総数／第３次産業／金融業，保険業（人）,就職者総数／第３次産業／不動産業，物品賃貸業（人）,就職者総数／第３次産業／学術研究，専門・技術サービス業（人）,就職者総数／第３次産業／宿泊業，飲食サービス業（人）,就職者総数／第３次産業／生活関連サービス業，娯楽業（人）,就職者総数／第３次産業／教育，学習支援業（人）,就職者総数／第３次産業／医療，福祉（人）,就職者総数／第３次産業／複合サービス事業（人）,就職者総数／第３次産業／サービス業（他に分類されないもの）（人）,就職者総数／第３次産業／公務（他に分類されるものを除く）（人）,就職者総数／左記以外のもの（人）
総数（国・公・私立）,総数（全日制・定時制）,総数（男・女）,4439,37,5,3,513,844,86,114,595,568,39,54,109,275,252,30,209,63,224,299,120
総数（国・公・私立）,総数（全日制・定時制）,男,2904,29,4,3,473,576,71,89,505,241,4,29,78,144,97,18,60,33,159,213,78
総数（国・公・私立）,総数（全日制・定時制）,女,1535,8,1,－,40,268,15,25,90,327,35,25,31,131,155,12,149,30,65,86,42
総数（国・公・私立）,全日制,総数（男・女）,3875,32,5,3,454,750,74,100,537,491,38,53,96,221,211,26,158,52,186,284,104
総数（国・公・私立）,全日制,男,2551,25,4,3,418,523,61,79,457,203,4,29,71,114,75,17,39,24,137,202,66
総数（国・公・私立）,全日制,女,1324,7,1,－,36,227,13,21,80,288,34,24,25,107,136,9,119,28,49,82,38
総数（国・公・私立）,定時制,総数（男・女）,564,5,－,－,59,94,12,14,58,77,1,1,13,54,41,4,51,11,38,15,16
総数（国・公・私立）,定時制,男,353,4,－,－,55,53,10,10,48,38,－,－,7,30,22,1,21,9,22,11,12
総数（国・公・私立）,定時制,女,211,1,－,－,4,41,2,4,10,39,1,1,6,24,19,3,30,2,16,4,4
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,総数（男・女）,1821,5,3,2,112,234,25,44,165,307,6,12,49,154,177,23,130,27,91,184,71
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,男,976,4,2,2,101,123,20,32,128,109,－,6,29,67,63,17,37,15,48,127,46
総数（国・公・私立）,総数（全日制・定時制）のうち普通（普通）,女,845,1,1,－,11,111,5,12,37,198,6,6,20,87,114,6,93,12,43,57,25
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（学際領域）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち農業,総数（男・女）,184,29,－,－,6,37,－,2,3,40,－,－,3,26,13,－,5,2,6,9,3
総数（国・公・私立）,総数（全日制・定時制）のうち農業,男,109,24,－,－,6,22,－,－,3,15,－,－,2,18,7,－,2,－,4,5,1
総数（国・公・私立）,総数（全日制・定時制）のうち農業,女,75,5,－,－,－,15,－,2,－,25,－,－,1,8,6,－,3,2,2,4,2
総数（国・公・私立）,総数（全日制・定時制）のうち工業,総数（男・女）,1655,1,－,1,358,427,51,51,335,93,1,24,40,29,12,4,12,15,101,68,32
総数（国・公・私立）,総数（全日制・定時制）のうち工業,男,1526,1,－,1,341,382,44,49,324,86,1,20,38,24,8,－,10,12,94,63,28
総数（国・公・私立）,総数（全日制・定時制）のうち工業,女,129,－,－,－,17,45,7,2,11,7,－,4,2,5,4,4,2,3,7,5,4
総数（国・公・私立）,総数（全日制・定時制）のうち商業,総数（男・女）,460,－,－,－,18,94,9,12,57,98,28,17,16,19,34,1,27,8,10,8,4
総数（国・公・私立）,総数（全日制・定時制）のうち商業,男,137,－,－,－,9,25,6,4,28,20,2,3,8,6,10,1,4,1,5,4,1
総数（国・公・私立）,総数（全日制・定時制）のうち商業,女,323,－,－,－,9,69,3,8,29,78,26,14,8,13,24,－,23,7,5,4,3
総数（国・公・私立）,総数（全日制・定時制）のうち水産,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち水産,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち水産,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,総数（男・女）,50,－,－,－,－,7,－,－,1,3,－,－,－,31,1,1,1,－,－,－,5
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,男,26,－,－,－,－,2,－,－,－,－,－,－,－,23,－,－,－,－,－,－,1
