種別,地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／校長／男（人）,教員数（本務者）／校長／女（人）,教員数（本務者）／副校長／男（人）,教員数（本務者）／副校長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹教諭／男（人）,教員数（本務者）／主幹教諭／女（人）,教員数（本務者）／指導教諭／男（人）,教員数（本務者）／指導教諭／女（人）,教員数（本務者）／教諭／男（人）,教員数（本務者）／教諭／女（人）,教員数（本務者）／助教諭／男（人）,教員数（本務者）／助教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（本務者）／うち市町村費負担の者（人）,教員数（本務者）／うち市町村費負担の者／男（人）,教員数（本務者）／うち市町村費負担の者／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）
総数（国・公・私立）,0,総数,平成30,2018,19301,10912,8389,577,52,534,118,88,18,1293,376,46,40,8286,6991,－,－,1,693,－,－,－,15,87,86,16,12,4,4385,4616
総数（国・公・私立）,0,総数,令和元,2019,19524,11058,8466,574,53,530,120,91,19,1217,385,52,40,8497,7032,－,－,1,694,－,－,－,14,96,109,10,6,4,4419,4610
総数（国・公・私立）,0,総数,令和2,2020,19736,11140,8596,570,58,532,116,94,19,1186,404,61,48,8573,7131,－,－,1,699,－,－,2,18,121,103,13,8,5,4604,4722
総数（国・公・私立）,0,総数,令和3,2021,20183,11359,8824,573,56,531,120,88,25,1223,412,65,51,8757,7315,－,－,1,699,－,－,2,18,119,128,21,10,11,4576,4799
総数（国・公・私立）,0,総数,令和4,2022,20199,11381,8818,562,67,528,119,83,30,1244,433,60,51,8771,7289,－,－,－,695,－,－,2,19,131,115,17,7,10,4581,4940
総数（国・公・私立）,0,総数,令和5,2023,20415,11496,8919,552,78,534,119,80,36,1244,433,64,47,8884,7353,－,－,－,711,－,－,2,16,136,126,14,5,9,4725,5031
総数（国・公・私立）,1,区部,令和5,2023,12961,7256,5705,337,47,321,84,56,31,765,299,46,33,5618,4653,－,－,－,439,－,－,1,16,112,103,14,5,9,3209,3307
総数（国・公・私立）,2,千代田区,令和5,2023,360,151,209,3,－,1,1,1,7,7,4,3,5,128,175,－,－,－,6,－,－,－,－,8,11,－,－,－,108,225
総数（国・公・私立）,2,中央区,令和5,2023,146,83,63,4,－,3,2,1,－,12,1,3,－,60,52,－,－,－,8,－,－,－,－,－,－,－,－,－,25,32
総数（国・公・私立）,2,港区,令和5,2023,624,369,255,8,4,10,1,5,4,30,17,1,－,310,205,－,－,－,16,－,－,－,－,5,8,－,－,－,327,318
総数（国・公・私立）,2,新宿区,令和5,2023,382,246,136,9,1,8,2,3,1,15,11,－,－,211,110,－,－,－,11,－,－,－,－,－,－,－,－,－,123,115
総数（国・公・私立）,2,文京区,令和5,2023,588,342,246,8,2,11,7,6,1,27,11,5,4,266,189,－,－,－,18,－,－,－,－,19,14,－,－,－,261,281
総数（国・公・私立）,2,台東区,令和5,2023,204,105,99,8,－,7,1,－,1,17,8,－,－,73,79,－,－,－,6,－,－,－,－,－,4,－,－,－,108,86
総数（国・公・私立）,2,墨田区,令和5,2023,340,191,149,10,1,8,4,2,－,26,9,－,1,144,121,－,－,－,13,－,－,1,－,－,－,－,－,－,67,61
総数（国・公・私立）,2,江東区,令和5,2023,613,353,260,20,3,20,4,1,－,38,19,3,1,266,205,－,－,－,21,－,－,－,1,5,6,－,－,－,122,85
総数（国・公・私立）,2,品川区,令和5,2023,374,208,166,8,2,8,2,5,2,12,5,－,－,168,141,－,－,－,9,－,－,－,－,7,5,8,4,4,80,99
総数（国・公・私立）,2,目黒区,令和5,2023,323,170,153,8,1,6,3,4,－,10,7,－,1,140,129,－,－,－,10,－,－,－,－,2,2,－,－,－,90,88
総数（国・公・私立）,2,大田区,令和5,2023,779,440,339,26,3,26,3,2,－,58,21,1,－,317,278,－,－,－,27,－,－,－,2,10,5,1,－,1,97,68
総数（国・公・私立）,2,世田谷区,令和5,2023,1328,736,592,26,5,25,10,7,4,73,28,5,6,588,487,－,－,－,39,－,－,－,2,12,11,3,1,2,392,455
総数（国・公・私立）,2,渋谷区,令和5,2023,341,170,171,8,1,4,4,1,2,12,9,1,－,144,143,－,－,－,12,－,－,－,－,－,－,－,－,－,62,100
総数（国・公・私立）,2,中野区,令和5,2023,401,231,170,8,2,11,－,1,1,16,7,3,2,192,142,－,－,－,16,－,－,－,－,－,－,－,－,－,100,84
総数（国・公・私立）,2,杉並区,令和5,2023,727,376,351,21,3,18,6,3,4,36,26,4,3,280,272,－,－,－,28,－,－,－,3,14,6,2,－,2,140,201
