種別,性別,課程,区分,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（Ｄ）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,"左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／自営業主等無期雇用労働者（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／雇用契約期間が一年以上、かつフルタイム勤務相当の者（人）",左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,Ａのうち大学・短期大学の通信教育部を除く進学者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,総数,96812,70463,10101,4441,227,117,4146,328,116,6868,5,7,7,－,169,70389,72.8,4439,4.6
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（普通）,85418,65675,7622,4148,126,52,1728,138,91,5833,5,7,7,－,34,65623,76.9,1821,2.1
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,農業,663,204,205,3,10,1,183,10,1,46,－,－,－,－,－,202,30.8,184,27.8
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,工業,3578,1004,563,84,41,47,1500,109,5,225,－,－,－,－,108,1000,28.1,1655,46.3
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,商業,1997,770,504,98,6,10,445,24,－,140,－,－,－,－,5,768,38.6,460,23
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,家庭,281,107,107,2,2,1,42,11,－,9,－,－,－,－,7,107,38.1,50,17.8
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,看護,41,39,1,－,－,－,1,－,－,－,－,－,－,－,－,39,95.1,1,2.4
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,情報,58,23,－,7,－,－,4,－,－,24,－,－,－,－,－,22,39.7,4,6.9
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,福祉,14,2,2,－,－,－,10,－,－,－,－,－,－,－,－,2,14.3,10,71.4
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,その他,1747,1122,220,34,13,1,94,7,－,256,－,－,－,－,－,1118,64.2,95,5.4
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,総合学科,3015,1517,877,65,29,5,139,29,19,335,－,－,－,－,15,1508,50.3,159,5.3
総数（国・公・私立）,総数（男・女）,全日制,総数,94016,69547,9497,4384,147,100,3624,249,59,6406,3,7,7,－,144,69491,74,3875,4.1
総数（国・公・私立）,総数（男・女）,全日制,普通（普通）,83740,65105,7302,4102,82,42,1384,99,56,5565,3,7,7,－,23,65060,77.7,1456,1.7
総数（国・公・私立）,総数（男・女）,全日制,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,農業,588,194,194,3,8,－,149,2,－,38,－,－,－,－,－,192,33,149,25.3
総数（国・公・私立）,総数（男・女）,全日制,工業,3445,978,537,84,35,43,1442,109,2,215,－,－,－,－,108,976,28.4,1593,46.2
総数（国・公・私立）,総数（男・女）,全日制,商業,1974,770,502,96,6,8,430,23,－,139,－,－,－,－,5,768,39,443,22.4
総数（国・公・私立）,総数（男・女）,全日制,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,家庭,281,107,107,2,2,1,42,11,－,9,－,－,－,－,7,107,38.1,50,17.8
総数（国・公・私立）,総数（男・女）,全日制,看護,41,39,1,－,－,－,1,－,－,－,－,－,－,－,－,39,95.1,1,2.4
総数（国・公・私立）,総数（男・女）,全日制,情報,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,福祉,14,2,2,－,－,－,10,－,－,－,－,－,－,－,－,2,14.3,10,71.4
総数（国・公・私立）,総数（男・女）,全日制,その他,1721,1122,213,34,10,1,87,2,－,252,－,－,－,－,－,1118,65.2,88,5.1
総数（国・公・私立）,総数（男・女）,全日制,総合学科,2212,1230,639,63,4,5,79,3,1,188,－,－,－,－,1,1229,55.6,85,3.8
総数（国・公・私立）,総数（男・女）,定時制,総数,2796,916,604,57,80,17,522,79,57,462,2,－,－,－,25,898,32.8,564,20.2
総数（国・公・私立）,総数（男・女）,定時制,普通（普通）,1678,570,320,46,44,10,344,39,35,268,2,－,－,－,11,563,34,365,21.8
総数（国・公・私立）,総数（男・女）,定時制,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,農業,75,10,11,－,2,1,34,8,1,8,－,－,－,－,－,10,13.3,35,46.7
総数（国・公・私立）,総数（男・女）,定時制,工業,133,26,26,－,6,4,58,－,3,10,－,－,－,－,－,24,19.5,62,46.6
総数（国・公・私立）,総数（男・女）,定時制,商業,23,－,2,2,－,2,15,1,－,1,－,－,－,－,－,－,－,17,73.9
総数（国・公・私立）,総数（男・女）,定時制,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,家庭,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,情報,58,23,－,7,－,－,4,－,－,24,－,－,－,－,－,22,39.7,4,6.9
総数（国・公・私立）,総数（男・女）,定時制,福祉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,その他,26,－,7,－,3,－,7,5,－,4,－,－,－,－,－,－,－,7,26.9
総数（国・公・私立）,総数（男・女）,定時制,総合学科,803,287,238,2,25,－,60,26,18,147,－,－,－,－,14,279,35.7,74,9.2
総数（国・公・私立）,男,総数（全日制・定時制）,総数,47684,33743,3910,2694,167,93,2679,189,46,4161,2,6,6,－,126,33714,70.8,2904,6.1
総数（国・公・私立）,男,総数（全日制・定時制）,普通（普通）,41730,31584,2824,2568,86,40,909,62,36,3619,2,6,6,－,21,31564,75.7,976,2.3
総数（国・公・私立）,男,総数（全日制・定時制）,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,農業,318,90,79,－,7,1,108,5,－,28,－,－,－,－,－,88,28.3,109,34.3
総数（国・公・私立）,男,総数（全日制・定時制）,工業,3077,796,471,69,33,42,1390,95,1,180,－,－,－,－,94,794,25.9,1526,49.6
総数（国・公・私立）,男,総数（全日制・定時制）,商業,755,364,148,37,6,4,131,9,－,56,－,－,－,－,2,363,48.2,137,18.1
総数（国・公・私立）,男,総数（全日制・定時制）,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,家庭,47,10,5,1,1,1,23,2,－,4,－,－,－,－,2,10,21.3,26,55.3
総数（国・公・私立）,男,総数（全日制・定時制）,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
