種別,区分,就職者総数（人）,就職者総数／都内（人）,就職者総数／都外（人）,就職者総数／男（人）,就職者総数／女（人）
総数（国・公・私立）,総数,93,75,18,77,16
総数（国・公・私立）,第１次産業,4,3,1,3,1
総数（国・公・私立）,第２次産業,24,22,2,24,－
総数（国・公・私立）,第３次産業,45,32,13,35,10
総数（国・公・私立）,上記以外のもの,20,18,2,15,5
国立,総数,－,－,－,－,－
国立,第１次産業,－,－,－,－,－
国立,第２次産業,－,－,－,－,－
国立,第３次産業,－,－,－,－,－
国立,上記以外のもの,－,－,－,－,－
公立,総数,92,75,17,76,16
公立,第１次産業,3,3,－,2,1
公立,第２次産業,24,22,2,24,－
公立,第３次産業,45,32,13,35,10
公立,上記以外のもの,20,18,2,15,5
私立,総数,1,－,1,1,－
私立,第１次産業,1,－,1,1,－
私立,第２次産業,－,－,－,－,－
私立,第３次産業,－,－,－,－,－
私立,上記以外のもの,－,－,－,－,－
,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,
１３－６　卒業後の状況調査（中学校）　設置者、産業別就職者総数,,,,,,
注１）産業分類（３区分）の詳細については、１５－９表を参照,,,,,,
注２）進学しながら就職している者及び専修学校等へ入学しながら就職している者を含む。,,,,,,
注３）「上記以外のもの」とは、分類不能の産業及び就職先の産業別が不明の者である。,,,,,,
