種別,区分,特別支援学級卒業者数（人）,特別支援学級卒業者数／高等学校等進学者（人）,特別支援学級卒業者数／高等学校等進学者／高等学校及び中等教育学校後期課程の本科及び別科、高等専門学校（人）,特別支援学級卒業者数／高等学校等進学者／特別支援学校本科及び別科（人）,特別支援学級卒業者数／専修学校（高等課程）進学者（人）,特別支援学級卒業者数／専修学校（一般課程）等入学者（人）,特別支援学級卒業者数／公共職業能力開発施設等入学者（人）,特別支援学級卒業者数／就職者等（人）,特別支援学級卒業者数／左記以外の者、不詳・死亡（人）
総数（国・公・私立）,総数,1549,1450,510,940,62,4,1,4,28
総数（国・公・私立）,男,1079,1011,367,644,44,2,1,3,18
総数（国・公・私立）,女,470,439,143,296,18,2,－,1,10
国立,総数,－,－,－,－,－,－,－,－,－
国立,男,－,－,－,－,－,－,－,－,－
国立,女,－,－,－,－,－,－,－,－,－
公立,総数,1512,1445,506,939,30,4,1,4,28
公立,男,1049,1007,364,643,18,2,1,3,18
公立,女,463,438,142,296,12,2,－,1,10
私立,総数,37,5,4,1,32,－,－,－,－
私立,男,30,4,3,1,26,－,－,－,－
私立,女,7,1,1,－,6,－,－,－,－
,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,
１３－７　卒業後の状況調査（中学校）　特別支援学級の状況別卒業者数,,,,,,,,,,
