地域階層,地域,和暦年度,西暦年度,幼稚園数（園）,幼稚園数／うち分園（園）,幼稚園数／国立（園）,幼稚園数／公立（園）,幼稚園数／私立（園）,幼稚園数／私立／学校法人立（園）,幼稚園数／私立／財団法人立（園）,幼稚園数／私立／社団法人立（園）,幼稚園数／私立／宗教法人立（園）,幼稚園数／私立／その他の法人立（園）,幼稚園数／私立／個人立（園）,学級数（学級）,学級数／国立（学級）,学級数／公立（学級）,学級数／私立（学級）
0,総数,平成30,2018,991,－,2,171,818,527,1,－,136,1,153,6250,14,543,5693
0,総数,令和元,2019,985,－,2,168,815,533,1,－,132,1,148,6151,14,532,5605
0,総数,令和2,2020,984,－,2,168,814,533,1,－,132,1,147,6026,14,515,5497
0,総数,令和3,2021,976,－,2,163,811,533,1,－,131,1,145,5935,14,489,5432
0,総数,令和4,2022,969,－,2,161,806,531,1,－,127,1,146,5745,14,460,5271
0,総数,令和5,2023,959,－,2,158,799,532,1,－,124,1,141,5539,14,447,5078
1,区部,令和5,2023,682,－,1,155,526,312,1,－,109,1,103,3529,6,441,3082
2,千代田区,令和5,2023,12,－,－,8,4,4,－,－,－,－,－,48,－,29,19
2,中央区,令和5,2023,14,－,－,14,－,－,－,－,－,－,－,60,－,60,－
2,港区,令和5,2023,30,－,－,12,18,9,－,－,8,1,－,119,－,42,77
2,新宿区,令和5,2023,30,－,－,21,9,3,－,－,5,－,1,81,－,40,41
2,文京区,令和5,2023,27,－,1,10,16,10,－,－,5,－,1,127,6,38,83
2,台東区,令和5,2023,19,－,－,10,9,2,－,－,5,－,2,75,－,30,45
2,墨田区,令和5,2023,15,－,－,6,9,5,－,－,1,－,3,58,－,12,46
2,江東区,令和5,2023,30,－,－,18,12,10,－,－,－,－,2,130,－,45,85
2,品川区,令和5,2023,28,－,－,9,19,10,－,－,4,－,5,119,－,20,99
2,目黒区,令和5,2023,22,－,－,3,19,9,－,－,6,－,4,110,－,8,102
2,大田区,令和5,2023,47,－,－,－,47,27,－,－,13,－,7,281,－,－,281
2,世田谷区,令和5,2023,62,－,－,8,54,35,－,－,14,－,5,336,－,21,315
2,渋谷区,令和5,2023,21,－,－,5,16,7,－,－,5,－,4,77,－,10,67
2,中野区,令和5,2023,21,－,－,2,19,10,－,－,7,－,2,117,－,6,111
2,杉並区,令和5,2023,42,－,－,6,36,18,－,－,9,－,9,213,－,18,195
2,豊島区,令和5,2023,20,－,－,3,17,11,－,－,3,－,3,74,－,6,68
2,北区,令和5,2023,36,－,－,4,32,19,－,－,2,－,11,165,－,6,159
2,荒川区,令和5,2023,14,－,－,9,5,3,－,－,2,－,－,50,－,25,25
2,板橋区,令和5,2023,33,－,－,1,32,24,1,－,1,－,6,211,－,5,206
2,練馬区,令和5,2023,43,－,－,3,40,24,－,－,1,－,15,313,－,12,301
2,足立区,令和5,2023,51,－,－,－,51,36,－,－,5,－,10,310,－,－,310
2,葛飾区,令和5,2023,27,－,－,2,25,18,－,－,3,－,4,165,－,4,161
2,江戸川区,令和5,2023,38,－,－,1,37,18,－,－,10,－,9,290,－,4,286
1,市部,令和5,2023,273,－,1,3,269,217,－,－,14,－,38,1988,8,6,1974
2,八王子市,令和5,2023,29,－,－,－,29,25,－,－,1,－,3,228,－,－,228
2,立川市,令和5,2023,12,－,－,－,12,11,－,－,1,－,－,87,－,－,87
2,武蔵野市,令和5,2023,12,－,－,－,12,10,－,－,1,－,1,78,－,－,78
2,三鷹市,令和5,2023,17,－,－,－,17,5,－,－,3,－,9,99,－,－,99
2,青梅市,令和5,2023,6,－,－,－,6,5,－,－,－,－,1,30,－,－,30
2,府中市,令和5,2023,17,－,－,－,17,14,－,－,－,－,3,135,－,－,135
2,昭島市,令和5,2023,7,－,－,－,7,7,－,－,－,－,－,40,－,－,40
2,調布市,令和5,2023,13,－,－,－,13,11,－,－,－,－,2,99,－,－,99
2,町田市,令和5,2023,34,－,－,－,34,27,－,－,1,－,6,247,－,－,247
2,小金井市,令和5,2023,7,－,1,－,6,4,－,－,1,－,1,38,8,－,30
2,小平市,令和5,2023,15,－,－,－,15,11,－,－,2,－,2,120,－,－,120
2,日野市,令和5,2023,13,－,－,3,10,9,－,－,1,－,－,77,－,6,71
2,東村山市,令和5,2023,10,－,－,－,10,9,－,－,－,－,1,77,－,－,77
2,国分寺市,令和5,2023,4,－,－,－,4,4,－,－,－,－,－,36,－,－,36
2,国立市,令和5,2023,9,－,－,－,9,6,－,－,－,－,3,44,－,－,44
2,福生市,令和5,2023,4,－,－,－,4,3,－,－,1,－,－,22,－,－,22
2,狛江市,令和5,2023,3,－,－,－,3,3,－,－,－,－,－,29,－,－,29
2,東大和市,令和5,2023,3,－,－,－,3,3,－,－,－,－,－,25,－,－,25
2,清瀬市,令和5,2023,7,－,－,－,7,7,－,－,－,－,－,76,－,－,76
2,東久留米市,令和5,2023,6,－,－,－,6,6,－,－,－,－,－,51,－,－,51
2,武蔵村山市,令和5,2023,4,－,－,－,4,3,－,－,－,－,1,32,－,－,32
2,多摩市,令和5,2023,8,－,－,－,8,7,－,－,－,－,1,65,－,－,65
2,稲城市,令和5,2023,7,－,－,－,7,6,－,－,－,－,1,66,－,－,66
2,羽村市,令和5,2023,6,－,－,－,6,4,－,－,1,－,1,35,－,－,35
