種別,地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／園長／男（人）,教員数（本務者）／園長／女（人）,教員数（本務者）／副園長／男（人）,教員数（本務者）／副園長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹保育教諭／男（人）,教員数（本務者）／主幹保育教諭／女（人）,教員数（本務者）／指導保育教諭／男（人）,教員数（本務者）／指導保育教諭／女（人）,教員数（本務者）／保育教諭／男（人）,教員数（本務者）／保育教諭／女（人）,教員数（本務者）／助保育教諭／男（人）,教員数（本務者）／助保育教諭／女（人）,教員数（本務者）／主幹養護教諭／男（人）,教員数（本務者）／主幹養護教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／主幹栄養教諭／男（人）,教員数（本務者）／主幹栄養教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）,教諭等／本務者（人）,教諭等／本務者／男（人）,教諭等／本務者／女（人）,教諭等／兼務者／男（人）,教諭等／兼務者／女（人）,保育士／本務者（人）,保育士／本務者／男（人）,保育士／本務者／女（人）,保育士／兼務者／男（人）,保育士／兼務者／女（人）,教育・保育補助員／本務者（人）,教育・保育補助員／本務者／男（人）,教育・保育補助員／本務者／女（人）,教育・保育補助員／兼務者／男（人）,教育・保育補助員／兼務者／女（人）,その他職員数（本務者）（人）,その他職員数（本務者）／男（人）,その他職員数（本務者）／女（人）
総数（公・私立）,0,総数,平成30,2018,744,58,686,9,21,5,23,－,2,1,32,3,17,39,576,－,－,－,－,－,1,－,－,－,4,－,8,1,2,2,159,11,6,5,1,9,13,－,13,－,20,39,2,37,10,109,116,28,88
総数（公・私立）,0,総数,令和元,2019,803,63,740,10,22,4,23,－,3,3,37,3,19,42,618,－,－,－,－,－,1,－,－,－,3,－,12,1,2,2,170,15,6,9,－,10,12,－,12,－,29,36,1,35,8,117,130,34,96
総数（公・私立）,0,総数,令和2,2020,855,69,786,11,23,4,23,－,2,3,39,2,22,48,665,－,－,－,－,－,1,－,－,－,3,－,8,1,－,2,121,19,7,12,－,10,12,2,10,－,39,39,1,38,7,163,137,33,104
総数（公・私立）,0,総数,令和3,2021,1035,74,961,14,27,4,26,1,1,4,43,1,21,49,797,－,16,－,－,－,3,－,－,－,4,－,13,1,10,2,126,10,5,5,－,7,14,2,12,－,39,101,2,99,9,210,176,40,136
総数（公・私立）,0,総数,令和4,2022,1169,89,1080,15,31,5,29,1,2,9,52,1,26,56,882,－,15,－,－,－,3,－,－,－,4,－,24,2,12,12,161,7,4,3,－,6,35,1,34,－,47,153,4,149,7,219,209,39,170
総数（公・私立）,0,総数,令和5,2023,1390,93,1297,14,41,7,35,－,1,7,79,2,27,61,1049,－,17,－,－,－,7,－,－,－,7,－,22,2,12,3,223,40,3,37,－,13,56,1,55,－,46,149,16,133,13,219,261,51,210
総数（公・私立）,1,区部,令和5,2023,730,41,689,7,21,4,16,－,1,2,28,1,10,25,594,－,－,－,－,－,3,－,－,－,－,－,14,2,2,－,91,4,2,2,－,2,35,－,35,－,19,64,4,60,5,140,112,24,88
総数（公・私立）,2,千代田区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,中央区,令和5,2023,21,－,21,－,1,－,－,－,－,－,1,－,－,－,19,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,－,－,－,1,－,1,－,2,4,1,3
総数（公・私立）,2,港区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
