種別,地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／園長／男（人）,教員数（本務者）／園長／女（人）,教員数（本務者）／副園長／男（人）,教員数（本務者）／副園長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹教諭／男（人）,教員数（本務者）／主幹教諭／女（人）,教員数（本務者）／指導教諭／男（人）,教員数（本務者）／指導教諭／女（人）,教員数（本務者）／教諭／男（人）,教員数（本務者）／教諭／女（人）,教員数（本務者）／助教諭／男（人）,教員数（本務者）／助教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）,教育補助員数／本務者（人）,教育補助員数／本務者／男（人）,教育補助員数／本務者／女（人）,教育補助員数／兼務者／男（人）,教育補助員数／兼務者／女（人）,職員数（本務者）（人）,職員数（本務者）／男（人）,職員数（本務者）／女（人）
総数（国・公・私立）,0,総数,平成30,2018,10713,690,10023,356,446,82,334,8,90,14,280,4,163,216,8651,2,6,－,9,－,－,－,3,8,41,369,1620,378,39,339,100,1135,2012,1042,970
総数（国・公・私立）,0,総数,令和元,2019,10770,714,10056,356,441,84,357,9,92,18,289,5,193,233,8622,－,1,－,11,－,－,－,7,9,43,366,1639,397,36,361,96,1326,2045,1021,1024
総数（国・公・私立）,0,総数,令和2,2020,10774,706,10068,349,447,84,367,8,100,22,308,6,190,227,8587,－,3,－,10,－,－,－,4,10,52,352,1701,428,54,374,105,1549,2111,1038,1073
総数（国・公・私立）,0,総数,令和3,2021,10672,706,9966,350,447,87,375,8,98,19,350,6,203,216,8423,－,1,－,9,－,1,－,6,20,53,339,1777,466,53,413,117,1814,2003,985,1018
総数（国・公・私立）,0,総数,令和4,2022,10546,703,9843,344,443,97,383,9,105,20,356,5,188,210,8304,－,6,－,12,－,－,－,5,18,41,337,1765,465,62,403,109,1907,1968,964,1004
総数（国・公・私立）,0,総数,令和5,2023,10240,677,9563,338,443,95,385,9,109,21,360,7,202,191,7988,－,3,－,13,－,－,－,3,16,57,344,2015,403,49,354,111,1868,1918,941,977
総数（国・公・私立）,1,区部,令和5,2023,6617,407,6210,211,322,52,247,6,78,13,197,5,95,108,5219,－,3,－,5,－,－,－,2,12,42,226,1079,276,39,237,56,1195,1159,532,627
総数（国・公・私立）,2,千代田区,令和5,2023,84,1,83,1,8,－,3,－,3,－,4,－,－,－,65,－,－,－,－,－,－,－,－,－,－,3,62,1,1,－,－,2,7,2,5
総数（国・公・私立）,2,中央区,令和5,2023,93,3,90,2,7,－,4,－,－,－,－,－,－,1,79,－,－,－,－,－,－,－,－,－,－,3,6,－,－,－,－,55,12,3,9
総数（国・公・私立）,2,港区,令和5,2023,214,6,208,6,14,－,8,－,3,－,4,－,1,－,178,－,－,－,－,－,－,－,－,－,－,3,50,2,－,2,－,23,22,8,14
