種別,地域階層,地域,和暦（年度）,西暦（年度）,不就学者数（人）,不就学者数／就学免除者（人）,不就学者数／就学免除者／６～１１歳（人）,不就学者数／就学免除者／６～１１歳／男（人）,不就学者数／就学免除者／６～１１歳／女（人）,不就学者数／就学免除者／１２～１４歳（人）,不就学者数／就学免除者／１２～１４歳／男（人）,不就学者数／就学免除者／１２～１４歳／女（人）,不就学者数／就学猶予者（人）,不就学者数／就学猶予者／６～１１歳（人）,不就学者数／就学猶予者／６～１１歳／男（人）,不就学者数／就学猶予者／６～１１歳／女（人）,不就学者数／就学猶予者／１２～１４歳（人）,不就学者数／就学猶予者／１２～１４歳／男（人）,不就学者数／就学猶予者／１２～１４歳／女（人）,１年以上居所不明者数（人）,死亡者数（前年度間）（人）
総数（国・公・私立）,0,総数,平成30,2018,1423,1145,765,368,397,380,185,195,278,217,112,105,61,26,35,6,40
総数（国・公・私立）,0,総数,令和元,2019,1569,1220,819,379,440,401,205,196,349,266,135,131,83,40,43,9,47
総数（国・公・私立）,0,総数,令和2,2020,1583,1215,793,368,425,422,201,221,368,270,132,138,98,51,47,6,40
総数（国・公・私立）,0,総数,令和3,2021,1588,1320,876,414,462,444,220,224,268,208,111,97,60,26,34,9,43
総数（国・公・私立）,0,総数,令和4,2022,1630,1350,906,419,487,444,220,224,280,214,119,95,66,28,38,10,39
総数（国・公・私立）,0,総数,令和5,2023,1588,1336,878,433,445,458,208,250,252,200,103,97,52,29,23,5,44
総数（国・公・私立）,1,区部,令和5,2023,1479,1252,825,404,421,427,193,234,227,186,95,91,41,22,19,3,24
総数（国・公・私立）,2,千代田区,令和5,2023,31,31,21,5,16,10,6,4,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,中央区,令和5,2023,24,24,20,9,11,4,2,2,－,－,－,－,－,－,－,1,－
総数（国・公・私立）,2,港区,令和5,2023,387,385,251,119,132,134,59,75,2,2,1,1,－,－,－,－,1
総数（国・公・私立）,2,新宿区,令和5,2023,137,137,105,45,60,32,13,19,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,文京区,令和5,2023,51,21,13,4,9,8,5,3,30,19,10,9,11,6,5,－,－
総数（国・公・私立）,2,台東区,令和5,2023,28,28,20,13,7,8,1,7,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,墨田区,令和5,2023,10,－,－,－,－,－,－,－,10,9,6,3,1,1,－,－,－
総数（国・公・私立）,2,江東区,令和5,2023,55,55,39,18,21,16,9,7,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,品川区,令和5,2023,17,－,－,－,－,－,－,－,17,11,4,7,6,2,4,－,－
総数（国・公・私立）,2,目黒区,令和5,2023,102,－,－,－,－,－,－,－,102,102,51,51,－,－,－,－,－
総数（国・公・私立）,2,大田区,令和5,2023,57,55,38,20,18,17,8,9,2,2,2,－,－,－,－,－,2
総数（国・公・私立）,2,世田谷区,令和5,2023,213,210,113,62,51,97,43,54,3,3,3,－,－,－,－,－,1
総数（国・公・私立）,2,渋谷区,令和5,2023,189,188,134,70,64,54,26,28,1,1,－,1,－,－,－,－,－
