種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,高等学校等進学者数（人）,高等学校等進学者数／高等学校本科（人）,高等学校等進学者数／高等学校本科／全日制（人）,高等学校等進学者数／高等学校本科／定時制（人）,高等学校等進学者数／高等学校本科／通信制（人）,高等学校等進学者数／中等教育学校後期課程本科（人）,高等学校等進学者数／中等教育学校後期課程本科／全日制（人）,高等学校等進学者数／中等教育学校後期課程本科／定時制（人）,高等学校等進学者数／高等学校別科（人）,高等学校等進学者数／中等教育学校後期課程別科（人）,高等学校等進学者数／高等専門学校（人）,高等学校等進学者数／特別支援学校高等部（人）,高等学校等進学者数／特別支援学校高等部／本科（人）,高等学校等進学者数／特別支援学校高等部／別科（人）
総数（公立）,総数（男・女）,0,総数,平成30,2018,3月,690,671,638,17,16,－,－,－,－,－,9,10,10,－
総数（公立）,総数（男・女）,0,総数,令和元,2019,3月,658,635,611,10,14,－,－,－,－,－,6,17,17,－
総数（公立）,総数（男・女）,0,総数,令和2,2020,3月,652,627,589,14,24,－,－,－,－,－,8,17,17,－
総数（公立）,総数（男・女）,0,総数,令和3,2021,3月,841,798,738,18,42,－,－,－,－,－,12,31,31,－
総数（公立）,総数（男・女）,0,総数,令和4,2022,3月,864,822,761,19,42,－,－,－,－,－,12,30,30,－
総数（公立）,総数（男・女）,0,総数,令和5,2023,3月,935,898,801,22,75,－,－,－,－,－,8,29,29,－
総数（公立）,総数（男・女）,1,区部,令和5,2023,3月,807,790,713,15,62,－,－,－,－,－,6,11,11,－
総数（公立）,総数（男・女）,2,江東区,令和5,2023,3月,73,71,67,－,4,－,－,－,－,－,2,－,－,－
総数（公立）,総数（男・女）,2,品川区,令和5,2023,3月,734,719,646,15,58,－,－,－,－,－,4,11,11,－
総数（公立）,総数（男・女）,1,市部,令和5,2023,3月,128,108,88,7,13,－,－,－,－,－,2,18,18,－
総数（公立）,総数（男・女）,2,八王子市,令和5,2023,3月,128,108,88,7,13,－,－,－,－,－,2,18,18,－
総数（公立）,総数（男・女）,1,郡部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,総数（男・女）,1,島部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,男,0,総数,平成30,2018,3月,359,346,326,8,12,－,－,－,－,－,9,4,4,－
総数（公立）,男,0,総数,令和元,2019,3月,335,319,308,5,6,－,－,－,－,－,5,11,11,－
総数（公立）,男,0,総数,令和2,2020,3月,320,302,286,4,12,－,－,－,－,－,7,11,11,－
総数（公立）,男,0,総数,令和3,2021,3月,453,423,385,9,29,－,－,－,－,－,7,23,23,－
総数（公立）,男,0,総数,令和4,2022,3月,417,391,356,9,26,－,－,－,－,－,8,18,18,－
総数（公立）,男,0,総数,令和5,2023,3月,482,455,402,10,43,－,－,－,－,－,8,19,19,－
総数（公立）,男,1,区部,令和5,2023,3月,412,399,356,6,37,－,－,－,－,－,6,7,7,－
総数（公立）,男,2,江東区,令和5,2023,3月,42,40,38,－,2,－,－,－,－,－,2,－,－,－
総数（公立）,男,2,品川区,令和5,2023,3月,370,359,318,6,35,－,－,－,－,－,4,7,7,－
総数（公立）,男,1,市部,令和5,2023,3月,70,56,46,4,6,－,－,－,－,－,2,12,12,－
総数（公立）,男,2,八王子市,令和5,2023,3月,70,56,46,4,6,－,－,－,－,－,2,12,12,－
総数（公立）,男,1,郡部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,男,1,島部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,女,0,総数,平成30,2018,3月,331,325,312,9,4,－,－,－,－,－,－,6,6,－
総数（公立）,女,0,総数,令和元,2019,3月,323,316,303,5,8,－,－,－,－,－,1,6,6,－
総数（公立）,女,0,総数,令和2,2020,3月,332,325,303,10,12,－,－,－,－,－,1,6,6,－
総数（公立）,女,0,総数,令和3,2021,3月,388,375,353,9,13,－,－,－,－,－,5,8,8,－
総数（公立）,女,0,総数,令和4,2022,3月,447,431,405,10,16,－,－,－,－,－,4,12,12,－
総数（公立）,女,0,総数,令和5,2023,3月,453,443,399,12,32,－,－,－,－,－,－,10,10,－
総数（公立）,女,1,区部,令和5,2023,3月,395,391,357,9,25,－,－,－,－,－,－,4,4,－
総数（公立）,女,2,江東区,令和5,2023,3月,31,31,29,－,2,－,－,－,－,－,－,－,－,－
総数（公立）,女,2,品川区,令和5,2023,3月,364,360,328,9,23,－,－,－,－,－,－,4,4,－
総数（公立）,女,1,市部,令和5,2023,3月,58,52,42,3,7,－,－,－,－,－,－,6,6,－
総数（公立）,女,2,八王子市,令和5,2023,3月,58,52,42,3,7,－,－,－,－,－,－,6,6,－
総数（公立）,女,1,郡部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,女,1,島部,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,
１４－２　卒業後の状況調査（義務教育学校）　所在地別高等学校等進学者数,,,,,,,,,,,,,,,,,,,,
注）国立・私立には義務教育学校はない。,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,
