種別,和暦（年度）,西暦（年度）,東京都／幼稚園修了者数（人）,東京都／小学校及び義務教育学校第１学年児童数（人）,東京都／割合（％）,全国の割合（％）,差（都－全国）（ポイント）
総数（国・公・私立）,昭和54,1979,131111,183792,71.3,64.4,6.9
総数（国・公・私立）,昭和55,1980,126454,177902,71.1,64.4,6.7
総数（国・公・私立）,昭和56,1981,116413,165202,70.5,64.4,6.1
総数（国・公・私立）,昭和57,1982,103743,149335,69.5,64,5.5
総数（国・公・私立）,昭和58,1983,95983,139586,68.8,63.8,5
総数（国・公・私立）,昭和59,1984,93875,137751,68.1,63.9,4.2
総数（国・公・私立）,昭和60,1985,89704,131523,68.2,63.7,4.5
総数（国・公・私立）,昭和61,1986,87054,127763,68.1,63.6,4.5
総数（国・公・私立）,昭和62,1987,82738,120625,68.6,63.6,5
総数（国・公・私立）,昭和63,1988,80918,117978,68.6,63.7,4.9
総数（国・公・私立）,平成元,1989,80955,116249,69.6,64,5.6
総数（国・公・私立）,平成2,1990,79991,114492,69.9,64,5.9
総数（国・公・私立）,平成3,1991,77803,111323,69.9,64.1,5.8
総数（国・公・私立）,平成4,1992,74771,106716,70.1,64.1,6
総数（国・公・私立）,平成5,1993,71502,102130,70,63.8,6.2
総数（国・公・私立）,平成6,1994,69508,99708,69.7,63.5,6.2
総数（国・公・私立）,平成7,1995,67465,98011,68.8,63.2,5.6
総数（国・公・私立）,平成8,1996,62957,92556,68,62.8,5.2
総数（国・公・私立）,平成9,1997,61332,91554,67,62.5,4.5
総数（国・公・私立）,平成10,1998,61859,92136,67.1,62.3,4.8
総数（国・公・私立）,平成11,1999,60652,91402,66.4,61.6,4.8
総数（国・公・私立）,平成12,2000,61255,93053,65.8,61.1,4.7
総数（国・公・私立）,平成13,2001,64492,97296,66.3,60.6,5.7
総数（国・公・私立）,平成14,2002,61186,93848,65.2,59.9,5.3
総数（国・公・私立）,平成15,2003,63555,96889,65.6,59.3,6.3
総数（国・公・私立）,平成16,2004,63376,96959,65.4,58.9,6.5
総数（国・公・私立）,平成17,2005,64353,98756,65.2,58.4,6.8
総数（国・公・私立）,平成18,2006,64043,98938,64.7,57.7,7
総数（国・公・私立）,平成19,2007,64517,99530,64.8,57.2,7.6
総数（国・公・私立）,平成20,2008,63363,98948,64,56.7,7.3
総数（国・公・私立）,平成21,2009,62434,98418,63.4,56.4,7
総数（国・公・私立）,平成22,2010,61766,98195,62.9,56.2,6.7
総数（国・公・私立）,平成23,2011,60050,96357,62.3,55.7,6.6
総数（国・公・私立）,平成24,2012,57661,94116,61.3,55.1,6.2
総数（国・公・私立）,平成25,2013,60378,98598,61.2,54.8,6.4
総数（国・公・私立）,平成26,2014,60177,100722,59.7,54.2,5.5
総数（国・公・私立）,平成27,2015,59438,101628,58.5,53.5,5
総数（国・公・私立）,平成28,2016,58172,102869,56.5,48.5,8
総数（国・公・私立）,平成29,2017,56937,103401,55.1,46.5,8.6
総数（国・公・私立）,平成30,2018,55038,102900,53.5,44.6,8.9
総数（国・公・私立）,令和元,2019,53702,104199,51.5,42.6,8.9
総数（国・公・私立）,令和2,2020,52402,105791,49.5,40.5,9
総数（国・公・私立）,令和3,2021,51539,107337,48,38.7,9.3
総数（国・公・私立）,令和4,2022,49088,106767,46,36.9,9.1
総数（国・公・私立）,令和5,2023,45134,103968,43.4,35.1,8.3
,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,
付表　全国及び他県との比較　２－３小学校及び義務教育学校第１学年児童数に対する幼稚園修了者数の割合の全国との比較,,,,,,,
注１）幼稚園修了者数は各年３月修了者、小学校及び義務教育学校第１学年児童数は各年５月１日在籍者である。 ,,,,,,,
注２）平成27年度以前は、小学校第１学年児童数のみである。,,,,,,,
注３）全国の数値は、文部科学省公表の令和５年度学校基本調査の結果による。,,,,,,,
