種別,地域階層,地域,和暦（年度）,西暦（年度）,学級数（学級）,学級数／幼稚部（学級）,学級数／幼稚部／同一年齢編（学級）,学級数／幼稚部／複数年齢編（学級）,学級数／小学部（学級）,学級数／小学部／単式学級（学級）,学級数／小学部／複式学級（学級）,学級数／小学部／重複障害学級（再掲）（学級）,学級数／中学部（学級）,学級数／中学部／単式学級（学級）,学級数／中学部／複式学級（学級）,学級数／中学部／重複障害学級（再掲）（学級）,学級数／高等部（学級）,学級数／高等部／本科（学級）,学級数／高等部／本科／単式学級（学級）,学級数／高等部／本科／複式学級（学級）,学級数／高等部／専攻科（学級）,学級数／高等部／別科（学級）,学級数／高等部／重複障害学級（再掲）（学級）
総数（国・公・私立）,0,総数,平成30,2018,2725,48,38,10,1143,746,397,344,599,405,194,180,935,902,720,182,33,－,177
総数（国・公・私立）,0,総数,令和元,2019,2748,52,41,11,1185,795,390,344,609,441,168,158,902,870,694,176,32,－,165
総数（国・公・私立）,0,総数,令和2,2020,2784,49,39,10,1235,821,414,372,623,441,182,169,877,847,663,184,30,－,173
総数（国・公・私立）,0,総数,令和3,2021,2809,48,40,8,1266,846,420,390,650,456,194,182,845,815,645,170,30,－,165
総数（国・公・私立）,0,総数,令和4,2022,2878,46,37,9,1293,866,427,393,676,468,208,197,863,833,662,171,30,－,166
総数（国・公・私立）,0,総数,令和5,2023,3007,44,38,6,1372,942,430,405,710,492,218,210,881,851,684,167,30,－,163
総数（国・公・私立）,1,区部,令和5,2023,1865,35,31,4,893,620,273,252,412,291,121,114,525,502,405,97,23,－,93
総数（国・公・私立）,2,千代田区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,中央区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,港区,令和5,2023,73,1,1,－,29,20,9,9,10,10,－,－,33,33,28,5,－,－,5
総数（国・公・私立）,2,新宿区,令和5,2023,15,－,－,－,10,6,4,4,5,3,2,2,－,－,－,－,－,－,－
総数（国・公・私立）,2,文京区,令和5,2023,58,4,2,2,11,6,5,2,9,9,－,－,34,18,13,5,16,－,4
総数（国・公・私立）,2,台東区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,墨田区,令和5,2023,59,－,－,－,30,23,7,7,15,12,3,3,14,14,12,2,－,－,2
総数（国・公・私立）,2,江東区,令和5,2023,175,－,－,－,97,67,30,25,40,27,13,10,38,38,29,9,－,－,7
総数（国・公・私立）,2,品川区,令和5,2023,60,3,3,－,38,32,6,6,19,16,3,3,－,－,－,－,－,－,－
