区分,学校数（校）,学校数／うち分校（校）,学校数／国立（校）,学校数／公立（校）,学校数／公立／うち分校（校）,学校数／公立／うち都立（校）,学校数／公立／うち都立／うち分校（校）,学校数／私立（校）
総数,71,－,4,63,－,58,－,4
視覚障害,4,－,1,3,－,3,－,－
聴覚障害,5,－,－,3,－,3,－,2
知的障害,36,－,2,32,－,31,－,2
肢体不自由,6,－,1,5,－,4,－,－
病弱・身体虚弱,3,－,－,3,－,－,－,－
視覚障害と聴覚障害,－,－,－,－,－,－,－,－
視覚障害と知的障害,1,－,－,1,－,1,－,－
視覚障害と肢体不自由,－,－,－,－,－,－,－,－
視覚障害と病弱・身体虚弱,－,－,－,－,－,－,－,－
聴覚障害と知的障害,1,－,－,1,－,1,－,－
聴覚障害と肢体不自由,－,－,－,－,－,－,－,－
聴覚障害と病弱・身体虚弱,－,－,－,－,－,－,－,－
知的障害と肢体不自由,10,－,－,10,－,10,－,－
知的障害と病弱・身体虚弱,1,－,－,1,－,1,－,－
肢体不自由と病弱・身体虚弱,4,－,－,4,－,4,－,－
視覚障害と聴覚障害と知的障害,－,－,－,－,－,－,－,－
視覚障害と聴覚障害と肢体不自由,－,－,－,－,－,－,－,－
視覚障害と聴覚障害と病弱・身体虚弱,－,－,－,－,－,－,－,－
視覚障害と知的障害と肢体不自由,－,－,－,－,－,－,－,－
視覚障害と知的障害と病弱・身体虚弱,－,－,－,－,－,－,－,－
視覚障害と肢体不自由と病弱・身体虚弱,－,－,－,－,－,－,－,－
聴覚障害と知的障害と肢体不自由,－,－,－,－,－,－,－,－
聴覚障害と知的障害と病弱・身体虚弱,－,－,－,－,－,－,－,－
聴覚障害と肢体不自由と病弱・身体虚弱,－,－,－,－,－,－,－,－
知的障害と肢体不自由と病弱・身体虚弱,－,－,－,－,－,－,－,－
視覚障害のみ無し,－,－,－,－,－,－,－,－
聴覚障害のみ無し,－,－,－,－,－,－,－,－
知的障害のみ無し,－,－,－,－,－,－,－,－
肢体不自由のみ無し,－,－,－,－,－,－,－,－
病弱・身体虚弱のみ無し,－,－,－,－,－,－,－,－
全てあり,－,－,－,－,－,－,－,－
,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,
１０－４　特別支援学校　障害種、設置者別学校数,,,,,,,,
注）学校数は、学則に記載された主に教育の対象としている障害種類別に計上した。よって、学級数、在学者数の障害種類別と必ずしも一致しない。,,,,,,,,
